"序列","题","步骤","题目","选项1","选项1图","选项1小图","选项2","选项2图","选项2小图","选项3","选项3图","选项3小图","正确答案","正确奖励id","错误奖励id"
"1","1","0","《我叫MT》动漫中“看老娘的烈焰红唇”是谁的口头禅？","傻馒","9016","30245","羞花","9100","30303","术士大妈","9038","30262","1","5840","5850"
"2","2","0","《我叫MT》中“大白腿”是谁？","血精灵","9001","30251","羞花","9100","30303","沐丝","9012","30203","1","5840","5850"
"3","3","0","《我叫MT》中大小姐的仆人是？","羞花","9100","30303","会长","9006","30243","暗夜男","9000","30253","3","5840","5850"
"4","4","0","《我叫MT》中下列哪个角色脸是绿的？","呆贼","9004","30202","沐丝","9012","30203","会长","9006","30243","1","5840","5850"
"5","5","0","《我叫MT》动漫中卖银鳞胸甲的是谁？","哀木涕","9013","30244","神棍德","9041","30255","呆贼","9004","30202","2","5840","5850"
"6","6","0","《我叫MT》动漫中谁说话最温柔？","沐丝","9012","30203","傻馒","9016","30245","美屡","9011","30261","1","5840","5850"
"7","7","0","《我叫MT》动漫中谁说话最快？","美屡","9011","30261","沐丝","9012","30203","傻馒","9016","30245","3","5840","5850"
"8","8","0","《我叫MT》动漫中“娇花”是谁？","术士大妈","9038","30262","血精灵","9001","30251","沐丝","9012","30203","1","5840","5850"
"9","9","0","《我叫MT》动漫中“嗨，孙子！！”是谁的台词？","傻馒","9016","30245","哀木涕","9013","30244","劣人","9007","30260","2","5840","5850"
"10","10","0","《我叫MT》动漫中劣人总被谁打？","美屡","9011","30261","沐丝","9012","30203","呆贼","9004","30202","1","5840","5850"
"11","11","0","《我叫MT》中谁不是牛头人？","哀木涕","9013","30244","劣人","9007","30260","傻馒","9016","30245","2","5840","5850"
"12","12","0","《我叫MT》中的男性角色？","术士大妈","9038","30262","美屡","9011","30261","劣人","9007","30260","3","5840","5850"
"13","12","1","《我叫MT》中的男性角色？","哀木涕","9013","30244","沐丝","9012","30203","傻馒","9016","30245","1","5840","5850"
"14","12","2","《我叫MT》中的男性角色？","暗夜男","9000","30253","大小姐","9003","30242","血精灵","9001","30251","1","5840","5850"
"15","13","0","《我叫MT》中桶牛暗恋谁？","傻馒","9016","30245","沐丝","9012","30203","美屡","9011","30261","2","5840","5850"
"16","14","0","《我叫MT》中谁喜欢割牛的尾巴?","哀木涕","9013","30244","大小姐","9003","30242","美屡","9011","30261","3","5840","5850"
"17","15","0","《我叫MT》里的高富帅是谁？","神棍德","9041","30255","劣人","9007","30260","呆贼","9004","30202","2","5840","5850"
"18","16","0","《我叫MT》游戏中被称作奸商的是谁？","会长","9006","30243","哀木涕","9013","30244","神棍德","9041","30255","3","5840","5850"
"19","17","0","《我叫MT》不可以做成牛肉干的是？","暗夜男","9000","30253","哀木涕","9013","30244","神棍德","9041","30255","1","5840","5850"
"20","18","0","《我叫MT》中人至贱则无敌的代表者是？","沐丝","9012","30203","血精灵","9001","30251","会长","9006","30243","2","5840","5850"
"21","19","0","《我叫MT》动漫中MT的跟屁虫是谁？","羞花","9100","30303","神棍德","9041","30255","沐丝","9012","30203","3","5840","5850"
"22","20","0","《我叫MT》动漫中小软内裤是谁的最爱？","哀木涕","9013","30244","神棍德","9041","30255","呆贼","9004","30202","1","5840","5850"
"23","21","0","《我叫MT》动漫中以下谁会隐身？","傻馒","9016","30245","女贼","9039","30259","劣人","9007","30260","2","5840","5850"
"24","22","0","《我叫MT》动漫中迪奥布斯的面包机是谁？","地中海","9042","30252","会长","9006","30243","方砖","9005","30257","3","5840","5850"
"25","23","0","《我叫MT》里大姐大是谁？","炮姐","9101","30304","女贼","9039","30259","傻馒","9016","30245","1","5840","5850"
"26","24","0","《我叫MT》中以下人物谁见着宝箱就跑不动了？","呆贼","9004","30202","傻馒","9016","30245","哀木涕","9013","30244","3","5840","5850"
"27","25","0","《我叫MT》游戏中谁的出场费是最贵的？","血精灵","9001","30251","大大姐","9066","30201","术士大妈","9038","30262","2","5840","5850"
"28","26","0","《我叫MT》中哀木涕的基友是？","劣人","9007","30260","神棍德","9041","30255","会长","9006","30243","1","5840","5850"
"29","27","0","《我叫MT》中以下人物中身高最高的是哪个？","术士大妈","9038","30262","呆贼","9004","30202","女贼","9039","30259","3","5840","5850"
"30","28","0","《我叫MT》动漫中被称为没教养的牛是谁?","神棍德","9041","30255","哀木涕","9013","30244","傻馒","9016","30245","2","5840","5850"
