"id","题目","选项1","选项2","选项3","选项4","标题","题库id","正确答案"
"1","《我叫MT》中劣人使用的是什么武器？","弓箭","斧头","锤子","拳头","MT答题","1","1"
"2","《我叫MT》中银鳞胸甲几金一件？","5金","6金","7金","8金","MT答题","1","1"
"3","《我叫MT》中“大白腿”是谁？","血精灵","大小姐","沐丝","美屡","MT答题","1","1"
"4","《我叫MT》中大小姐的仆人是？","方砖","会长","暗夜男","劣人","MT答题","1","1"
"5","《我叫MT》动漫中像灰太狼一样的好男人是谁？","暗夜男","劣人","MT","小德","MT答题","1","1"
"6","《我叫MT》中谁的奶最大？","易璐茜","同需","怀特","长者","MT答题","1","1"
"7","《我叫MT》中劣人的宠物是？","猪","狗","羊","兔子","MT答题","1","1"
"8","《我叫MT》动漫中谁说话最温柔？","沐丝","傻馒","美屡","大小姐","MT答题","1","1"
"9","《我叫MT》动漫中大小姐的公会叫什么名字？","迪奥布斯","菊爆大队","迪奥不撕","菊爆小队","MT答题","1","1"
"10","《我叫MT》中下列哪个角色脸是绿的？","呆贼","女贼","沐丝","会长","MT答题","1","1"
"11","《我叫MT》中五火球中最漂亮的女生是谁？","五火球美女","五火球长脸","五火球厚唇","五火球教主","MT答题","1","1"
"12","《我叫MT》动漫中MT被谁骗的只剩下内裤？","红桃K","傻馒","沐丝","绿小软","MT答题","1","1"
"13","《我叫MT》中会做面包的是哪个职业？","法师","术士","骑士","战士","MT答题","1","1"
"14","《我叫MT》中血精灵的眼睛是什么颜色？","蓝色","黄色","绿色","黑色","MT答题","1","1"
"15","《我叫MT》动漫中“看老娘的烈焰红唇”是谁的口头禅？","傻馒","羞花","术士大妈","炮姐","MT答题","1","1"
"16","《我叫MT》中谁是卖银鳞胸甲的？","神棍德","沐丝","劣人","桶牛","MT答题","1","1"
"17","《我叫MT》动漫中谁说话最快？","傻馒","沐丝","美屡","大小姐","MT答题","1","1"
"18","《我叫MT》中大大姐和大小姐是什么关系？","姐妹","好基友","情敌","我怎么知道","MT答题","1","1"
"19","《我叫MT》中以下人物谁见着宝箱就跑不动了？","MT","呆贼","劣人","傻馒","MT答题","1","1"
"20","《我叫MT》中MT最爱的是什么？","宝箱","大白腿","挨揍","被虐","MT答题","1","1"
"21","《我叫MT》中以下人物谁最老实？","呆贼","劣人","神棍德","MT","MT答题","1","1"
"22","《我叫MT》动漫中长相被傻馒称为葱头的是谁？","术士大妈","美屡","大小姐","女贼","MT答题","1","1"
"23","《我叫MT》动漫中“娇花”是谁？","术士大妈","血精灵","沐丝","羞花","MT答题","1","1"
"24","《我叫MT》动漫中“嗨，孙子！！”是谁的台词？","MT","傻馒","劣人","大小姐","MT答题","1","1"
"25","《我叫MT》动漫中会长和大小姐是什么关系？","兄妹","父女","情侣","没关系","MT答题","1","1"
"26","《我叫MT》里的高富帅是谁？","劣人","MT","神棍德","会长","MT答题","1","1"
"27","《我叫MT》动漫中呆贼的好基友是谁？","三颤","兽战","MT","小德","MT答题","1","1"
"28","《我叫MT》动漫中谁最喜欢放屁？","玛德拉公主","锁惢深大帝","大帝雷德","沃丕尔大师","MT答题","1","1"
"29","《我叫MT》动漫中绿小软的内裤是什么颜色？","粉色","绿色","白色","黑色","MT答题","1","1"
"30","《我叫MT》中以下哪个是屌丝？","呆贼","劣人","MT","暗夜男","MT答题","1","1"
"31","《我叫MT》大囧龟脸上是什么字？","囧","田","圆","口","MT答题","1","1"
"32","《我叫MT》中MT和傻馒结婚后会生出什么？","小牛","人类","暗夜精灵","猴子","MT答题","1","1"
"33","《我叫MT》动漫中迪奥布斯的面包机的是谁？","方砖","暗夜男","地中海","国足","MT答题","1","1"
"34","《我叫MT》中五火球神教不包含以下哪些人物？","五火球龅牙","五火球圆脸","五火球美女","五火球教主","MT答题","1","1"
"35","《我叫MT》动漫中曾经要1个铜钱购买一件假的银鳞胸甲的是谁？","哀木涕","呆贼","劣人","女德","MT答题","1","1"
"36","《我叫MT》动漫中最先叫MT哥哥的是？","沐丝","术士大妈","血精灵","MT弟弟","MT答题","1","1"
"37","《我叫MT》动漫中最大的阴谋者是？","会长","老相好","MT","方砖","MT答题","1","1"
"38","《我叫MT》中五火球教主性别？","不详","男","女","不男不女","MT答题","1","1"
