"id","修炼技能1","修炼技能2","修炼技能3","修炼技能4","修炼技能5","修炼技能6","修炼技能7","修炼技能8","需求人物等级","需求工会等级","需求历史帮贡"
"0","150","100","100","100","150","100","100","100","45","1","0"
"1","240","160","160","160","240","160","160","160","50","1","0"
"2","360","240","240","240","360","240","240","240","55","1","0"
"3","510","340","340","340","510","340","340","340","55","1","0"
"4","690","460","460","460","690","460","460","460","60","1","0"
"5","900","600","600","600","900","600","600","600","60","1","150"
"6","1140","760","760","760","1140","760","760","760","60","1","300"
"7","1410","940","940","940","1410","940","940","940","60","1","450"
"8","1710","1140","1140","1140","1710","1140","1140","1140","65","1","600"
"9","2040","1360","1360","1360","2040","1360","1360","1360","65","1","750"
"10","2400","1600","1600","1600","2400","1600","1600","1600","65","2","900"
"11","2790","1860","1860","1860","2790","1860","1860","1860","65","2","1050"
"12","3285","2190","2190","2190","3285","2190","2190","2190","70","2","1200"
"13","4035","2690","2690","2690","4035","2690","2690","2690","70","2","1350"
"14","4935","3290","3290","3290","4935","3290","3290","3290","75","2","1500"
"15","6000","4000","4000","4000","6000","4000","4000","4000","75","3","1650"
"16","7245","4830","4830","4830","7245","4830","4830","4830","80","3","1800"
"17","8685","5790","5790","5790","8685","5790","5790","5790","80","3","1950"
"18","10335","6890","6890","6890","10335","6890","6890","6890","85","3","2100"
"19","12210","8140","8140","8140","12210","8140","8140","8140","85","3","2250"
"20","100","100","100","100","100","100","100","100","85","3","2250"
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
