"id","入口ID","排行限制LV","副本id"
"1","21","69","1"
"2","21","69","1"
"3","21","69","1"
"4","21","69","1"
"5","21","69","1"
"6","21","69","1"
"7","21","69","1"
"8","21","69","1"
"9","21","69","1"
"10","22","89","2"
"11","22","89","2"
"12","22","89","2"
"13","22","89","2"
"14","22","89","2"
"15","22","89","2"
"16","22","89","2"
"17","22","89","2"
"18","22","89","2"
"19","23","99","3"
"20","23","99","3"
"21","23","99","3"
"22","23","99","3"
"23","23","99","3"
"24","23","99","3"
"25","23","99","3"
"26","23","99","3"
"27","23","99","3"
"28","24","109","4"
"29","24","109","4"
"30","24","109","4"
"31","24","109","4"
"32","24","109","4"
"33","24","109","4"
"34","24","109","4"
"35","24","109","4"
"36","24","109","4"
