"序号","活动ID","服务器id","开启时间","开始时间显示","开启时间2","结束时间","是否提醒","活动实际推迟时间","提前提醒时间","周循环活动","活动名"
"200001","200","0","00:00:00","200001","23:59:59","23:59:59","1","0","0","1","亚龙入侵"
"200002","200","0","00:00:00","200002","23:59:59","23:59:59","1","0","0","2","亚龙入侵"
"200003","200","0","00:00:00","200003","23:59:59","23:59:59","1","0","0","3","亚龙入侵"
"200004","200","0","00:00:00","200004","23:59:59","23:59:59","1","0","0","4","亚龙入侵"
"200005","200","0","00:00:00","200005","23:59:59","23:59:59","1","0","0","5","亚龙入侵"
"200006","200","0","00:00:00","200006","23:59:59","23:59:59","1","0","0","6","亚龙入侵"
"200007","200","0","00:00:00","200007","23:59:59","23:59:59","1","0","0","7","亚龙入侵"
"201001","201","0","00:00:00","201001","23:59:59","23:59:59","1","0","0","1","巨龙入侵"
"201002","201","0","00:00:00","201002","23:59:59","23:59:59","1","0","0","2","巨龙入侵"
"201003","201","0","00:00:00","201003","23:59:59","23:59:59","1","0","0","3","巨龙入侵"
"201004","201","0","00:00:00","201004","23:59:59","23:59:59","1","0","0","4","巨龙入侵"
"201005","201","0","00:00:00","201005","23:59:59","23:59:59","1","0","0","5","巨龙入侵"
"201006","201","0","00:00:00","201006","23:59:59","23:59:59","1","0","0","6","巨龙入侵"
"201007","201","0","00:00:00","201007","23:59:59","23:59:59","1","0","0","7","巨龙入侵"
"201008","201","0","00:00:00","201008","23:59:59","23:59:59","1","0","0","1","巨龙入侵"
"201009","201","0","00:00:00","201009","23:59:59","23:59:59","1","0","0","2","巨龙入侵"
"201010","201","0","00:00:00","201010","23:59:59","23:59:59","1","0","0","3","巨龙入侵"
"201011","201","0","00:00:00","201011","23:59:59","23:59:59","1","0","0","4","巨龙入侵"
"201012","201","0","00:00:00","201012","23:59:59","23:59:59","1","0","0","5","巨龙入侵"
"201013","201","0","00:00:00","201013","23:59:59","23:59:59","1","0","0","6","巨龙入侵"
"201014","201","0","00:00:00","201014","23:59:59","23:59:59","1","0","0","7","巨龙入侵"
"202001","202","0","00:00:00","202001","23:59:59","23:59:59","1","0","0","1","巨魔之都"
"202002","202","0","00:00:00","202002","23:59:59","23:59:59","1","0","0","2","巨魔之都"
"202003","202","0","00:00:00","202003","23:59:59","23:59:59","1","0","0","3","巨魔之都"
"202004","202","0","00:00:00","202004","23:59:59","23:59:59","1","0","0","4","巨魔之都"
"202005","202","0","00:00:00","202005","23:59:59","23:59:59","1","0","0","5","巨魔之都"
"202006","202","0","00:00:00","202006","23:59:59","23:59:59","1","0","0","6","巨魔之都"
"202007","202","0","00:00:00","202007","23:59:59","23:59:59","1","0","0","7","巨魔之都"
"203001","203","0","00:00:00","203001","23:59:59","23:59:59","1","0","0","1","诅咒之塔"
"203002","203","0","00:00:00","203002","23:59:59","23:59:59","1","0","0","2","诅咒之塔"
"203003","203","0","00:00:00","203003","23:59:59","23:59:59","1","0","0","3","诅咒之塔"
"203004","203","0","00:00:00","203004","23:59:59","23:59:59","1","0","0","4","诅咒之塔"
"203005","203","0","00:00:00","203005","23:59:59","23:59:59","1","0","0","5","诅咒之塔"
"203006","203","0","00:00:00","203006","23:59:59","23:59:59","1","0","0","6","诅咒之塔"
"203007","203","0","00:00:00","203007","23:59:59","23:59:59","1","0","0","7","诅咒之塔"
"204001","204","0","00:00:00","204001","23:59:59","23:59:59","1","0","0","1","巨魔之都(精英)"
"204002","204","0","00:00:00","204002","23:59:59","23:59:59","1","0","0","2","巨魔之都(精英)"
"204003","204","0","00:00:00","204003","23:59:59","23:59:59","1","0","0","3","巨魔之都(精英)"
"204004","204","0","00:00:00","204004","23:59:59","23:59:59","1","0","0","4","巨魔之都(精英)"
"204005","204","0","00:00:00","204005","23:59:59","23:59:59","1","0","0","5","巨魔之都(精英)"
"204006","204","0","00:00:00","204006","23:59:59","23:59:59","1","0","0","6","巨魔之都(精英)"
"204007","204","0","00:00:00","204007","23:59:59","23:59:59","1","0","0","7","巨魔之都(精英)"
"205001","205","0","00:00:00","205001","23:59:59","23:59:59","1","0","0","1","诅咒之塔(精英)"
"205002","205","0","00:00:00","205002","23:59:59","23:59:59","1","0","0","2","诅咒之塔(精英)"
"205003","205","0","00:00:00","205003","23:59:59","23:59:59","1","0","0","3","诅咒之塔(精英)"
"205004","205","0","00:00:00","205004","23:59:59","23:59:59","1","0","0","4","诅咒之塔(精英)"
"205005","205","0","00:00:00","205005","23:59:59","23:59:59","1","0","0","5","诅咒之塔(精英)"
"205006","205","0","00:00:00","205006","23:59:59","23:59:59","1","0","0","6","诅咒之塔(精英)"
"205007","205","0","00:00:00","205007","23:59:59","23:59:59","1","0","0","7","诅咒之塔(精英)"
"206001","208","0","20:25:00","206001","20:25:00","21:10:00","1","5","5","1","冠军试炼"
"206002","208","0","20:25:00","206002","20:25:00","21:10:00","1","5","5","3","冠军试炼"
"206003","208","0","20:25:00","206003","20:25:00","21:10:00","1","5","5","5","冠军试炼"
"211001","211","0","20:25:00","211001","20:30:00","21:10:00","1","0","5","2","1v1竞技场"
