"道具id","宠物id","是否入背包"
"333000","500220","1"
"333001","500221","1"
"333002","500222","1"
"333003","500223","1"
"333004","500224","1"
"333005","500225","1"
"333006","500226","1"
"333007","500227","1"
"333008","500228","1"
"333009","500229","1"
"333010","500230","1"
"333011","500231","1"
"333012","500232","1"
"333013","500233","1"
"333014","500234","1"
"333015","500235","1"
"333016","500236","1"
"333017","500237","1"
"333018","500238","1"
"333019","500239","1"
"333020","500240","1"
"333021","500241","1"
"333022","500242","1"
"333023","500243","1"
"333024","500244","1"
"333025","500245","1"
"333026","500246","1"
"333027","500247","1"
"333028","500248","1"
"333029","500249","1"
"333030","500250","1"
"333031","500251","1"
"333032","500252","1"
"333033","500253","1"
"333034","500254","1"
"333035","500255","1"
"333036","500256","1"
"333037","500257","1"
"333038","500258","1"
"333039","500259","1"
"333040","500260","1"
"333041","500261","1"
"333042","500262","1"
"333043","500263","1"
"333044","500264","1"
"333045","500265","1"
"333046","500266","1"
"333047","500267","1"
"333048","500268","1"
"333049","500269","1"
"333050","500270","1"
"333051","500271","1"
"333052","500272","1"
"333053","500273","1"
"333054","500274","1"
"333055","500275","1"
"333056","500276","1"
"333057","500277","1"
"333058","500278","1"
"333059","500279","1"
"333060","500280","1"
"333061","500281","1"
"333062","500282","1"
"333063","500283","1"
"333064","500284","1"
"333065","500285","1"
"333066","500286","1"
"333067","500287","1"
"333068","500288","1"
"333069","500289","1"
"333070","500290","1"
"333071","500291","1"
"333072","500292","1"
"333073","500293","1"
"333074","500294","1"
"333075","500295","1"
"333076","500296","1"
"333077","500297","1"
"333078","500298","1"
"333079","500299","1"
"333080","500300","1"
"333081","500301","1"
"333082","506001","1"
"333083","506002","1"
"333084","506003","1"
"333085","506004","1"
"333086","506005","1"
"333087","506006","1"
"333088","506007","1"
"333089","506008","1"
"333090","506009","1"
"333091","506010","1"
"333092","506011","1"
