"id","道具名称","合成消耗绑定银币","合成消耗银币","合成消耗银币类型","合成消耗道具数","合成产物","等级要求","道具名颜色","排序id","道具合成几率","合成失败返还道具ID","合成失败返还道具数量"
"35001","1级血精石","0","0","1","2","35010","1","ffffff33","4001","100","35001","1"
"35002","1级红曜石","0","0","1","2","35011","1","ffffff33","4002","100","35002","1"
"35003","1级石榴石","0","0","1","2","35012","1","ffffff33","4003","100","35003","1"
"35004","1级月亮石","0","0","1","2","35013","1","ffffff33","4004","100","35004","1"
"35005","1级孔雀石","0","0","1","2","35014","1","ffffff33","4005","100","35005","1"
"35006","1级猫眼石","0","0","1","2","35015","1","ffffff33","4006","100","35006","1"
"35007","1级茶晶石","0","0","1","2","35016","1","ffffff33","4007","100","35007","1"
"35008","1级红宝石","0","0","1","2","35017","1","ffffff33","4008","100","35008","1"
"35009","1级蓝宝石","0","0","1","2","35018","1","ffffff33","4009","100","35009","1"
"35010","2级血精石","0","0","1","2","35019","1","ffffff33","4010","100","35010","1"
"35011","2级红曜石","0","0","1","2","35020","1","ffffff33","4011","100","35011","1"
"35012","2级石榴石","0","0","1","2","35021","1","ffffff33","4012","100","35012","1"
"35013","2级月亮石","0","0","1","2","35022","1","ffffff33","4013","100","35013","1"
"35014","2级孔雀石","0","0","1","2","35023","1","ffffff33","4014","100","35014","1"
"35015","2级猫眼石","0","0","1","2","35024","1","ffffff33","4015","100","35015","1"
"35016","2级茶晶石","0","0","1","2","35025","1","ffffff33","4016","100","35016","1"
"35017","2级红宝石","0","0","1","2","35026","1","ffffff33","4017","100","35017","1"
"35018","2级蓝宝石","0","0","1","2","35027","1","ffffff33","4018","100","35018","1"
"35019","3级血精石","0","0","1","2","35028","1","ffffff33","4019","100","35019","1"
"35020","3级红曜石","0","0","1","2","35029","1","ffffff33","4020","100","35020","1"
"35021","3级石榴石","0","0","1","2","35030","1","ffffff33","4021","100","35021","1"
"35022","3级月亮石","0","0","1","2","35031","1","ffffff33","4022","100","35022","1"
"35023","3级孔雀石","0","0","1","2","35032","1","ffffff33","4023","100","35023","1"
"35024","3级猫眼石","0","0","1","2","35033","1","ffffff33","4024","100","35024","1"
"35025","3级茶晶石","0","0","1","2","35034","1","ffffff33","4025","100","35025","1"
"35026","3级红宝石","0","0","1","2","35035","1","ffffff33","4026","100","35026","1"
"35027","3级蓝宝石","0","0","1","2","35036","1","ffffff33","4027","100","35027","1"
"35028","4级血精石","0","0","1","2","35037","1","ffffff33","4028","100","35028","1"
"35029","4级红曜石","0","0","1","2","35038","1","ffffff33","4029","100","35029","1"
"35030","4级石榴石","0","0","1","2","35039","1","ffffff33","4030","100","35030","1"
"35031","4级月亮石","0","0","1","2","35040","1","ffffff33","4031","100","35031","1"
"35032","4级孔雀石","0","0","1","2","35041","1","ffffff33","4032","100","35032","1"
"35033","4级猫眼石","0","0","1","2","35042","1","ffffff33","4033","100","35033","1"
"35034","4级茶晶石","0","0","1","2","35043","1","ffffff33","4034","100","35034","1"
"35035","4级红宝石","0","0","1","2","35044","1","ffffff33","4035","100","35035","1"
"35036","4级蓝宝石","0","0","1","2","35045","1","ffffff33","4036","100","35036","1"
"35037","5级血精石","0","0","1","2","35046","1","ffffff33","4037","100","35037","1"
"35038","5级红曜石","0","0","1","2","35047","1","ffffff33","4038","100","35038","1"
"35039","5级石榴石","0","0","1","2","35048","1","ffffff33","4039","100","35039","1"
"35040","5级月亮石","0","0","1","2","35049","1","ffffff33","4040","100","35040","1"
"35041","5级孔雀石","0","0","1","2","35050","1","ffffff33","4041","100","35041","1"
"35042","5级猫眼石","0","0","1","2","35051","1","ffffff33","4042","100","35042","1"
"35043","5级茶晶石","0","0","1","2","35052","1","ffffff33","4043","100","35043","1"
"35044","5级红宝石","0","0","1","2","35053","1","ffffff33","4044","100","35044","1"
"35045","5级蓝宝石","0","0","1","2","35054","1","ffffff33","4045","100","35045","1"
"35046","6级血精石","0","0","1","2","35055","1","ffffff33","4046","100","35046","1"
"35047","6级红曜石","0","0","1","2","35056","1","ffffff33","4047","100","35047","1"
"35048","6级石榴石","0","0","1","2","35057","1","ffffff33","4048","100","35048","1"
"35049","6级月亮石","0","0","1","2","35058","1","ffffff33","4049","100","35049","1"
"35050","6级孔雀石","0","0","1","2","35059","1","ffffff33","4050","100","35050","1"
"35051","6级猫眼石","0","0","1","2","35060","1","ffffff33","4051","100","35051","1"
"35052","6级茶晶石","0","0","1","2","35061","1","ffffff33","4052","100","35052","1"
"35053","6级红宝石","0","0","1","2","35062","1","ffffff33","4053","100","35053","1"
"35054","6级蓝宝石","0","0","1","2","35063","1","ffffff33","4054","100","35054","1"
"35055","7级血精石","0","0","1","2","35064","1","ffffff33","4055","100","35055","1"
"35056","7级红曜石","0","0","1","2","35065","1","ffffff33","4056","100","35056","1"
"35057","7级石榴石","0","0","1","2","35066","1","ffffff33","4057","100","35057","1"
"35058","7级月亮石","0","0","1","2","35067","1","ffffff33","4058","100","35058","1"
"35059","7级孔雀石","0","0","1","2","35068","1","ffffff33","4059","100","35059","1"
"35060","7级猫眼石","0","0","1","2","35069","1","ffffff33","4060","100","35060","1"
"35061","7级茶晶石","0","0","1","2","35070","1","ffffff33","4061","100","35061","1"
"35062","7级红宝石","0","0","1","2","35071","1","ffffff33","4062","100","35062","1"
"35063","7级蓝宝石","0","0","1","2","35072","1","ffffff33","4063","100","35063","1"
"35064","8级血精石","0","0","1","2","35073","1","ffffff33","4064","50","35064","1"
"35065","8级红曜石","0","0","1","2","35074","1","ffffff33","4065","50","35065","1"
"35066","8级石榴石","0","0","1","2","35075","1","ffffff33","4066","50","35066","1"
"35067","8级月亮石","0","0","1","2","35076","1","ffffff33","4067","50","35067","1"
"35068","8级孔雀石","0","0","1","2","35077","1","ffffff33","4068","50","35068","1"
"35069","8级猫眼石","0","0","1","2","35078","1","ffffff33","4069","50","35069","1"
"35070","8级茶晶石","0","0","1","2","35079","1","ffffff33","4070","50","35070","1"
"35071","8级红宝石","0","0","1","2","35080","1","ffffff33","4071","50","35071","1"
"35072","8级蓝宝石","0","0","1","2","35081","1","ffffff33","4072","50","35072","1"
"35073","9级血精石","0","0","1","2","35082","1","ffffff33","4073","30","35073","1"
"35074","9级红曜石","0","0","1","2","35083","1","ffffff33","4074","30","35074","1"
"35075","9级石榴石","0","0","1","2","35084","1","ffffff33","4075","30","35075","1"
"35076","9级月亮石","0","0","1","2","35085","1","ffffff33","4076","30","35076","1"
"35077","9级孔雀石","0","0","1","2","35086","1","ffffff33","4077","30","35077","1"
"35078","9级猫眼石","0","0","1","2","35087","1","ffffff33","4078","30","35078","1"
"35079","9级茶晶石","0","0","1","2","35088","1","ffffff33","4079","30","35079","1"
"35080","9级红宝石","0","0","1","2","35089","1","ffffff33","4080","30","35080","1"
"35081","9级蓝宝石","0","0","1","2","35090","1","ffffff33","4081","30","35081","1"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
