"编号","显示名","类型","宝石类型","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","镶嵌效果","镶嵌部位","合成宝石ID","合成成功率","tips特效表情","tips图标","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","属性名1","属性值1","属性名2","属性值2","属性名3","属性值3","属性名4","属性值4","属性名5","属性值5","属性名6","属性值6","增加躲闪","增加火系法术吸收几率","增加金系法术吸收几率","增加命中","增加木系法术吸收几率","增加内功防御","增加内功伤害","增加水系法术吸收几率","增加速度","增加土系法术吸收几率","增加外功防御","增加外功伤害","增加真气上限","增加最大生命上限","属性1ID","属性1数值","属性2ID","属性2数值","属性3ID","属性3数值","属性4ID","属性4数值","属性6ID","属性6数值","对应装备类型1","对应装备类型2","对应装备类型3","对应装备类型4","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","可否分解","分解成道具","分解数量","是否稀有","摆摊冻结时间"
"35001","1级血精石","5","1","fffff2df","1","1149","颗","1","10","4001","true","0","生命 +40","衣甲、腰带","35010","100","0","maoyanshi1","0","1000","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像血液凝聚而成闻名，镶嵌在衣甲或腰带上提高生命。2个低阶宝石可以合成1个高阶宝石。","生命 +40","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"60","40","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","6","0","0","60","40",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35002","1级红曜石","5","2","fffff2df","1","1148","颗","1","10","4002","true","0","物理攻击 +8","武器、头盔","35011","100","0","jingangshi1","0","1001","false","false","false","0","0","1","1","999","0","0","世间最为锋利的宝石，镶嵌在武器或头上提高物理攻击力。2个低阶宝石可以合成1个高阶宝石。","物理攻击 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"130","8","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","6","0","0","0","130","8",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35003","1级石榴石","5","3","fffff2df","1","1147","颗","1","10","4003","true","0","物理防御 +12","衣甲、头盔","35012","100","0","longxueshi1","0","1002","false","false","false","0","0","1","1","999","0","0","传说是远古神龙的化石，质地坚硬，镶嵌在头上或衣甲上提高物理防御力。2个低阶宝石可以合成1个高阶宝石。","物理防御 +12","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"140","12","",,"",,"",,"",,,,"0","0","0","0","0","0","6","0","0","0","0","0","0","0","140","12",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35004","1级月亮石","5","4","fffff2df","1","1146","颗","1","10","4004","true","0","法术攻击 +6","武器、项链","35013","100","0","lanyingshi1","0","1003","false","false","false","0","0","1","1","999","0","0","蓝色的月亮石，犹如月亮般明亮，镶嵌在武器或项链上提高法术攻击。2个低阶宝石可以合成1个高阶宝石。","法术攻击 +6","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"150","6","",,"",,"",,"",,,,"0","0","0","0","0","6","0","0","0","0","0","0","0","0","150","6",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35005","1级孔雀石","5","5","fffff2df","1","1029","颗","1","10","4005","true","0","法术防御 +8","衣甲、项链","35014","100","0","lvsongshi1","0","1004","false","false","false","0","0","1","1","999","0","0","可以静心凝神的神奇宝石，产自北方，镶嵌在衣甲或项链上提高法术防御。2个低阶宝石可以合成1个高阶宝石。","法术防御 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"160","8","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","18","160","8",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35006","1级猫眼石","5","6","fffff2df","1","1028","颗","1","10","4006","true","0","速度 +8","腰带、鞋子","35015","100","0","manaoshi1","0","1005","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。","速度 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"200","8","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","4","0","0","0","0","0","200","8",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35007","1级茶晶石","5","7","fffff2df","1","1027","颗","1","10","4007","true","0","治疗强度 +8","武器、衣甲","35016","100","0","ganlanshi1","0","1006","false","false","false","0","0","1","1","999","0","0","传自异域的神奇宝石，镶嵌在武器或衣甲上能提升治疗强度。2个低阶宝石可以合成1个高阶宝石。","治疗强度 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"170","8","",,"",,"",,"",,,,"24","0","0","0","0","0","0","0","0","0","0","0","0","0","170","8",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35008","1级红宝石","5","8","fffff2df","1","1026","颗","1","10","4008","true","0","控制命中 +6","武器","35017","100","0","maoyanshi2","0","1007","false","false","false","0","0","1","1","999","0","0","神秘外域产出的红色宝石，镶嵌在武器上提升控制命中。2个低阶宝石可以合成1个高阶宝石。","控制命中 +6","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"180","6","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","12","0","0","180","6",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35009","1级蓝宝石","5","9","fffff2df","1","1025","颗","1","10","4009","true","0","控制抗性 +4","腰带、鞋子","35018","100","0","jingangshi2","0","1008","false","false","false","0","0","1","1","999","0","0","神秘外域产出的蓝色宝石，镶嵌在腰带或鞋上能提升控制抗性。2个低阶宝石可以合成1个高阶宝石。","控制抗性 +4","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"190","4","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","12","0","0","0","190","4",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35010","2级血精石","5","1","FF06cc11","2","1149","颗","2","20","4010","true","0","生命 +80","衣甲、腰带","35019","100","0","longxueshi2","0","1009","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像血液凝聚而成闻名，镶嵌在衣甲或腰带上提高生命。2个低阶宝石可以合成1个高阶宝石。","生命 +80","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"60","80","",,"",,"",,"",,,,"0","0","0","0","0","0","12","0","0","0","0","0","0","0","60","80",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
