"npcid","名称","备注","所属副本ID","初始状态","服务列表","初始动作","npc类型","状态改变1","状态改变2","状态改变3","状态改变4","所属进度","单次交互人数下限","NPC随机最小数量","NPC随机最大数量","完成宝箱库ID","每人宝箱数","奖励","匹配奖励方式","分级奖励","固定刷新坐标X","固定刷新坐标Y"
"180351","恋宝矮人","恋宝矮人1-3","110","1","100311","190001","1","","","","","1;2;3","1","3","5","","","6260","","",,
"180352","贪食公主","贪食公主1-3","110","1","100312","190002","1","","","","","1;2;3","1","3","5","","","6260","","",,
"180353","书魂囧龟","书魂囧龟","110","1","100313","190003","1","","","","","1;2;3;4;5;6;7;8;9","1","3","5","","","6260","","",,
"180354","宝箱","宝箱","110","1","","","1","","","","","10","1","20","20","","","","","",,
"180355","熔火骑士","惧封","110","1","100315","190005","1","","","","","1;2","3","1","3","","","6260","","",,
"180356","熔火哨兵","铁甲","110","1","100316","190006","1","","","","","1;2","3","1","3","","","6260","","",,
"180357","熔火法师","抗魔","110","1","100317","190007","1","","","","","1;2","3","1","3","","","6260","","",,
"180358","熔火骑士","惧封","110","1","100318","190008","1","","","","","3;4","3","2","4","","","6260","","",,
"180359","熔火哨兵","铁甲","110","1","100319","190009","1","","","","","3;4","3","2","4","","","6260","","",,
"180360","熔火法师","抗魔","110","1","100320","190010","1","","","","","3;4","3","2","4","","","6260","","",,
"180361","熔火骑士","惧封","110","1","100321","190011","1","","","","","5;6","3","3","5","","","6260","","",,
"180362","熔火哨兵","铁甲","110","1","100322","190012","1","","","","","5;6","3","3","5","","","6260","","",,
"180363","熔火法师","抗魔","110","1","100323","190013","1","","","","","5;6","3","3","5","","","6260","","",,
"180364","熔火骑士","惧封","110","1","100324","190014","1","","","","","7;8","3","4","6","","","6260","","",,
"180365","熔火哨兵","铁甲","110","1","100325","190015","1","","","","","7;8","3","4","6","","","6260","","",,
"180366","熔火法师","抗魔","110","1","100326","190016","1","","","","","7;8","3","4","6","","","6260","","",,
"180367","熔火骑士","惧封","110","1","100327","190017","1","","","","","9","3","5","7","","","6260","","",,
