"id","道具id","道具数量","货币类型","货币数量","是否绑定","角标","双倍类型"
"101","335000","1","0","0","0",,"1"
"102","40008","2","0","0","0","set:jiangli image:2day","2"
"103","337008","1","0","0","0",,"1"
"104","334100","1","0","0","0",,"1"
"105","310102","2","0","0","0","set:jiangli image:5day","3"
"106","335001","1","0","0","0",,"4"
"107","40008","2","0","0","0","set:jiangli image:7day","5"
"108","337008","1","0","0","0",,"1"
"109","334100","2","0","0","0",,"1"
"110","337005","1","0","0","0","set:jiangli image:10day","1"
"111","335001","1","0","0","0",,"1"
"112","360000","5","0","0","0","set:jiangli image:12day","1"
"113","337008","1","0","0","0",,"1"
"114","334100","3","0","0","0",,"1"
"115","337006","1","0","0","0","set:jiangli image:15day","1"
"116","335004","1","0","0","0",,"1"
"117","40008","2","0","0","0","set:jiangli image:17day","1"
"118","337008","1","0","0","0",,"2"
"119","334100","4","0","0","0",,"3"
"120","310102","1","0","0","0","set:jiangli image:20day","1"
"121","335004","1","0","0","0",,"3"
"122","360000","5","0","0","0","set:jiangli image:22day","4"
"123","337008","1","0","0","0",,"5"
"124","334100","5","0","0","0",,"1"
"125","310102","3","0","0","0","set:jiangli image:25day","1"
"126","335002","1","0","0","0",,"1"
"127","40008","2","0","0","0","set:jiangli image:27day","1"
"128","337008","1","0","0","0",,"2"
"129","334100","6","0","0","0",,"4"
"130","337007","1","0","0","0",,"3"
"131","335002","1","0","0","0",,"1"
"201","335000","1","0","0","0",,"1"
"202","40008","2","0","0","0","set:jiangli image:2day","2"
"203","337008","1","0","0","0",,"1"
"204","334100","1","0","0","0",,"1"
"205","310102","2","0","0","0","set:jiangli image:5day","3"
"206","335001","1","0","0","0",,"4"
"207","40008","2","0","0","0","set:jiangli image:7day","5"
"208","337008","1","0","0","0",,"1"
"209","334100","2","0","0","0",,"1"
"210","337005","1","0","0","0","set:jiangli image:10day","1"
"211","335001","1","0","0","0",,"1"
"212","360000","5","0","0","0","set:jiangli image:12day","1"
"213","337008","1","0","0","0",,"1"
"214","334100","3","0","0","0",,"1"
"215","337006","1","0","0","0","set:jiangli image:15day","1"
"216","335004","1","0","0","0",,"1"
"217","40008","2","0","0","0","set:jiangli image:17day","1"
"218","337008","1","0","0","0",,"2"
"219","334100","4","0","0","0",,"3"
"220","310102","1","0","0","0","set:jiangli image:20day","1"
"221","335004","1","0","0","0",,"3"
"222","360000","5","0","0","0","set:jiangli image:22day","4"
"223","337008","1","0","0","0",,"1"
"224","334100","5","0","0","0",,"2"
"225","310102","3","0","0","0","set:jiangli image:25day","1"
"226","335002","1","0","0","0",,"1"
"227","40008","2","0","0","0","set:jiangli image:27day","3"
"228","337008","1","0","0","0",,"3"
"229","334100","6","0","0","0",,"3"
"301","335000","1","0","0","0",,"4"
"302","40008","2","0","0","0","set:jiangli image:2day","5"
"303","337008","1","0","0","0",,"1"
"304","334100","1","0","0","0",,"1"
"305","310102","2","0","0","0","set:jiangli image:5day","1"
"306","335001","1","0","0","0",,"1"
"307","40008","2","0","0","0","set:jiangli image:7day","1"
"308","337008","1","0","0","0",,"1"
"309","334100","2","0","0","0",,"1"
"310","337005","1","0","0","0","set:jiangli image:10day","1"
"311","335001","1","0","0","0",,"1"
"312","360000","5","0","0","0","set:jiangli image:12day","1"
"313","337008","1","0","0","0",,"2"
"314","334100","3","0","0","0",,"3"
"315","337006","1","0","0","0","set:jiangli image:15day","1"
"316","335004","1","0","0","0",,"3"
"317","40008","2","0","0","0","set:jiangli image:17day","4"
"318","337008","1","0","0","0",,"5"
"319","334100","4","0","0","0",,"1"
"320","310102","1","0","0","0","set:jiangli image:20day","1"
"321","335004","1","0","0","0",,"1"
"322","360000","5","0","0","0","set:jiangli image:22day","1"
"323","337008","1","0","0","0",,"2"
"324","334100","5","0","0","0",,"4"
"325","310102","3","0","0","0","set:jiangli image:25day","3"
"326","335002","1","0","0","0",,"1"
"327","40008","2","0","0","0","set:jiangli image:27day","1"
