"公会金库等级","升级费用","公会分红加成","公会分红总额","公会资金上限","备注","公会金库维护费用/天"
"0","1500000","0","100000","10000000",,"120000"
"1","3000000","200","100000","25000000",,"240000"
"2","4500000","400","100000","40000000",,"360000"
"3","6000000","600","100000","55000000",,"480000"
"4","7500000","800","100000","70000000",,"600000"
"5","9000000","1000","100000","85000000",,"720000"
"6","10500000","1200","100000","100000000",,"840000"
"7","12000000","1400","100000","115000000",,"960000"
"8","13500000","1600","100000","130000000",,"1080000"
"9","15000000","1800","100000","145000000",,"1200000"
"10","16500000","2000","100000","160000000",,"1320000"
