"定时活动配置表id","注释（策划备注）","活动开始时间","距离活动开始间隔时间","间隔刷新时间","刷新时系统提示信息编号","刷新方式","补怪数量上限","补怪持续时间","刷新列表","刷新列表数量","每种NPC数量","刷新场景","刷新场景个数","怪物存在时间","击杀奖励个数","奖励ID","奖励个数超过提示编号","是否组队","组队人数要求","需求等级下限","需求等级上限"
"200001","巨龙护卫","00:00:00","600","1200","150222","1","120","600","170100,170101,170102","1","20","1608@8;1609@8;1605@8","3","3600","10","5790","150231","1","3","35","49"
"200002","巨龙护卫","00:00:00","600","1200","150222","1","120","600","170100,170101,170102","1","20","1608@8;1609@8;1605@8","3","3600","10","5790","150231","1","3","35","49"
"200003","巨龙护卫","00:00:00","600","1200","150222","1","120","600","170100,170101,170102","1","20","1608@8;1609@8;1605@8","3","3600","10","5790","150231","1","3","35","49"
"200004","巨龙护卫","00:00:00","600","1200","150222","1","120","600","170100,170101,170102","1","20","1608@8;1609@8;1605@8","3","3600","10","5790","150231","1","3","35","49"
"200005","巨龙护卫","00:00:00","600","1200","150222","1","120","600","170100,170101,170102","1","20","1608@8;1609@8;1605@8","3","3600","10","5790","150231","1","3","35","49"
"200006","巨龙护卫","00:00:00","600","1200","150222","1","120","600","170100,170101,170102","1","20","1608@8;1609@8;1605@8","3","3600","10","5790","150231","1","3","35","49"
"200007","巨龙护卫","00:00:00","600","1200","150222","1","120","600","170100,170101,170102","1","20","1608@8;1609@8;1605@8","3","3600","10","5790","150231","1","3","35","49"
"201001","巨龙军团1星（28星宿）","00:00:05","","3600","150223","0","0","0","170051,170052,170053,170054,170055","1","16","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201002","巨龙军团1星（28星宿）","00:00:05","","3600","150223","0","0","0","170051,170052,170053,170054,170055","1","16","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201003","巨龙军团1星（28星宿）","00:00:05","","3600","150223","0","0","0","170051,170052,170053,170054,170055","1","16","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201004","巨龙军团1星（28星宿）","00:00:05","","3600","150223","0","0","0","170051,170052,170053,170054,170055","1","16","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201005","巨龙军团1星（28星宿）","00:00:05","","3600","150223","0","0","0","170051,170052,170053,170054,170055","1","16","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201006","巨龙军团1星（28星宿）","00:00:05","","3600","150223","0","0","0","170051,170052,170053,170054,170055","1","16","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201007","巨龙军团1星（28星宿）","00:00:05","","3600","150223","0","0","0","170051,170052,170053,170054,170055","1","16","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201008","巨龙军团2星（28星宿）","00:00:05","","3600","150224","0","0","0","170061,170062,170063,170064,170065","1","8","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201009","巨龙军团2星（28星宿）","00:00:05","","3600","150224","0","0","0","170061,170062,170063,170064,170065","1","8","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201010","巨龙军团2星（28星宿）","00:00:05","","3600","150224","0","0","0","170061,170062,170063,170064,170065","1","8","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201011","巨龙军团2星（28星宿）","00:00:05","","3600","150224","0","0","0","170061,170062,170063,170064,170065","1","8","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201012","巨龙军团2星（28星宿）","00:00:05","","3600","150224","0","0","0","170061,170062,170063,170064,170065","1","8","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201013","巨龙军团2星（28星宿）","00:00:05","","3600","150224","0","0","0","170061,170062,170063,170064,170065","1","8","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"201014","巨龙军团2星（28星宿）","00:00:05","","3600","150224","0","0","0","170061,170062,170063,170064,170065","1","8","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","4","3600","5","5800","150524","1","3","50","155"
"230001","星界商人","10:00:00",,"3600","170015","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"230002","星界商人","10:00:00",,"3600","170015","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"230003","星界商人","10:00:00","","3600","170015","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"230004","星界商人","10:00:00","","3600","170015","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"230005","星界商人","10:00:00","","3600","170015","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"230006","星界商人","10:00:00","","3600","170015","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"230007","星界商人","10:00:00","","3600","170015","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"231001","血帆小贩","10:00:00","","3600","170016","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"231002","血帆小贩","10:00:00","","3600","170016","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"231003","血帆小贩","10:00:00","","3600","170016","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"231004","血帆小贩","10:00:00","","3600","170016","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"231005","血帆小贩","10:00:00","","3600","170016","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"231006","血帆小贩","10:00:00","","3600","170016","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
"231007","血帆小贩","10:00:00","","3600","170016","0","0","0","183706,183707","1","30","1605@8;1606@8;1607@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","3","3300","0","0","0","0","0","1","155"
