"id","名称1","宽度1","名称2","宽度2","名称3","宽度3","名称4","宽度4","名称5","宽度5","是否领取奖励","类型"
"1","排名","0.15","玩家名称","0.4","职业","0.15","等级","0.3",,"0.0","0","等级"
"9","排名","0.15","宠物名称","0.3","主人名称","0.3","宠物评分","0.2",,"0.0","0","宠物"
"32","排名","0.15","玩家名称","0.4","职业","0.15","综合战力","0.3",,"0.0","0","综合战力"
"38","排名","0.15","玩家名称","0.4","职业","0.15","人物评分","0.3",,"0.0","0","人物"
"43","排名","0.15","玩家名称","0.3","公会名称","0.3","综合战力","0.2",,"0.0","0","战士"
"44","排名","0.15","玩家名称","0.3","公会名称","0.3","综合战力","0.2",,"0.0","0","法师"
"45","排名","0.15","玩家名称","0.3","公会名称","0.3","综合战力","0.2",,"0.0","0","牧师"
"46","排名","0.15","玩家名称","0.3","公会名称","0.3","综合战力","0.2",,"0.0","0","圣骑"
"47","排名","0.15","玩家名称","0.3","公会名称","0.3","综合战力","0.2",,"0.0","0","猎人"
"48","排名","0.15","玩家名称","0.3","公会名称","0.3","综合战力","0.2",,"0.0","0","德鲁伊"
"49","排名","0.15","公会名称","0.3","等级","0.3","人数/总人数","0.2",,"0.0","0","公会等级"
"50","排名","0.15","公会名称","0.3","等级","0.3","综合战力","0.2",,"0.0","0","公会综合实力"
"51","排名","0.15","公会名称","0.3","时间","0.3","副本进度","0.2",,"0.0","0","熔火之心"
"52","排名","0.15","公会名称","0.3","时间","0.3","副本进度","0.2",,"0.0","0","纳克萨玛斯"
"60","排名","0.15","玩家名称","0.3","公会名称","0.3","综合战力","0.2",,"0.0","0","盗贼"
"61","排名","0.15","玩家名称","0.3","公会名称","0.3","综合战力","0.2",,"0.0","0","萨满"
"62","排名","0.15","玩家名称","0.3","公会名称","0.3","综合战力","0.2",,"0.0","0","术士"
