"id","语录内容","最大行数"
"1","切换地图是不会产生流量的哦~","38"
"2","MT3项目组*绝对*不会以任何方式索取您的密码信息。","38"
"3","官方暂不支持玩家间的交易，请警惕风险，预防受骗。","38"
"4","加入公会后，可以学习生活技能。","38"
"5","野生宠物通过炼妖可以变为宝宝。","38"
"6","公会专精可以大幅提升你的属性。","38"
"7","强化打造装备，可以获得更高属性。","38"
"8","职业日常是每日必做任务。","38"
"9","每天可以找旅店老板领取15次考古任务。","38"
"10","珍品装备、宝宝可以通过摆摊购买。","38"
"11","“退出公会”后公会技能不会消失 。","38"
"12","珍品装备、宝宝可以通过摆摊贩卖。","38"
"13","高级藏宝图有几率放出宠物幼儿园。","38"
"14","集齐一套巨龙鳞片可以找旅店老板换取高级藏宝图。","38"
"15","烹饪是一项公会技能。","38"
"16","烹饪技能等级越高，制作的烹饪种类越多，品质也越高。","38"
"17","炼金是一项公会技能。","38"
"18","炼金技能等级越高，制作的药水种类越多，品质也越高。","38"
"19","参加“竞技场”可获得“荣誉值”，“荣誉值”可换取道具。","38"
"20","每天可以封印10次古神爪牙。","38"
"21","日常副本可以消耗双倍点数，大大提升经验。","38"
"22","每天整点会有巨龙军团入侵MT世界。","38"
"23","两颗低级宝石可以通过合成获得一颗高级宝石。","38"
"24","耐久度可以通过相关模具进行修理。","38"
"25","暗夜男——喜欢大小姐，愿意为大小姐付出一切。","38"
"26","竞技场的排名会让你定时获得丰厚的奖励。","38"
"27","哀木涕——小软，哪里去呀！来，让大爷乐一个。","38"
"28","小德——哦打，打打打打打打打打！快说，哀木涕在哪？","38"
"29","你可以通过-“头像”-“人物信息”-“回公会”回到“公会领地”。","38"
"30","离线后也能获得经验哦！","38"
"31","诅咒你roll点不过20，诅咒你roll点不过20，诅咒你roll点不过20……","38"
"32","哀木涕哥哥天生一张嘲讽脸，以后定成大事。","38"
"33","镶嵌高级宝石能让你更加强力。","38"
"34","与他人共享账号可能让你失去它。","38"
"35","伙伴助战也有职业区分呦。","38"
"36","两只宝宝可以进行“合宠”操作哦。","38"
"37","组队时请保持礼貌，他们会再次邀请你入队。","38"
"38","请勿轻信非官方发布的代充广告，多为敲诈行为。若充值有困难，可联系客服解决。","38"
