"id","任务id","策划备注","任务类型","mapid","npcid","step","出现几率","LefttopX","LefttopY","结束任务","装饰npc1","坐标x1","坐标y1","装饰npc2","坐标x2","坐标y2","装饰npc3","坐标x3","坐标y3"
"1001","2010001","巨魔之都1","1","1801","180101","1","","43","16","0","180309","57","19","180310","54","12","0","0","0"
"1002","2010002","巨魔之都2","1","1801","180102","2","","59","33","0","180311","55","39","180312","65","39","0","0","0"
"1003","2010003","巨魔之都3","1","1801","180103","3","","36","34","0","180313","31","29","180314","28","34","0","0","0"
"1004","2010004","巨魔之都4","1","1801","180104","4","","37","65","0","180315","32","71","180316","44","71","0","0","0"
"1005","2010005","巨魔之都5","1","1801","180105","5","","60","80","1","180317","65","70","180318","73","78","0","0","0"
"1006","2010006","诅咒之塔1","2","1803","180111","1","","20","47","0","180309","12","47","180310","17","59","0","0","0"
"1007","2010007","诅咒之塔2","2","1803","180112","2","","17","95","0","180311","9","96","180312","16","105","0","0","0"
"1008","2010008","诅咒之塔3","2","1803","180113","3","","57","92","0","180313","63","83","180314","67","94","0","0","0"
"1009","2010009","诅咒之塔4","2","1803","180114","4","","72","35","0","180315","70","24","180316","85","34","0","0","0"
"1010","2010010","诅咒之塔5","2","1803","180115","5","","52","50","1","180317","41","49","180318","50","60","0","0","0"
"1011","2010011","巨魔之都1(精英)","3","1802","180121","1","","43","16","0","180309","57","19","180310","54","12","0","0","0"
"1012","2010012","巨魔之都2(精英)","3","1802","180122","2","","59","33","0","180311","55","39","180312","65","39","0","0","0"
"1013","2010013","巨魔之都3(精英)","3","1802","180123","3","","36","34","0","180313","31","29","180314","28","34","0","0","0"
"1014","2010014","巨魔之都4(精英)","3","1802","180124","4","","37","65","0","180315","32","71","180316","44","71","0","0","0"
"1015","2010015","巨魔之都5(精英)","3","1802","180125","5","","60","80","1","180317","65","70","180318","73","78","0","0","0"
"1016","2010016","诅咒之塔1(精英)","4","1804","180131","1","","20","47","0","180309","12","47","180310","17","59","0","0","0"
"1017","2010017","诅咒之塔2(精英)","4","1804","180132","2","","17","95","0","180311","9","96","180312","16","105","0","0","0"
"1018","2010018","诅咒之塔3(精英)","4","1804","180133","3","","57","92","0","180313","63","83","180314","67","94","0","0","0"
"1019","2010019","诅咒之塔4(精英)","4","1804","180134","4","","72","35","0","180315","70","24","180316","85","34","0","0","0"
"1020","2010020","诅咒之塔5(精英)","4","1804","180135","5","","52","50","1","180317","41","49","180318","50","60","0","0","0"
,,,,,,,,"",,,,,,,,,,,
,,,,,,,,"",,,,,,,,,,,
,,,,,,,,"",,,,,,,,,,,
,,,,,,,,"",,,,,,,,,,,
,,,,,,,,"",,,,,,,,,,,
,,,,,,,,"",,,,,,,,,,,
,,,,,,,,"",,,,,,,,,,,
,,,,,,,,"",,,,,,,,,,,
,,,,,,,,"",,,,,,,,,,,
,,,,,,,,"",,,,,,,,,,,
