"任务ID","活动ID","副本ID","任务名","任务文本","是否开放","队伍人数下限","等级段","对应活动类型ID","适应等级","进入最低等级","进入最高等级","难度","开启时间","开始时间","结束时间","轮换类型","轮换组","轮换顺序ID","奖励次数类型","奖励次数","显示方式","BOSS造型","主题图名称","副本说明","默认X坐标","默认Y坐标","翻牌奖励id","C级奖励id","B级奖励id","A级奖励id","S级奖励id"
"1","202001","1","巨魔之都","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","106","40级","40","155","1","40级开启",,,,,,"1","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","21","21","21","21"
"2","202002","1","巨魔之都","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","106","40级","40","155","1","40级开启",,,,,,"1","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","21","21","21","21"
"3","202003","1","巨魔之都","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","106","40级","40","155","1","40级开启",,,,,,"1","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","21","21","21","21"
"4","202004","1","巨魔之都","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","106","40级","40","155","1","40级开启",,,,,,"1","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","21","21","21","21"
"5","202005","1","巨魔之都","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","106","40级","40","155","1","40级开启",,,,,,"1","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","21","21","21","21"
"6","202006","1","巨魔之都","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","106","40级","40","155","1","40级开启",,,,,,"1","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","21","21","21","21"
"7","202007","1","巨魔之都","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","106","40级","40","155","1","40级开启",,,,,,"1","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","21","21","21","21"
"8","203001","2","诅咒之塔","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","107","60级","60","155","1","60级开启",,,,,,"1","1","1","1010133","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","23","23","23","23"
"9","203002","2","诅咒之塔","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","107","60级","60","155","1","60级开启",,,,,,"1","1","1","1010134","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","23","23","23","23"
"10","203003","2","诅咒之塔","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","107","60级","60","155","1","60级开启",,,,,,"1","1","1","1010133","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","23","23","23","23"
"11","203004","2","诅咒之塔","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","107","60级","60","155","1","60级开启",,,,,,"1","1","1","1010134","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","23","23","23","23"
"12","203005","2","诅咒之塔","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","107","60级","60","155","1","60级开启",,,,,,"1","1","1","1010133","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","23","23","23","23"
"13","203006","2","诅咒之塔","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","107","60级","60","155","1","60级开启",,,,,,"1","1","1","1010134","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","23","23","23","23"
"14","203007","2","诅咒之塔","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","107","60级","60","155","1","60级开启",,,,,,"1","1","1","1010133","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","23","23","23","23"
"15","204001","3","巨魔之都(精英)","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","112","40级","40","155","2","40级开启",,,,,,"2","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","22","22","22","22"
"16","204002","3","巨魔之都(精英)","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","112","40级","40","155","2","40级开启",,,,,,"2","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","22","22","22","22"
"17","204003","3","巨魔之都(精英)","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","112","40级","40","155","2","40级开启",,,,,,"2","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","22","22","22","22"
"18","204004","3","巨魔之都(精英)","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","112","40级","40","155","2","40级开启",,,,,,"2","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","22","22","22","22"
"19","204005","3","巨魔之都(精英)","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","112","40级","40","155","2","40级开启",,,,,,"2","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","22","22","22","22"
"20","204006","3","巨魔之都(精英)","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","112","40级","40","155","2","40级开启",,,,,,"2","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","22","22","22","22"
"21","204007","3","巨魔之都(精英)","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","1","3","1","112","40级","40","155","2","40级开启",,,,,,"2","1","1","1000106","set:xiaoaihao image:xiaoaihao","复仇的火焰，时刻燃烧，不安的灵魂，躁动嚎叫。","27","12","20","22","22","22","22"
"22","205001","4","诅咒之塔(精英)","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","113","60级","60","155","2","60级开启",,,,,,"2","1","1","1010133","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","24","24","24","24"
"23","205002","4","诅咒之塔(精英)","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","113","60级","60","155","2","60级开启",,,,,,"2","1","1","1010134","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","24","24","24","24"
"24","205003","4","诅咒之塔(精英)","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","113","60级","60","155","2","60级开启",,,,,,"2","1","1","1010133","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","24","24","24","24"
"25","205004","4","诅咒之塔(精英)","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","113","60级","60","155","2","60级开启",,,,,,"2","1","1","1010134","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","24","24","24","24"
"26","205005","4","诅咒之塔(精英)","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","113","60级","60","155","2","60级开启",,,,,,"2","1","1","1010133","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","24","24","24","24"
"27","205006","4","诅咒之塔(精英)","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","113","60级","60","155","2","60级开启",,,,,,"2","1","1","1010134","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","24","24","24","24"
"28","205007","4","诅咒之塔(精英)","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","1","3","1","113","60级","60","155","2","60级开启",,,,,,"2","1","1","1010133","set:xiaoxuese image:xiaoxuese","诅咒之地，黑雾弥漫，毁灭之门，再次洞开。","27","12","20","24","24","24","24"
