"等级","等级下限","等级上限","挂机区","升级经验","金钱上限","可达到技能等级上限","宠物出战上限","加点方案数量","离线每分钟经验值","每点双倍点数经验","基准经验","基准银币",""
"1","1","10","无","1600","5000000","1","2","1","7","0","400","1000",
"2","1","10","无","3200","5000000","2","2","1","13","0","800","2000",
"3","1","10","无","4800","5000000","3","2","1","20","0","1200","3000",
"4","1","10","无","6400","5000000","4","2","1","27","0","1600","4000",
"5","1","10","无","8000","5000000","5","2","1","33","0","2000","5000",
"6","1","10","无","9600","5000000","6","2","1","40","0","2400","6000",
"7","1","10","无","11200","5000000","7","2","1","47","0","2800","7000",
"8","1","10","无","12800","5000000","8","2","1","53","0","3200","8000",
"9","1","10","无","14400","5000000","9","2","1","60","0","3600","9000",
"10","10","15","无","16000","5000000","10","2","1","67","0","4000","10000",
"11","10","15","无","17600","5000000","11","2","1","73","0","4400","11000",
"12","10","15","无","19200","5000000","12","2","1","80","0","4800","12000",
"13","10","15","无","20800","5000000","13","2","1","87","0","5200","13000",
"14","10","15","无","22400","5000000","14","2","1","93","0","5600","14000",
"15","15","20","无","24000","5000000","15","2","1","100","0","6000","15000",
"16","15","20","无","25600","5000000","16","2","1","107","0","6400","16000",
"17","15","20","无","27200","5000000","17","2","1","113","0","6800","17000",
"18","15","20","无","28800","5000000","18","2","1","120","0","7200","18000",
"19","15","20","无","30400","5000000","19","2","1","127","0","7600","19000",
"20","20","25","无","32000","5000000","20","2","1","133","0","8000","20000",
"21","20","25","无","33600","5000000","21","2","1","140","0","8400","21000",
"22","20","25","无","35200","5000000","22","2","1","147","0","8800","22000",
"23","20","25","无","36800","5000000","23","2","1","153","0","9200","23000",
"24","20","25","无","38400","5000000","24","2","1","160","0","9600","24000",
"25","25","30","无","40000","5000000","25","2","1","167","0","10000","25000",
"26","25","30","无","41600","5000000","26","2","1","173","0","10400","26000",
"27","25","30","无","58784","5000000","27","2","1","180","0","10800","27000",
"28","25","30","无","79267","5000000","28","2","1","187","0","11200","28000",
"29","25","30","无","103401","5000000","29","2","1","193","0","11600","29000",
"30","30","35","无","151952","5000000","30","2","1","200","0","12000","30000",
"31","30","35","无","199461","5000000","31","2","1","207","0","12400","31000",
"32","30","35","无","222389","5000000","32","2","1","213","0","12800","32000",
"33","30","35","无","246548","5000000","33","2","1","220","0","13200","33000",
"34","30","35","无","290461","5000000","34","2","1","227","0","13600","34000",
"35","35","40","无","337367","5000000","35","2","1","233","0","14000","35000",
"36","35","40","无","368799","5000000","36","2","1","240","0","14400","36000",
"37","35","40","无","401946","5000000","37","2","1","247","0","14800","37000",
"38","35","40","无","436639","5000000","38","2","1","253","0","15200","38000",
"39","35","40","无","502573","5000000","39","2","1","260","0","15600","39000",
"40","40","45","无","651694","5000000","40","2","2","267","0","16000","40000",
"41","40","45","无","701800","5000000","41","2","2","273","0","16400","41000",
