"序列","NPCid","商店ID","商店名","NPC服务按钮名","默认显示货币类型","价格是否波动","波动周期","商品1id","商品2id","商品3id","商品4id","商品5id","商品6id","商品7id","商品8id","商品9id","商品10id","商品11id","商品12id","商品13id","商品14id","商品15id","商品16id","商品17id","商品18id","商品19id","商品20id","商品21id","商品22id","商品23id","商品24id","商品25id","商品26id","商品27id","商品28id","商品29id","商品30id","商品31id","商品32id","商品33id","商品34id","商品35id","商品36id","商品37id","商品38id","商品39id","商品40id","商品41id","商品42id","商品43id","商品44id","商品45id","商品46id","商品47id","商品48id","商品49id","商品50id","商品51id","商品52id","商品53id","商品54id","商品55id","商品56id","商品57id","商品58id","商品59id","商品60id","商品61id","商品62id","商品63id","商品64id","商品65id","商品66id","商品67id","商品68id","商品69id","商品70id","商品71id","商品72id","商品73id","商品74id","商品75id","商品76id","商品77id","商品78id","商品79id","商品80id","商品81id","商品82id","商品83id","商品84id","商品85id","商品86id","商品87id","商品88id","商品89id","商品90id","商品91id","商品92id","商品93id","商品94id","商品95id","商品96id","商品97id","商品98id","商品99id","商品100id","商品101id","商品102id","商品103id","商品104id","商品105id","商品106id","商品107id","商品108id","商品109id","商品110id","商品111id","商品112id","商品113id","商品114id","商品115id","商品116id","商品117id","商品118id","商品119id","商品120id","商品121id","商品122id","商品123id","商品124id","商品125id","商品126id","商品127id","商品128id","商品129id","商品130id","商品131id","商品132id","商品133id","商品134id","商品135id","商品136id","商品137id","商品138id","商品139id","商品140id","商品141id","商品142id","商品143id","商品144id","商品145id","商品146id","商品147id","商品148id","商品149id","商品150id","商品151id","商品152id","商品153id","商品154id","商品155id","商品156id","商品157id","商品158id","商品159id","商品160id","商品161id","商品162id","商品163id","商品164id","商品165id","商品166id","商品167id","商品168id","商品169id","商品170id","商品171id","商品172id","商品173id","商品174id","商品175id","商品176id","商品177id","商品178id","商品179id","商品180id","商品181id","商品182id","商品183id","商品184id","商品185id","商品186id","商品187id","商品188id","商品189id","商品190id","商品191id","商品192id","商品193id","商品194id","商品195id","商品196id","商品197id","商品198id","商品199id","商品200id"
"1","161502","1","药品商店","购买药品","1","0","0","5000","5001","5002","5003","5004","5005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","161503","2","酒店老板","购买物品","1","0","0","6000","6001","6002","6003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","161504","3","兵器铺","购买装备","1","0","0","7000","7001","7002","7003","7004","7005","7006","7007","7008","7009","7010","7011","7012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","161505","4","宠物店","购买宠物","1","0","0","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","161506","5","商会","打开商会","1","1","86400","1000","1001","1002","1003","1004","1005","1006","1007","1008","1009","1010","1011","1012","1013","1014","1015","1016","1017","1018","1019","1020","1021","1022","1023","1024","1025","1026","1027","1028","1029","1030","1031","1032","1033","1034","1035","1036","1037","1038","1039","1040","1041","1042","1043","1044","1045","1046","1047","1048","1049","1050","1051","1052","1053","1054","1055","1056","1057","1058","1059","1060","1061","1062","1063","1064","1065","1066","1067","1068","1069","1070","1071","1072","1073","1074","1075","1076","1077","1078","1079","1080","1081","1082","1083","1084","1085","1086","1087","1088","1089","1090","1091","1092","1093","1094","1095","1096","1097","1098","1099","1100","1101","1102","1103","1104","1105","1106","1107","1108","1109","1110","1111","1112","1113","1114","1115","1116","1117","1118","1119","1120","1121","1122","1123","1124","1125","1126","1127","1128","1129","1130","1131","1132","1133","1134","1135","1136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","1000000","6","商城",,"3","0","0","4000","4001","4002","4003","4004","4005","4006","4007","4008","4009","4010","4011","4012","4013","4014","4015","4016","4017","4018","4019","4020","4021","4022","4023","4024","4025","4026","4027","4028","4029","4030","4031","4032","4033","4034","4035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","1000001","7","声望",,"7","0","0","3000","3001","3002","3003","3004","3005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","1000002","8","功勋值",,"5","0","0","8000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","1000003","9","节日积分",,"8","0","0","9000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","1000004","10","良师值",,"9","0","0","10000","10001","10002","10003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
