"物品ID","效果1ID","系数1","常数1","效果2ID","系数2","常数2","中毒概率","策划备注","公式描述"
"320001","61","60","2000","0","0","0","0","增加生命储备quality*60+2000点","品质*60+2000"
"320002","91","60","2000","0","0","0","0","增加魔法储备quality*60+2000点","品质*60+2000"
"320003","1361","0.5","0","0","0","0","0","恢复宠物寿命quality*0.5点","品质*0.5"
"320004","111","0.4","10","0","0","0","0","恢复愤怒值quality*0.4+10点","品质*0.4+10"
"320005","61","32","1000","91","32","1000","0","增加生命储备quality*32+1000点，魔法quality*32+1000点","品质*32+1000"
"320006","1361","2","50","0","0","0","0","恢复宠物寿命quality*2+50点","品质*2+50"
"320007","111","1","0","0","0","0","10","恢复愤怒值quality*1点，降低双方10%状态3~4回合","品质*1"
"320101","61","12","150","0","0","0","0","恢复生命（或生命储备）quality*12+150点","品质*12+150"
"320102","91","5","50","0","0","0","0","恢复魔法（或魔法储备）quality*5+50点","品质*5+50"
"320103","61","3","0","0","0","0","0","解除控制类异常状态，回复生命quality*3点","品质*3"
"320104","61","5","100","0","0","0","0","复活、恢复生命quality*5+100点","品质*5+100"
