"id","特效路径","策划备注"
"10000","geffect/skill/transport/transport",
"10001","geffect/number/addexp/exp",
"10002","geffect/number/addexp/liveness",
"10003","geffect/number/addexp/plus",
"10004","3d/effect/character/kanglongyouhui/fxs0011",
"10005","geffect/ui/acupoint/acupoint_selected",
"10006","geffect/ui/acupoint/acupoint_female",
"10007","geffect/ui/acupoint/acupoint_male",
"10008","geffect/sprite/changeshape",
"10009","geffect/function/soloquest/form",
"10010","geffect/shengji/dashengjilizi",
"10011","geffect/shengji/xiaoshengji",
"10012","geffect/shengji/xiaoshengji",
"10013","geffect/shengji/xiaoshengji",
"10014","geffect/shengji/xiaoshengji",
"10015","geffect/shengji/xiaoshengji",
"10016","geffect/shengji/xiaoshengji",
"10017","geffect/shengji/xiaoshengji",
"10018","geffect/shengji/xiaoshengji",
"10019","geffect/shengji/xiaoshengji",
"10020","geffect/shengji/xiaoshengji",
"10021","geffect/shengji/xiaoshengji",
"10022","geffect/shengji/xiaoshengji",
"10023","geffect/shengji/xiaoshengji",
"10024","geffect/sprite/battle/battlecartoon",
"10025","geffect/function/pet/petnewskill",
"10026","geffect/ui/expstill",
"10027","geffect/function/form/light",
"10028","geffect/function/form/activation",
"10029","geffect/function/form/activate",
"10030","geffect/function/form/nonactivated",
"10031","geffect/function/gangbattle/arrow",
"10032","geffect/function/gangbattle/hammer",
"10033","geffect/function/gangbattle/spriteattacked",
"10034","geffect/function/gangbattle/tentexploding",
"10035","geffect/function/gangbattle/tentfire",
"10036","geffect/ui/activeaward",
"10037","geffect/ui/antique_save",
"10038","geffect/ui/award",
"10039","geffect/ui/getskill/jump",
"10040","geffect/ui/getskill/jump_1",
"10041","geffect/ui/getskill/jump_2",
"10042","geffect/ui/getskill/jump_3",
"10043","geffect/ui/levelup",
"10044","geffect/ui/newtask",
"10045","geffect/ui/createcharacter/colourback1",
"10046","geffect/ui/createcharacter/colourback",
"10047","geffect/function/dragonboat/gongjika/gongjika",
"10048","geffect/function/dragonboat/gongjika/fire1",
"10049","geffect/function/dragonboat/gongjika/fire2",
"10050","geffect/function/dragonboat/gongjika/fire3",
"10051","geffect/function/dragonboat/zhimangka",
"10052","geffect/function/dragonboat/fanghuka",
"10053","geffect/function/dragonboat/left",
"10054","geffect/function/dragonboat/right",
"10055","geffect/function/dragonboat/shuibowenkuai",
"10056","geffect/function/dragonboat/shuibowenman",
"10057","geffect/function/dragonboat/shuibowenzhong",
"10058","geffect/function/dragonboat/suduka",
"10059","geffect/function/dragonboat/wuguika",
"10060","geffect/function/dragonboat/ningzhika",
"10061","geffect/function/pet/combine",
"10062","geffect/ui/mt_chuansong/mt_chuansong",
"10063","geffect/ui/mt_chuansong/mt_chuansong",
"10064","3d/effect/skill/thunder2/thunder2",
"10065","geffect/map/pubu_zhongnanshan",
"10066","particle/psl/friend",
"10067","particle/psl/ui/card",
"10068","particle/psl/guidepoint",
