"id","服务器参数","客户端参数","备注"
"100","40",,"人物自由加点等级限制"
"101","6000","6000","银币炼药价格"
"102","0.9","0.9","宠物合成资质下限取值"
"103","1.08","1.08","宠物合成资质上限取值"
"104","48","48","宠物合成成长下限减少值"
"105","24","24","宠物合成成长上限增加值"
"106","330000","330000","兑换界面打工金币道具ID"
"107","330100","330100","兑换界面公会技能道具ID"
"108","37573","37573","兑换界面同心结道具ID"
"109","100",,"打工兑换金币数量"
"110","300",,"仓库最大格子开放数量"
"111","25",,"解锁一次仓库打开仓库格子数量"
"120","10","10","资质提升丹次数"
"121","5","5","成长提升丹次数"
"130","360000","360000","光环残卷ID"
"131","120","120","光环残卷增加经验"
"132","600","600","不匹配光环书增加经验"
"133","200",,"每天双倍经验点数"
"134","2000",,"双倍经验领取点数最高上限"
"135","1000",,"冻结点数最高上限"
"140","5",,"X个周期净成交量＜=0，刷新价格=当前价格-浮动价格*y"
"141","2",,"y=上公式中的一个系数"
"142","100",,"扩充背包最大格子数"
"143","100","100","符石兑换多少个金币"
"144","100","100","金币兑换多少个银币"
"145","10000","10000","符石兑换多少个银币"
"146",,"5","开奖界面加速格子数量"
"147",,"0.3","开奖界面格子正常速度，多少秒1个格子"
"148",,"6","格子移动减速距离结束格子最小数"
"149",,"10","格子移动减速距离结束格子最大数"
"150",,"50","总格子移动数量最小数"
"151",,"60","总格子移动数量最大数"
"152",,"3","自动关闭开奖界面时间"
"153","8",,"摆摊公示时间，单位小时"
"154","7",,"摆摊珍品上架时间，单位天"
"155","24",,"摆摊非珍品上架时间，单位小时"
"156","86400",,"摆摊：周期，单位秒"
"157","0.8",,"装备修理判断是否达到当前装备上限的系数，≤80%*当前耐久上限才可以修理"
"158","10",,"烹饪小于技能最低等级"
"159","30",,"炼金小于技能最低等级"
"160","30","30","摆摊购买和出售等级"
"161","1000000","1000000","创建公会费用"
"162","10","10","加入公会角色等级"
"163","10","10","创建公会角色等级"
"164",,"0.8","提升功能，活跃度上限百分比提醒"
"165","20000","20000","修炼技能1次消耗银币数量"
"166","20",,"修炼技能最高等级"
"167","1",,"挂机刷怪消耗双倍点数"
"168",,"14","主线任务常驻特效等级限制"
"169",,"160","任务引导粒子特效运动速度（像素/秒）"
"170","","8","引导强制锁屏时间（秒）"
"171","100","100","修改公会名称消耗符石100"
"172",,"450","剧情弹出速度"
"173","120","120","活跃度界面上限"
"174","10000","10000","公会一键喊话消费银币"
"175",,"300","黑布出现时间"
"176",,"100","黑布消失时间"
"177",,"9","宠物、助战头像最后一张的后缀数"
"178",,"3","提示信息最大滞留时间(秒)"
"179",,"1.5","提示信息速度系数"
"180",,"10","签到自动弹出等级下限"
"181","1613","1613","公会领地地图ID"
"182","300","300","公会一键申请CD时间"
"190",,"20","战斗冒字间距L""addhp/"","
"191",,"20","战斗冒字间距L""countsubhp/"","
"192",,"20","战斗冒字间距L""addmp/"","
"193",,"20","战斗冒字间距L""submp/"","
"194",,"25","战斗冒字间距L""baojiaddhp/"","
"195",,"25","战斗冒字间距L""baojisubhp/"","
"196",,"30","战斗冒字间距L""addexp/"","
"197",,"20","战斗冒字间距L""countsubhp/"","
"198",,"1.5","剧情动画文字对白间隔时间"
"199",,"0.5","世界地图延时时间"
"200","30","30","世界频道语音发言间隔"
"201","10","10","职业频道语音发言间隔"
"202","3","3","公会频道语音发言间隔"
"203","3","3","队伍频道语音发言间隔"
"204",,"1","系统设置音效大小百分比调节系数"
"205","100","100","公会药房购买最大上限"
"206",,"10","挂机级数"
"207","50","50","公会符文每日请求上限"
"208",,"10","打造列表显示上限100级"
"209",,"30","手动分解开启 "
"210","40","40","40级或以下等级玩家加入公会身份为学徒"
"211","50","50","50级学徒自动转为成员"
"212","120","120","禁言自动解除时间120分钟"
"213","3","3","捐赠符文获得声望"
"214","6","6","捐赠符文获得公会贡献"
"215","100",,"特殊修理100耐久度"
"216","50",,"盈福经验折损系数（百分比）"
"217","33",,"盈福经验额外获得经验的系数（百分比）"
"218","3000000",,"盈福经验最大存储量"
"219","337901",,"职业闯关额外奖励第一名"
"220","337928",,"职业闯关额外奖励第二名"
"221","337929",,"职业闯关额外奖励第三名"
"222","5960","","职业闯关普通奖励"
"223","","4","弱引导自动消失时间（秒）"
"224","10",,"每日答题的最大题数"
"225",,"3","大招最大等级"
"226","0.1","0.1","染色衣柜折损系数"
"227","10000","10000","保存方案花费银币"
"228","3","3","衣橱最大数量"
"229","50",,"摆摊出售和购买记录的最大数量"
"230","0.5",,"回收宠物价格"
"231","2",,"时光之穴通用奖励次数"
"232","3","3","1v1竞技场匹配间隔时间"
"233","5","5","3v3竞技场匹配间隔时间"
"234","5","5","5v5竞技场匹配间隔时间"
"235","5",,"答题中回答正确X个问题"
"236","5860","","答题中回答正确X个问题，可以获得的奖励id"
"237",,"60","职业贡献消耗"
"238","20","20","一键申请公会数量"
"239","7","7","技能使用按钮位置"
"240","337900","","冰封王座第1名礼包"
"241",,"0.8","答题对勾飘字显示时间（秒）"
"242",,"5","灰色小头像imageset增加数量"
"243",,"5","冰封王座翻宝箱等待时间（秒）"
"244","10000000",,"公会资金少于1000W，三倍产药失效"
"245","8000000",,"公会资金少于800W，双倍产药失效"
"246",,"3","伙伴助战一行数量"
"247","10",,"世界宝箱开启次数限制"
"250","337930","","冰封王座第2名礼包"
"251","337931","","冰封王座第3名礼包"
"252","337932","","冰封王座第4名礼包"
"253","337933","","冰封王座第5名礼包"
"254","337934","","冰封王座第6名礼包"
"255","337935","","冰封王座第7名礼包"
"256","337936","","冰封王座第8名礼包"
"257","337937","","冰封王座第9名礼包"
"258","337938","","冰封王座第10名礼包"
"261","","35","珍品宠物出售等级限制"
"262","150","150","满50级学徒满足150贡献自动转成员"
"263","48","48","满50级学徒满足150贡献入会48小时自动转成员"
"264",,"20","活动中即将开启根据人物等级+系数级显示"
"265","336010","336010","挂机物品id"
"266","20","20","挂机消耗符石"
"267","100",,"可领取点数"
"268","0.4",,"洗练宠物最少资质"
"269",,"50","任务追踪等级"
"270","50","50","打造装备时候默认使用强化石的系数等级"
"271","5000","5000","世界频道发言消耗银币"
"272","20","20","公会每日踢人上限"
"273","600","600","服务器创建公会数量上限"
"274",,"14","组队申请频道"
"275",,"5","开奖界面加速格子数量"
"276",,"0.3","开奖界面格子正常速度，多少秒1个格子"
"277",,"6","格子移动减速距离结束格子最小数"
"278",,"10","格子移动减速距离结束格子最大数"
"279",,"50","总格子移动数量最小数"
"280",,"60","总格子移动数量最大数"
"281",,"3","自动关闭开奖界面时间"
"282",,"183706","星界商人id"
"283",,"183707","血帆小贩id"
"284",,"337943","幸运金币"
"285",,"337942","幸运银币"
"286","99",,"兑换神兽"
"287","30",,"重置神兽"
"288","20",,"提升神兽"
"289","339102",,"神兽道具id"
