"寻找物品类id","寻找物品组","职业","等级段min","等级段max","回收物品","物品数量","售卖NPC","是否可传说","传说时间限制","是否需求品质","品质系数","品质常数"
"1","1","0","15","29","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"2","1","0","30","39","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"3","1","0","40","44","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"4","1","0","45","49","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"5","1","0","50","59","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"6","1","0","60","69","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"7","1","0","70","79","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"8","1","0","80","89","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"9","1","0","90","155","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"10","2","0","0","155","320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;320150@30;320151@30;320152@30;320153@30;4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","1","1200","0","0","0"
"11","3","0","15","39","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-15"
"12","3","0","40","45","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-20"
"13","3","0","46","50","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-21"
"14","3","0","51","55","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-22"
"15","3","0","56","60","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-23"
"16","3","0","61","65","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-24"
"17","3","0","66","70","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-25"
"18","3","0","71","75","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-26"
"19","3","0","76","80","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-27"
"20","3","0","81","85","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-28"
"21","3","0","86","90","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-29"
"22","3","0","91","95","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-30"
"23","3","0","96","100","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-31"
"24","3","0","101","105","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-32"
"25","3","0","106","110","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-33"
