"巡逻类id","巡逻组","职业","等级段min","等级段max","地图id","战斗信息编号","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","11","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2463@50;2463@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1","12","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2463@50;2463@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","1","13","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2463@50;2463@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","1","14","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2463@50;2463@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1","15","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2463@50;2463@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1","16","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2463@50;2463@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1","17","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2463@50;2463@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1","18","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2463@50;2463@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1","19","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2463@50;2463@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","2","11","15","155","1613@100","2563@50;2563@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","2","12","15","155","1613@100","2563@50;2563@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","2","13","15","155","1613@100","2563@50;2563@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","2","14","15","155","1613@100","2563@50;2563@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","2","15","15","155","1613@100","2563@50;2563@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
