"id","活动类型","备注","任务类型","类型下组id","后置任务","接任务npcid","任务栏任务名称","任务名称","任务目的","任务描述","追踪显示任务名","追踪描述","寻路跳转","是否自动完成","提交任务NPC","是否可任性","任务栏任务名称（交）","任务名称（交）","任务目的（交）","任务描述（交）","追踪显示任务名（交）","追踪描述（交）","接任务对话","目标NPC对话","交任务对话","任务完成后提示","奖励","匹配奖励方式","分级奖励","任务难度"
"1010001","1010000",,"1","1","","1","职业日常","职业日常-送信($Number$/$Number1$)","<T t=""送信给"" c=""ff5f3e22""></T><T t=""$NPCName$"" c=""ff00ff00""></T>","<T t=""帮职业导师送信给"" c=""ff5f3e22""></T><T t=""$NPCName$"" c=""ff00ff00""></T><T t=""这个可是讨好导师的好机会啊"" c=""ff5f3e22""></T>","职业日常-送信($Number$/$Number1$)","<T t=""帮职业导师送信给"" c=""fffff2df""></T><T t=""$NPCName$"" c=""ff00ff00""></T>","1","1","","0","职业日常-送信($Number$/$Number1$)","职业日常-送信($Number$/$Number1$)","<T t=""送信给"" c=""ff5f3e22""></T><T t=""$NPCName$"" c=""ff00ff00""></T>","<T t=""帮职业导师送信给"" c=""ff5f3e22""></T><T t=""$NPCName$"" c=""ff00ff00""></T><T t=""这个可是讨好导师的好机会啊"" c=""ff5f3e22""></T>","职业日常-送信($Number$/$Number1$)","<T t=""帮职业导师送信给"" c=""ff5f3e22""></T><T t=""$NPCName$"" c=""ff00ff00""></T>","1","2","","","","","","1"
"1010002","1010000",,"2","1","","1","职业日常","职业日常-打造($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""打造兵器"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""打造兵器"" c=""ff5f3e22""></T><T t=""用来壮大联盟的武器储备"" c=""ff5f3e22""></T>","职业日常-打造($Number$/$Number1$)","<T t=""职业导师让你去"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""打造兵器"" c=""fffff2df""></T>","1","1","","0","职业日常-打造($Number$/$Number1$)","职业日常-打造($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""打造兵器"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""打造兵器"" c=""ff5f3e22""></T><T t=""用来壮大联盟的武器储备"" c=""ff5f3e22""></T>","职业日常-打造($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""打造兵器"" c=""ff5f3e22""></T>","3","","","150546","","","","1"
"1010003","1010000",,"2","2","","1","职业日常","职业日常-制造($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""制造符文"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""制造符文"" c=""ff5f3e22""></T><T t=""用来补充联盟的符文消耗"" c=""ff5f3e22""></T>","职业日常-制造($Number$/$Number1$)","<T t=""职业导师让你去"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""制造符文"" c=""fffff2df""></T>","1","1","","0","职业日常-制造($Number$/$Number1$)","职业日常-制造($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""制造符文"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""制造符文"" c=""ff5f3e22""></T><T t=""用来补充联盟的符文消耗"" c=""ff5f3e22""></T>","职业日常-制造($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""制造符文"" c=""ff5f3e22""></T>","4","","","150547","","","","1"
"1010004","1010000",,"3","1","","1","职业日常","职业日常-集物($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""收集"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""收集"" c=""ff5f3e22""></T><T t=""$ItemName$($Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""看看到底是什么好东西"" c=""ff5f3e22""></T>","职业日常-集物($Number$/$Number1$)","<T t=""职业导师让你去"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""收集"" c=""fffff2df""></T><T t=""$ItemName$($Number2$/$Number3$)"" c=""ff00ff00""></T>","2","1","","0","职业日常-集物($Number$/$Number1$)","职业日常-集物($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""收集"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""收集"" c=""ff5f3e22""></T><T t=""$ItemName$($Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""看看到底是什么好东西"" c=""ff5f3e22""></T>","职业日常-集物($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""收集"" c=""ff5f3e22""></T><T t=""$ItemName$($Number2$/$Number3$)"" c=""ff00ff00""></T>","5","","","150545","","","","1"
"1010005","1010000",,"6","1","","1","职业日常","职业日常-巡逻($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""巡逻"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""巡逻"" c=""ff5f3e22""></T><T t=""教训一些不求上进的无良地痞"" c=""ff5f3e22""></T>","职业日常-巡逻($Number$/$Number1$)","<T t=""职业导师让你去"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""巡逻"" c=""fffff2df""></T>","2","1","","0","职业日常-巡逻($Number$/$Number1$)","职业日常-巡逻($Number$/$Number1$)","<T t=""去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""巡逻"" c=""ff5f3e22""></T>","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""巡逻"" c=""ff5f3e22""></T><T t=""教训一些不求上进的无良地痞"" c=""ff5f3e22""></T>","职业日常-巡逻($Number$/$Number1$)","<T t=""职业导师让你去"" c=""ff5f3e22""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""巡逻"" c=""ff5f3e22""></T>","6","",,"150540","","","","1"
"1010006","1010000","收集40环装商店药品","4","1","","1","职业日常","职业日常-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""用来补充联盟的日常消耗"" c=""ff5f3e22""></T>","职业日常-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""fffff2df""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""fffff2df""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""商店可购买"" c=""fffff2df""></T>","1","0","11@13104,12@13101,13@13102,14@13100,15@13105,16@13103,18@13106,17@13107,19@13108","0","职业日常-寻物($Number$/$Number1$)","职业日常-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""用来补充联盟的日常消耗"" c=""ff5f3e22""></T>","职业日常-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T>","7","","8","150548","","","","1"
"1010007","1010000","收集50环装","4","5","","1","职业日常","职业日常-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""精品装备你值得拥有"" c=""ff5f3e22""></T>","职业日常-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""fffff2df""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""fffff2df""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""可获得额外奖励。"" c=""fffff2df""></T><T t=""拍卖可购买"" c=""fffff2df""></T>","1","0","11@13104,12@13101,13@13102,14@13100,15@13105,16@13103,18@13106,17@13107,19@13108","0","职业日常-寻物($Number$/$Number1$)","职业日常-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""精品装备你值得拥有"" c=""ff5f3e22""></T>","职业日常-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T>","7","","8","150548","5005","","","1"
"1010008","1010000","收集品质药品","4","3","","1","职业日常","职业日常-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ff00ff00""></T><T t=""这么好的东西或许可以考虑自己留着"" c=""ff5f3e22""></T>","职业日常-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""fffff2df""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""fffff2df""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ff00ff00""></T><T t=""公会技能可生产"" c=""fffff2df""></T>","1","0","11@13104,12@13101,13@13102,14@13100,15@13105,16@13103,18@13106,17@13107,19@13108","0","职业日常-寻物($Number$/$Number1$)","职业日常-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ff00ff00""></T><T t=""这么好的东西或许可以考虑自己留着"" c=""ff5f3e22""></T>","职业日常-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ff00ff00""></T>","7","","8","150548","","","","1"
"1010009","1010000","收集品质烹饪","4","4","","1","职业日常","职业日常-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ff00ff00""></T><T t=""看起来很好吃，不如尝尝看"" c=""ff5f3e22""></T>","职业日常-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""fffff2df""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""fffff2df""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ff00ff00""></T><T t=""公会技能可生产"" c=""fffff2df""></T>","1","0","11@13104,12@13101,13@13102,14@13100,15@13105,16@13103,18@13106,17@13107,19@13108","0","职业日常-寻物($Number$/$Number1$)","职业日常-寻物($Number$/$Number1$)","<T t=""去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T>","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ff00ff00""></T><T t=""看起来很好吃，不如尝尝看"" c=""ff5f3e22""></T>","职业日常-寻物($Number$/$Number1$)","<T t=""职业导师让你去找个"" c=""ff5f3e22""></T><T t=""$ItemName$"" c=""ff00ff00""></T><T t=""来"" c=""ff5f3e22""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""上交高于$Number4$品质，可以获得额外奖励"" c=""ff00ff00""></T>","7","","8","150548","","","","1"
"1010010","1010000",,"5","1","","1","职业日常","职业日常-捉宠($Number$/$Number1$)","<T t=""去购买或去挂机场景捉"" c=""ff5f3e22""></T><T t=""$PetName$"" c=""ff00ff00""></T>","<T t=""职业导师让你去购买或去挂机场景捉"" c=""ff5f3e22""></T><T t=""$PetName$"" c=""ff00ff00""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""整天找这找那的联盟是有多穷啊！"" c=""ff5f3e22""></T>","职业日常-捉宠($Number$/$Number1$)","<T t=""职业导师让你去购买或去挂机场景捉"" c=""fffff2df""></T><T t=""$PetName$"" c=""ff00ff00""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""宠物训练师处可购买"" c=""fffff2df""></T>","1","0","11@13104,12@13101,13@13102,14@13100,15@13105,16@13103,18@13106,17@13107,19@13108","0","职业日常-捉宠($Number$/$Number1$)","职业日常-捉宠($Number$/$Number1$)","<T t=""去购买或去挂机场景捉"" c=""ff5f3e22""></T><T t=""$PetName$"" c=""ff00ff00""></T>","<T t=""职业导师让你去购买或去挂机场景捉"" c=""ff5f3e22""></T><T t=""$PetName$"" c=""ff00ff00""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T><T t=""整天找这找那的联盟是有多穷啊！"" c=""ff5f3e22""></T>","职业日常-捉宠($Number$/$Number1$)","<T t=""职业导师让你去购买或去挂机场景捉"" c=""ff5f3e22""></T><T t=""$PetName$"" c=""ff00ff00""></T><T t=""(拥有$Number2$/$Number3$)"" c=""ff00ff00""></T>","7","","8","150544","","","","1"
