"id","变量","控件名","类型","默认值","策划备注"
"1","sound","SystemSetting/GameSetting/CB5","0","1","音乐"
"2","soundvalue","SystemSetting/GameSetting/HS1","0","125","音量调节"
"3","soundeffect","SystemSetting/GameSetting/CB7","0","1","音效"
"4","sceneeffect","SystemSetting/GameSetting/HS3","0","1","场景特效显示"
"5","personshow","SystemSetting/FunctionSetting/CB1","0","1","同屏人数显示"
"6","screenfresh","SystemSetting/FunctionSetting/CB2","0","1","画面刷新频率"
"7","autovoicebangpai","SystemSetting/FunctionSetting/CB3","0","1","自动语音-公会"
"8","autovoiceshijie","SystemSetting/FunctionSetting/CB4","0","0","自动语音-世界"
"9","autovoiceduiwu","SystemSetting/FunctionSetting/CB5","0","1","自动语音-队伍"
"10","autovoicezhiye","SystemSetting/FunctionSetting/CB6","0","0","自动语音-职业"
"11","refusefriend","SystemSetting1haoyouyaoqing","0","0","拒绝组队邀请"
"12","worldchannel","SystemSetting/Channel/World","0","1","世界频道"
"13","guildchannel","SystemSetting/Channel/Guild","0","1","公会频道"
"14","careerchannel","SystemSetting/Channel/Career","0","1","职业频道"
"15","currentchannel","SystemSetting/Channel/Current","0","1","当前频道"
"16","groupchannel","SystemSetting/Channel/Group","0","1","队伍频道"
"17","PVPNotify","","0","0","pvp通知"
"18","friendchatencrypt",,"0","1","好友聊天记录加密"
"19","friendmessage",,"0","0","只接受好友消息"
"20","rolePointAdd",,"0","1","人物加点提醒"
"21","petPointAdd",,"0","1","宠物加点提醒"
"22","skillPointAdd",,"0","1","职业技能提醒"
"23","huoyueduAdd",,"0","1","活跃度提醒"
"24","zhenfaAdd",,"0","1","光环提醒"
"25","skillopen",,"0","0","技能开放"
"26","factionopen",,"0","0","公会开放"
"27","petopen",,"0","0","宠物开放"
"28","patopen",,"0","0","助战开放"
"29","zuduichannel",,"0","1","组队频道"
"30","guajiopen",,"0","0","挂机开放"
"31","zhiyinopen",,"0","0","指引开放"
"32","huodongopen",,"0","0","活动开放"
"33","refuseqiecuo","SystemSetting1/jujueqiecuo","0","0","切磋"
