"id","单位关系","单位阵营方","战斗单位类型","怪物类型","特殊类型","是否包含死亡","是否包含隐身","本回合累积结果","最小hp百分比","最大hp百分比","最小mp百分比","最大mp百分比","最大连击点","最小连击点","属性排序","buff","性别","职业","等级下限","等级上限","怪物ID","战斗ID","策划备注","关系"
"94001","","3","","","","","1",,"","",,,,,,"_502002_",,,"0","150",,,"中禁魔buff的自己",""
"94002","","3","","","","","1",,"","",,,,,,"_502002_&&!_502003_",,,"0","150",,,"中禁魔+定身的自己",""
"94003","","3","","","","","1",,"0.5","",,,,,,"",,,"0","150",,,"血大于等于50%的自己",""
"94004","","3","","","","","1",,"","0.3",,,,,,"",,,"0","150",,,"血小于等于30%的自己",""
"94005","","2","","","","","1",,"","",,,,,,"!_130_",,,"0","150",,,"对方没被控制的单位",""
"94006","","2","","","","","1",,"","",,,,,,"",,,"0","150",,,"对方单位",""
"94007","","1","1;3","","","","1",,"","0.8",,,,,,"",,,"0","150",,,"我方主角和伙伴血小于等于80%的单位",""
"94008","","2","","","","","1",,"","",,,,,,"_509082_||_509083_",,,"0","150",,,"对方隐身单位",""
"94009","","2","","","","","1",,"","",,,,,,"_504002_",,,"0","150",,,"对方身上有绿之潮buff的单位",""
"94010","","2","","","","","1",,"","",,,,,,"!_504002_",,,"0","150",,,"对方身上没有绿之潮buff的单位",""
"94011","","2","","","","","1",,"","",,,,,,"!_120_",,,"0","150",,,"对方没有中毒单位",""
"94012","","1","","","","","1",,"","",,,,,,"_120_",,,"0","150",,,"我方中毒单位",""
"94013","","2","","","","","1",,"","0.3",,,,,,"",,,"0","150",,,"对方血小于等于30%的单位",""
"94014","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"我方死亡单位",""
"94015","","1","","","","","1",,"","0.8",,,,,"curhp_percent@0","",,,"0","150",,,"我方血小于等于80%单位",""
"94016","","1","","","","","1",,"","0.5",,,,,"curhp_percent@0","",,,"0","150",,,"我方血小于等于50%单位",""
"94017","","1","","","","","1",,"","",,,,,,"_506003_",,,"0","150",,,"我方身上有专注意志buff的单位",""
"94018","","1","","","","","1",,"","",,,,,,"!_506003_",,,"0","150",,,"我方身上没有专注意志buff的单位",""
"94019","","1","","","","","1",,"","",,,,,,"!_509097_",,,"0","150",,,"己方没有有圣光意志buff的单位",""
"94020","","3","","","","","1",,"","",,,,,,"_502002_",,,"0","150",,,"中沉默buff的自己",""
"94021","","3","","","","","1",,"","",,,,,,"_502003_",,,"0","150",,,"中眩晕的自己",""
"94022","","3","","","","","1",,"","",,,,,,"_505005_",,,"0","150",,,"中变羊的自己",""
"94023","","2","5","4","","","1",,"","",,,,,,"!_501010_",,,"0","150",,,"没中嘲讽的敌方boss",""
"94024","","2","5","4","","","1",,"","",,,,,,"!_501004_",,,"0","150",,,"没中破甲的敌方boss",""
"94025","","3","","","","","1",,"0.5","",,,,,,"",,,"0","150",,,"血大于等于50%的自己",""
"94026","","3","","","","","1",,,"0.5",,,,,,"",,,"0","150",,,"血小于50%的自己",""
"94027","","2","","","","","1",,"","",,,,,,"_509082_||_509083_||_506201_",,,"0","150",,,"敌方隐身单位",""
"94028","","1","","","","","1",,"","0.6",,,,,"curhp_percent@0","",,,"0","150",,,"我方血小于等于60%单位",""
"94029","","2","5","4","","","1",,"","",,,,,,"",,,"0","150",,,"敌方boss",""
"94030","","2","","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方数量",""
"94031","","1","","","","","1",,"",,,"0.1",,,"curmp_percent@0","",,,"0","150",,,"己方魔法值低于10%的主角",""
"94032","","1","","","","1","1",,"","",,,,,,"_506002_",,,"0","150",,,"我方有黄昏花蕾buff的单位（包含死亡）",""
"94033","","1","1;3","","","","1",,"","0.8",,,,,"curhp_percent@0","",,,"0","150",,,"我方血量少于80%的主角",""
"94034","","2","","","","1","1",,"","",,,,,,"_504002_",,,"0","150",,,"敌方中绿之潮的单位（包含死亡）",""
"94035","","2","5;6","2","","","1",,"","",,,,,,"!_130_",,,"0","150",,,"敌方没被控制的精英怪",""
"94036","","1","","","","","1",,"","",,,,,,"_120_",,,"0","150",,,"我方中毒单位",""
"94037","","2","","","","","1",,"","0.3",,,,,"curhp_percent@0","",,,"0","150",,,"对方血小于等于30%的单位",""
"94038","","1","","","","","1",,"","0.8",,,,,"curhp_percent@0","",,,"0","150",,,"我方血小于等于80%单位",""
"94039","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"我方死亡单位",""
"94040","","1","","","","1","1",,"","",,,,,,"_506003_",,,"0","150",,,"我方身上有心灵之火buff的单位（包含死亡）",""
"94041","","1","","","","","1",,"","",,,,,,"_110_||_120_",,,"0","150",,,"我方中debuff单位",""
