"序号","题目","选项1","选项2","选项3","选项4","正确答案","正确奖励id","错误奖励id"
"1","《我叫MT》动漫中“看老娘的烈焰红唇”是谁的口头禅？","傻馒","羞花","术士大妈","术士大妈","1","18003","18002"
"2","《我叫MT》中“大白腿”是谁？","血精灵","羞花","沐丝","沐丝","1","18003","18002"
"3","《我叫MT》中大小姐的仆人是？","羞花","会长","暗夜男","暗夜男","3","18003","18002"
"4","《我叫MT》中下列哪个角色脸是绿的？","呆贼","沐丝","会长","会长","1","18003","18002"
"5","《我叫MT》动漫中卖银鳞胸甲的是谁？","哀木涕","神棍德","呆贼","呆贼","2","18003","18002"
"6","《我叫MT》动漫中谁说话最温柔？","沐丝","傻馒","美屡","美屡","1","18003","18002"
"7","《我叫MT》动漫中谁说话最快？","美屡","沐丝","傻馒","傻馒","3","18003","18002"
"8","《我叫MT》动漫中“娇花”是谁？","术士大妈","血精灵","沐丝","沐丝","1","18003","18002"
"9","《我叫MT》动漫中“嗨，孙子！！”是谁的台词？","傻馒","哀木涕","劣人","劣人","2","18003","18002"
"10","《我叫MT》动漫中劣人总被谁打？","美屡","沐丝","呆贼","呆贼","1","18003","18002"
"11","《我叫MT》中谁不是牛头人？","哀木涕","劣人","傻馒","傻馒","2","18003","18002"
"12","《我叫MT》中的男性角色？","术士大妈","美屡","劣人","劣人","3","18003","18002"
"13","《我叫MT》中的男性角色？","哀木涕","沐丝","傻馒","傻馒","1","18003","18002"
"14","《我叫MT》中的男性角色？","暗夜男","大小姐","血精灵","血精灵","1","18003","18002"
"15","《我叫MT》中桶牛暗恋谁？","傻馒","沐丝","美屡","美屡","2","18003","18002"
"16","《我叫MT》中谁喜欢割牛的尾巴?","哀木涕","大小姐","美屡","美屡","3","18003","18002"
"17","《我叫MT》里的高富帅是谁？","神棍德","劣人","呆贼","呆贼","2","18003","18002"
"18","《我叫MT》游戏中被称作奸商的是谁？","会长","哀木涕","神棍德","神棍德","3","18003","18002"
"19","《我叫MT》不可以做成牛肉干的是？","暗夜男","哀木涕","神棍德","神棍德","1","18003","18002"
"20","《我叫MT》中人至贱则无敌的代表者是？","沐丝","血精灵","会长","会长","2","18003","18002"
