"ID","字符串","策划备注"
"1","等级：",
"3","级",
"71","分",
"111","评分:",
"122","基础属性",
"125","宝石属性",
"126","镶嵌",
"132","适合男性角色穿戴",
"133","适合女性角色穿戴",
"240","推荐任务",
"241","活动",
"242","其他任务",
"243","主线剧情",
"244","支线剧情",
"314","分",
"315","时",
"317","天",
"318","小时",
"334","陌生人",
"351","级",
"353","离线",
"354","在线",
"406","全部",
"480","购买",
"499","分钟",
"679","物品",
"682","捕捉",
"738","没有选择技能\n",
"740","没有选择物品\n",
"743","普通攻击",
"744","防御",
"922","对方已经是你好友!",
"925","你要与",
"931","普通好友",
"960",,
"961",,
"962",,
"963",,
"964",,
"965",,
"966",,
"972","会长召集",
"973","会长正在召集你前往",
"975","智慧试炼考试",
"976","智慧试炼考试已经开始了",
"977","冠军试炼",
"991","地图加载失败",
"993","镜头角色",
"996","同意",
"997","拒绝",
"1001","武器",
"1002",,
"1003","项链",
"1004","衣服",
"1005","腰带",
"1006","鞋子",
"1007",,
"1008",,
"1009",,
"1010",,
"1011",,
"1012",,
"1013",,
"1014",,
"1015",,
"1016",,
"1017",,
"1018",,
"1019",,
"1020",,
"1021",,
"1022",,
"1023",,
"1024",,
"1025",,
"1026",,
"1027","男衣服",
"1028","女衣服",
"1029","项链",
"1030","腰带",
"1031","鞋子",
"1071","未知错位",
"1072","找不到对应宠物",
"1073","同包裹内宠物不能移动",
"1074","宠物名称不能为空。",
"1075","宠物名字非法。",
"1076","展示的宠物不能放生。",
"1077","正在参战的宠物不能放生。",
"1078","错误的放生随机码。S",
"1084","好了，收你",
"1088","好了，收你",
"1098","下下",
"1099","下",
"1100","中",
"1101","上",
"1102","上上",
"1135","连接服务器失败",
"1136","与服务器断开连接",
"1139","与服务器断开连接。因为未知的内部错误。",
"1140","与服务器断开连接。因为未知的内部错误。",
"1169","锁",
"1170","售",
"1171","售",
"1182","仓库内的道具不能摧毁。",
"1184",,
"1187","女",
"1188","男",
"1191",,
"1194","白色",
"1200","文件打开错误: ",
"1206","主角",
"1237","%d年%d月%d日 ",
"1239","%d分%d秒",
"1241","%d分钟",
"1242","%d小时",
"1265","顺序更新列表和队伍列表数量不一样",
"1276","不符合交换队员条件",
"1277","你现在已经是队长了",
"1279","队伍邀请",
"1280","[colour='ffffffff']邀请你加入队伍，是否接受？",
"1284","队长召唤",
"1285","队长召唤",
"1291","未知错误",
"1292","自己已经在队伍中",
"1293","自己不在队伍中",
"1294","对方已经在队伍中",
"1295","自己不是队长",
"1296","对方不是队长",
"1297","对方不在线",
"1298","自己组队开关关闭",
"1299","对方组队开关关闭",
"1300","自己在不可组队状态",
"1301","对方在不可组队状态",
"1302","队伍人数已满",
"1303","对方已经在队伍中",
"1304","对方正在被其他人邀请中",
"1305","对方30秒内曾经被队伍或者个人邀请过",
"1306"," 正在邀请人数达到4个，不能再邀请更多",
"1307","邀请你的队伍已经解散",
"1308","邀请者不是队长",
"1309","申请者已经在队伍中",
"1310","该申请已经超时",
"1311","队伍申请列表已满",
"1312","申请者级别不符合队伍要求",
"1313","队伍处在不可以换队长的状态",
"1314","已经提出更换队长，等待回应中",
"1315","队伍2分钟只能更换队长一次",
"1316","队员不处于正常状态",
"1317","距离过远，不能归队",
"1318","队伍没有暂离的队员",
"1319","拒绝成为队长",
"1320","对方不在队伍中。",
"1321","你已经在对方的申请列表中，别着急……",
"1322","暂离队伍的玩家不能提升为队长",
"1379","效果：",
"1435","你确定要逃跑么？",
"1436","当前",
"1437","队伍",
"1438","职业",
"1439","公会",
"1440","世界",
"1441","系统",
"1442","组队",
"1443","喇叭",
"1444","发言内容不能只有空字符哦!",
"1446","输入点内容再发送吧！",
"1449","你输入的字数太多",
"1456","品质:  ",
"1515","当前",
"1516","队伍",
"1517",,
"1518","公会",
"1519","职业",
"1520","世界",
"1528","添加的超链接过多",
"1529","转发",
"1531","转发 ",
"1532","[转发 ",
"1533","您还需等待%d秒才能在世界频道发言",
"1556","确定",
"1637","人物评分",
"1659","升级",
"1731","无光环",
"1736","号位：",
"1760","你",
"1792","金钱不足",
"1979","确认框",
"2035","确定",
"2036","取消",
"2037","确定",
"2038","取消",
"2117","休息",
"2118","参战",
"2160","被动",
"2161","已到期",
"2162","剩余:",
"2163","不足一小时",
"2164","天",
"2165","小时",
"2185","力量",
"2186","体质",
"2187","敏捷",
"2188","智力",
"2189","耐力",
"2230","打断",
"2300","职业任务%d没有名字",
"2397","级",
"2423","输入的字符数过多",
"2461","未知",
"2484","已达上限",
"2666","装备",
"2667","卸下",
"2668","使用",
"2673","召唤队员",
"2674","升为队长",
"2675","查看装备",
"2676","加为好友",
"2677","请离队员",
"2678","解散队伍",
"2679","退出队伍",
"2680","回归队伍",
"2681","暂离队伍",
"2682","打\n造",
"2683","镶\n嵌",
"2684","合\n成",
"2694","属\n性",
"2695","信\n息",
"2696","背\n包",
"2697","仓\n库",
"2703","您已击败所有对手",
"2738","邀请入队",
"2739","申请入会",
"2740","申请入队",
"2741","删除好友",
"2742","加为好友",
"2749","未镶嵌宝石",
"2754","点击右侧宝石进行镶嵌",
"2760","充值成功",
"2761","充值失败",
"2762","充值等待中",
"2773","系统消息",
"2774","系统好友",
"2780","领取礼包",
"2803","阵营",
"2809","切磋一下",
"2810","观战",
"2835","已满级",
"2846","未知",
"2882","会长",
"2883","副会长",
"2884",,
"2885",,
"2886",,
"2889","系\n统\n设\n置",
"2898","你没有上榜，继续加油吧!",
"2899","我的排名：$parameter1$",
"2900","个人信息榜",
"2903","解锁",
"2911","我的公会排名：$parameter1$",
"2912","我的排名：$parameter1$          我的最高战力：$parameter2$",
"2913","你没有上榜，继续加油吧!          我的最高战力：$parameter1$",
"2914","玩家[colour='ff00ff00'] $parameter1$（$parameter2$）级，[colour='ff693f00']邀请你加入他的队伍。",
"2916","转移",
"2922","修\n理",
"2936","可领取",
"2939","领取",
"2940","已领取",
"2952","当前等级太低，请达到40级后再来挑战！",
"2993","安\n全\n锁",
"3000","饰品总评分",
"3014","人\n物\n技\n能",
"3015","专\n精\n技\n能",
"3039","公\n会\n技\n能",
"3079","存入",
"3080","取出",
"3148","无",
"3175","下一级",
"10001","自动匹配",
"10002","取消匹配",
"10003","正在自动匹配...",
"10004","没有队伍的时候伙伴将前来助阵",
"10005","发送消息",
"10006","加为好友",
"10007","升为队长",
"10008","调整站位",
"10009","请离队伍",
"10010","邀请好友",
"10011","邀请公会成员",
"10015","秒",
"10016","召回队员",
"10017","一键喊话",
"10020","加点方案$parameter1$  ","加点方案多套方案文字"
"10021","加\n点","label分页签人物加点"
"10022","重置全属性","洗点重置全属性显示"
"10030","$parameter1$级","生活技能打造符等级"
"10032","活力说明","活力兑换界面说明标题"
"10033","<T t=""1.活力可以用作制作""></T><T t=""附魔道具、烹饪、高级药品、打工"" c=""ffffff00"" ></T><B/><T t=""2.活力在获得"" ></T><T t=""活跃度"" c=""ffffff00"" ></T><T t=""时回复""></T><B/><T t=""3.每获得1点活跃度，可回复约""></T><T t=""$parameter1$""c=""ffffff00""></T><T t=""点（2.5+0.075*玩家等级）活力值""></T><B/><T t=""4.活力达到上限后不再回复""></T>","活力兑换界面说明标题"
"11000","耐久度",
"11001","～",
"11002","特技",
"11003","特效",
"11004","普通打造",
"11005","强化打造",
"11006","缺少材料",
"11007","修理失败次数",
"11008","$parameter1$部位可镶嵌:",
"11009","本装备最高可镶嵌$parameter1$级宝石",
"11010","请选择一颗宝石",
"11011","有可镶嵌宝石",
"11012","耐久已满",
"11017","战斗中不能镶嵌或取下宝石",
"11018","战斗中不能修理",
"11019","1.拥有制造打造书和精铁，配合对应的制造符可以打造装备。","<T t=""1.拥有制造打造书和精铁，配合对应的制造符可以打造装备。"" c=""FFFFFFFF"" ></T>"
"11020","2.打造的装备属性会更高，还会随机出现额外属性以及装备特技和特效。",
"11021","3.加入对应的强化石可以打造出更高品质的装备，而且有更大几率获得额外属性、装备特效和特效。",
"11022","4.最多可打造超过自身等级10级的装备。",
"11024","确定继续做职业任务吗？",
"11025","<T t=""1.拥有制造打造书和精铁，配合对应的制造符可以打造装备。""></T><B/><T t=""2.打造的装备属性会更高，还会随机出现额外属性以及装备特技和特效。"" ></T><B/><T t=""3.加入对应的强化石可以打造出更好的装备，而且有更大几率获得额外属性、装备特效和特效。""></T><B/><T t=""4.最多可打造超过自身等级10级的装备。""></T><B/>",
"11027","$parameter1$级装备可镶嵌",
"11028","不能镶嵌",
"11029","您缺少$parameter1$,点击这里可以得到获得途径",
"11030","最多可打造超过自身等级10级的装备",
"11032","功能:",
"11033","要求:",
"11037","镶嵌:",
"11038","功效:",
"11039","品质:",
"11040","坐标:",
"11042","拍卖出售",
"11043","赠送",
"11044","丢弃",
"11045","更多",
"11046","商会出售",
"11047","($parameter1$,$parameter2$)",
"11048","$parameter1$级后可使用",
"11049","$parameter1$级开启",
"11050","普\n通",
"11051","精\n英",
"11100","属\n性",
"11101","炼\n妖",
"11102","培\n养",
"11103","图\n鉴",
"11104","本周免费",
"11105","天",
"11106","物理型",
"11107","法术型",
"11108","治疗型",
"11109","辅助型",
"11110","控制型",
"11113","已申请",
"11117","洗练会重置宠物的所有资质和技能，是否继续？","宠物洗练提示"
"11118","本次认证需消耗","宠物技能认证提示"
"11119","取消认证需消耗","宠物技能认证提示"
"11120","取消认证","宠物技能认证"
"11121","法术认证","宠物技能认证"
"11122","银币","伙伴开启货币"
"11123","荣誉","伙伴开启货币"
"11124","普通宠物","宠物图鉴按钮"
"11125","满",
"11126","体力",
"11127","速度",
"11128","攻击",
"11129","法术",
"11130","防御",
"11131","品质",
"11132","挂机说明",
"11133","<T t=""1、在这些场景中自动巡逻,可以战胜怪物获得经验。""></T><B/><T t=""2、开启双倍点数,还有几率遇到宠物宝宝(自动状态下也会捕捉宝宝)。"" ></T><B/><T t=""3、玩家下线后自动开启离线挂机,每次最多可以获得720分钟的挂机奖励。""></T><B/><T t=""4、离线挂机可获得经验,离线30分钟以上开始计算离线挂机奖励。""></T><B/><T t=""5、在挂机场景组队战斗将不会增加好友度。""></T>",
"11134","双倍点数说明",
"11135","<T t=""1、挂机战斗与日常副本任务可以使用双倍点数""></T><B/><T t=""2、挂机场景每场战斗消耗1点双倍"" ></T><B/><T t=""3、日常副本任务每场战斗消耗4点双倍""></T><B/><T t=""4、挂机场景使用双倍,可以遇到宠物宝宝并获得双倍经验与金钱""></T><B/><T t=""5、日常副本使用双倍,可以获得道具并获得双倍经验与金钱""></T><B/><T t=""6、每天00:00可以获得200点双倍点数""></T><B/><T t=""7、双倍点数最多保留2000点""></T><B/><T t=""8、使用歌唱水晶可以获得额外双倍点数""></T>",
"11136","投掷 ",
"11137","放弃了",
"11138","需求",
"11139","点",
"11140","获得",
"11141","未习得",
"11144","当前效果",
"11145","级效果",
"11147","未读消息%d条",
"11148","克制",
"11149","被克",
"11150","提升",
"11151","学习",
"11152","免费仓库$parameter1$",
"11153","仓库$parameter1$",
"11154","秒",
"11155","挂  机",
"11156","点",
"11157","<T t=""每场战斗可使用：""c=""FF472b20""></T><B/><T t=""普通药           20次""c=""FF472b20""></T><B/><T t=""高级药、怒气酒   10次""c=""FF472b20""></T>","战斗使用道具提示"
"11158","商\n会",
"11159","拍\n卖",
"11160","商\n城",
"11162","本月累计签到$parameter1$天","签到文本"
"11163","本月剩余补签次数$parameter1$次","签到文本"
"11164","购买",
"11165","出售",
"11166","花费",
"11167","售价",
"11168","充值达到一定金额后，可以领取充值返利的奖品。","充值说明（3个轮换）"
"11173","公会资金上限：$parameter1$万","公会资金"
"11174","<T t=""1、完成公会任务可增加分红总奖金。""></T><B/><T t=""2、升级公会金库可提升获得的奖金数。"" ></T><B/><T t=""3、根据成员上周获得和历史公会贡献分红。""></T><B/><T t=""4、可在公会领地每周领取一次。""></T>","公会分红"
"11175","<T t=""未满40级的玩家可以申请成为公会学徒"" ></T><B/><T t=""公会学徒可以做什么""c=""ff17d604""></T><B/><T t=""1、学徒可以和普通成员一样享用公会频    道，完成公会任务，参与公会活动等    。""></T><B/><T t=""2、学徒不能获得公会分红，不能参与公    会竞赛。""></T><B/><T t=""3、72小时不上线将被系统自动逐出公会    。""></T><B/><B/><T t=""公会学徒如何成为正式成员？""c=""ff17d604""></T><B/><T t=""1、等级达到50级，公会贡献达到150点，   入会至少48小时的学徒，之后的第一    次0点维护会自动转为成员。""></T><B/><T t=""2、公会管理直接设置为成员。""></T>","了解公会学徒"
