"技能ID","技能名称","策划备注","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用"
"100001","物理攻击","物理攻击","","true","true","true","0","","","true","0","1","480","0","","","","","1000010","0",,,"1","1",,
"100002","远程物理攻击","远程物理攻击","","true","true","false","0","","","true","0","3","480","0","","","","","1000020","0",,,"1","1",,
"100003","强制物理攻击","强制物理攻击","","true","false","false","0","","","true","0","9","4126","0","","","","","1000030","0",,,"1",,,
"100004","混乱物理攻击","混乱物理攻击","","true","false","false","0","","","true","1","9","4606","0","","","","","1000040","0",,,"1",,,
"100005","使用物品","使用物品","","true","false","false","0","","","true","0","0","4127","0","","0","0","","1000050","0",,,"1",,,
"100009","大碗番茄浓汤","道具大红","","false","false","false","0","","","true","0","11","1","0","","","","","1000090","0",,,"1",,,
"100010","大碗翡翠浓汤","道具大蓝","","false","false","false","0","","","true","0","11","1","0","","","","","1000100","0",,,"1",,,
"100011","硬肉干","硬肉干战斗外","","true","false","false","0","","","true","0","11","1","0","","","","","1000110","0",,,"0",,,
"100012","煎蛋卷","煎蛋卷战斗外","","true","false","false","0","","","true","0","11","1","0","","","","","1000120","0",,,"0",,,
"100013","樱桃饼","樱桃饼战斗外","","true","false","false","0","","","true","0","11","1","0","","","","","1000130","0",,,"0",,,
"100014","凤梨佳酿","凤梨佳酿战斗外","","true","false","false","0","","","true","0","11","1","0","","","","","1000140","0",,,"0",,,
"100015","辣味狼排","辣味狼排战斗外","","true","false","false","0","","","true","0","11","1","0","","","","","1000150","0",,,"0",,,
"100016","晨露酒","晨露酒战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000160","0",,,"0",,,
"100017","凤梨佳酿","凤梨佳酿战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000170","0",,,"0",,,
"100020","恢复合剂","治疗药水战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000200","0",,,"0",,,
"100021","治疗药水","法力药水战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000210","0",,,"0",,,
"100022","法力药水","净化药剂战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000220","0",,,"0",,,
"100023","净化药剂","复苏药剂战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000230","0",,,"0",,,
"100024","复苏药剂","恢复合剂战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000240","0",,,"0",,,
"100025","重生药剂","重生药剂战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000250","0",,,"0",,,
"100030","活根草","活根草战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000300","0",,,"0",,,
"100031","野钢花","野钢花战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000310","0",,,"0",,,
"100032","银叶草","银叶草战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000320","0",,,"0",,,
"100033","宁神花","宁神花战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000330","0",,,"0",,,
"100034","皇血草","皇血草战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000340","0",,,"0",,,
"100035","荆棘藻","荆棘藻战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000350","0",,,"0",,,
"100036","魔皇草","魔皇草战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000360","0",,,"0",,,
"100037","雨燕草","雨燕草战斗内","","true","false","false","0","","","true","0","11","4127","0","","","","","1000370","0",,,"0",,,
"100040","恢复合剂","治疗药水战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000400","0",,,"0",,,
"100041","治疗药水","法力药水战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000410","0",,,"0",,,
"100042","法力药水","净化药剂战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000420","0",,,"0",,,
"100050","活根草","活根草战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000500","0",,,"0",,,
"100051","野钢花","野钢花战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000510","0",,,"0",,,
"100052","银叶草","银叶草战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000520","0",,,"0",,,
"100053","宁神花","宁神花战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000530","0",,,"0",,,
"100054","皇血草","皇血草战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000540","0",,,"0",,,
"100055","荆棘藻","荆棘藻战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000550","0",,,"0",,,
"100056","魔皇草","魔皇草战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000560","0",,,"0",,,
"100057","雨燕草","雨燕草战斗外效果","","true","false","false","0","","","true","0","11","1","0","","","","","1000570","0",,,"0",,,
"100090","番茄浓汤","道具大红","","false","false","false","0","","","true","0","11","1","0","","","","","1000900","0",,,"1",,,
"100091","翡翠浓汤","道具大蓝","","false","false","false","0","","","true","0","11","1","0","","","","","1000910","0",,,"1",,,
"100100","强身","强身","","false","false","false","0","","","true","0","11","1","0","","","","","1001000","0",,,"1",,,
