"动作id","动作时间","策划备注"
"1","2300","普通攻击"
"2","1500","普通攻击额外攻击次数（连击、追击）每次附加时间"
"3","1200","使用物品"
"4","200","防御，没用"
"5","100","防御，没用"
"6","1600","保护，没用"
"7","1600","召还宠物"
"8","1500","瞬时召唤"
"9","5500","捕捉"
"10","2000","逃跑"
"11","1500","瞬时逃跑"
"12","0","操作失败"
"13","50","休息，没用"
"14","1500","反击"
"15","100","反震"
"16","2400","亢龙有悔第一下攻击"
"17","1200","亢龙有悔第二或第三次时间"
"18","2600","大手印初次攻击"
"19","1300","大手印后续每次时间"
"20","3000","龙象波若功初始"
"21","1300","龙象波若功后续每次时间"
"22","1000","死亡/鬼魂"
"23","1300","被击飞"
"24","2200","原地复活（不屈）"
"25","200","回合末结算"
"26","200","行动间隙填充时间"
"27","4400","神鬼"
"28","3500","合击"
"29","18000","技能招式最大时间"
"30","500","技能招式最小时间"
"31","40","最小时间百分比"
"32","150","最大时间百分比"
"33","1000","回合最小时间"
"34","300000","回合最大时间"
"35","1800","默认动作时间"
"36","600","技能名称显示时间"
"37","500","躲闪时间"
"38","200","受击时间"
"39","3800","九阴白骨爪总时间"
"40","400","客户端ai动作时间"
"41","1000","客户端ai动作时间"
,,
