"编号","名称","随机名称库","前缀1","前缀2","area1colour","area2colour","大小比例","npctype","小地图显示","npccolour","share","modelID","可否被多人战斗","杂学id","map","编辑器X坐标（策划用）","编辑器Y坐标（策划用）","xPos","yPox","朝向","状态","所在地图层","小地图查询拼音","小地图查询","脚下称谓","头顶特效","脚下称谓策划看","chitchat1","chitchat2","chitchat3","chitchat4","chitchat5","leave","hideable","声音1","声音2","声音3","声音4","是否显示在周围列表","战斗ID","小地图npc颜色"
"99998","鞭策我吧沙包","","","","0","0","1","1","鞭策我吧沙包","ff00ff0d","0","1000105","0","-1","1615","","","100","100","","","0","","鞭策我吧沙包","沙包","","沙包","2193","","","","","告辞","0","","","","","0","7998","ff003303"
"99999","测试沙包","","","","0","0","1","1","测试沙包","ff00ff0d","0","1000105","0","-1","1615","","","100","100","","","0","","测试沙包","沙包","","沙包","2193","","","","","告辞","0","","","","","0","7999","ff003303"
"13105","卡尔索斯","","","","0","0","1","1","卡尔索斯","ff00ff0d","0","1000105","1","-1","1617","912","496","57","31","5","","0","kaiersasi","战士导师","法师导师","","卡尔索斯","2111","2113","2464","","","告辞","0","kaersasi_001.mp3","kaersasi_002.mp3","180501_05.mp3","","0","","ff003303"
"161701","法丝","","","","0","0","1","1","法师领袖","ff00ff0d","0","1020104","1","-1","1617","720","512","45","32","3","","0","shouxidizi","战士领袖","法师领袖","","法师领袖","2060","2061","2454","2063","","告辞","0","fasi_1.mp3","fasi_2.mp3","180503_03.mp3","fasi_4.mp3","0","3105","ff003303"
"161702","法师代表队","","","","0","0","1","1","法师代表队","ff00ff0d","0","1020122","1","-1","1617","720","512","42","42","5","","0","shouxidizi","法师代表队","<冠军试炼>职业代表","","法师首代表队","2353","","","","","告辞","0","","","","","0","3093","ff003303"
"161703","飞行管理员","","","","0","0","1","1","飞行管理员","ff00ff0d","0","1010117","0","-1","1617","169","1068","10","66","3","","0","feixing","飞行管理员","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.mp3","","","","0","","ff003303"
"13104","牛头人酋长","","","","0","0","1","1","牛头人酋长","ff00ff0d","0","1000101","1","-1","1618","448","320","18","30","3","","0","kaienxueti","战士导师","战士导师","","牛头人酋长","2480","2481","2460","","","告辞","0","kaienxueti_001.mp3","kaienxueti_002.mp3","180101_09.mp3","","0","","ff003303"
"161801","哀木涕","","","","0","0","1","1","战士领袖","ff00ff0d","0","1020101","1","-1","1618","528","608","33","38","4","","0","shouxidizi","战士领袖","战士领袖","","战士领袖","2040","2042","2450","2043","","告辞","0","aimuti_1.mp3","aimuti_3.mp3","180103_03.mp3","aimuti_4.mp3","0","3106","ff003303"
"161803","战士代表队","","","","0","0","1","1","战士代表队","ff00ff0d","0","1020101","1","-1","1618","528","608","56","23","4","","0","shouxidizi","战士代表队","<冠军试炼>职业代表","","战士代表队","2349","","","","","告辞","0","","","","","0","3094","ff003303"
"161804","飞行管理员","","","","0","0","1","1","飞行管理员","ff00ff0d","0","1010117","0","-1","1618","769","288","48","18","3","","0","feixing","飞行管理员","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.mp3","","","","0","","ff003303"
"13103","不朽者","","","","0","0","1","1","不朽者","ff00ff0d","0","1000103","1","-1","1619","992","336","62","21","5","","0","xianzhiweilun","牧师导师","牧师导师","","不朽者","2115","2117","2465","","","告辞","0","xianzhiweilun_1.mp3","xianzhiweilun_2.mp3","180601_09.mp3","","0","","ff003303"
"161901","沐丝","","","","0","0","1","1","牧师领袖","ff00ff0d","0","1020114","1","-1","1619","768","400","48","25","3","","0","shouxidizi","牧师领袖","牧师领袖","","牧师领袖","2064","2067","2066","2455","","告辞","0","musi_1.mp3","musi_3.mp3","musi_2.mp3","180603_02.mp3","0","3107","ff003303"
"161902","牧师代表队","","","","0","0","1","1","牧师代表队","ff00ff0d","0","1020114","1","-1","1619","544","624","24","29","4","","0","shouxidizi","牧师代表队","<冠军试炼>职业代表","","牧师代表队","2354","","","","","告辞","0","","","","","0","3095","ff003303"
"161903","飞行管理员","","","","0","0","1","1","飞行管理员","ff00ff0d","0","1010117","0","-1","1619","160","528","10","33","3","","0","feixing","飞行管理员","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.mp3","","","","0","","ff003303"
"13102","兽王","","","","0","0","1","1","兽王","ff00ff0d","0","1000104","0","-1","1620","352","528","22","33","3","","0","wojin","猎人导师","猎人导师","","兽王","2463","","","","","告辞","0","180401_07.mp3","","","","0","","ff003303"
"162001","劣人","","","","0","0","1","1","猎人领袖","ff00ff0d","0","1020102","0","-1","1620","560","704","35","44","3","","0","shouxidizi","猎人领袖","猎人领袖","","猎人领袖","2048","2049","2050","2051","","告辞","0","lieren_1.mp3","lieren_2.mp3","lieren_3.mp3","lieren_4.mp3","0","3108","ff003303"
"162002","猎人代表队","","","","0","0","1","1","猎人代表队","ff00ff0d","0","1020102","0","-1","1620","720","576","61","30","5","","0","shouxidizi","猎人代表队","<冠军试炼>职业代表","","猎人代表队","2351","","","","","告辞","0","","","","","0","3096","ff003303"
"162003","飞行管理员","","","","0","0","1","1","飞行管理员","ff00ff0d","0","1010117","0","-1","1620","834","529","52","33","3","","0","feixing","飞行管理员","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.mp3","","","","0","","ff003303"
"13101","光芒使者","","","","0","0","1","1","光芒使者","ff00ff0d","0","1000102","1","-1","1621","448","320","28","20","3","","0","wusier","圣骑导师","圣骑导师","","光芒使者","2099","2100","2461","","","告辞","0","wuser_001.mp3","wuser_002.mp3","180201_06.mp3","","0","","ff003303"
"162101","大小姐","","","","0","0","1","1","圣骑领袖","ff00ff0d","0","1020108","1","-1","1621","528","608","33","38","3","","0","shouxidizi","圣骑领袖","圣骑领袖","","圣骑领袖","2084","2085","2086","2087","","告辞","0","daxiaojie_1.mp3","daxiaojie_2.mp3","daxiaojie_3.mp3","daxiaojie_4.mp3","0","3109","ff003303"
"162102","圣骑代表队","","","","0","0","1","1","圣骑代表队","ff00ff0d","0","1020108","1","-1","1621","528","608","58","30","4","","0","shouxidizi","圣骑代表队","<冠军试炼>职业代表","","圣骑首代表队","2350","","","","","告辞","0","","","","","0","3097","ff003303"
"162103","飞行管理员","","","","0","0","1","1","飞行管理员","ff00ff0d","0","1010117","0","-1","1621","338","566","21","35","3","","0","feixing","飞行管理员","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.mp3","","","","0","","ff003303"
"13100","玛佛里","","","","0","0","1","1","玛佛里","ff00ff0d","0","1000106","1","-1","1622","448","320","28","20","3","","0","mafaliao","德鲁伊导师","德鲁伊导师","","玛佛里","2103","2106","2462","","","告辞","0","maliaonufeng_001.mp3","maliaonufeng_002.mp3","180301_06.mp3","","0","","ff003303"
"162201","神棍德","","","","0","0","1","1","小德领袖","ff00ff0d","0","1020115","1","-1","1622","528","608","33","38","3","","0","shouxidizi","德鲁伊领袖","德鲁伊领袖","","小德领袖","2056","2057","2058","2059","","告辞","0","xiaode_1.mp3","xiaode_2.mp3","xiaode_3.mp3","xiaode_4.mp3","0","3110","ff003303"
"162202","德鲁伊代表队","","","","0","0","1","1","德鲁伊首代表队","ff00ff0d","0","1020109","1","-1","1622","528","608","57","28","4","","0","shouxidizi","德鲁伊首代表队","<冠军试炼>职业代表","","德鲁伊首代表队","2352","","","","","告辞","0","","","","","0","3098","ff003303"
"162203","飞行管理员","","","","0","0","1","1","飞行管理员","ff00ff0d","0","1010117","0","-1","1622","341","580","21","36","3","","0","feixing","飞行管理员","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.mp3","","","","0","","ff003303"
"162204","月女祭司","","","","0","0","1","1","月女祭司","ff00ff0d","0","1020109","0","-1","1622","936","616","58","38","5","","0","feixing","月女祭司","","","月女祭司","2585","2586","2587","2588","","告辞","1","","","","","0","","ff003303"
"13106","女王希尔","","","","0","0","1","1","女王希尔","ff00ff0d","0","1000108","0","-1","1690","992","416","62","26","5","","0","wojin","盗贼导师","盗贼导师","","女王希尔","2467","","","","","告辞","0","180801_09.mp3","","","","0","","ff003303"
"169001","盗贼姑娘","","","","0","0","1","1","盗贼领袖","ff00ff0d","0","1020121","0","-1","1690","850","362","53","22","5","","0","shouxidizi","盗贼领袖","盗贼领袖","","盗贼领袖","2457","","","","","告辞","0","180803_05.mp3","","","","0","3111","ff003303"
"169002","盗贼代表队","","","","0","0","1","1","盗贼代表队","ff00ff0d","0","1020121","0","-1","1690","512","608","32","38","3","","0","shouxidizi","盗贼代表队","<冠军试炼>职业代表","","盗贼代表队","2351","","","","","告辞","0","","","","","0","3099","ff003303"
"169003","飞行管理员","","","","0","0","1","1","飞行管理员","ff00ff0d","0","1010117","0","-1","1690","400","609","25","38","3","","0","feixing","飞行管理员","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.mp3","","","","0","","ff003303"
"13107","沃尔金","","","","0","0","1","1","沃尔金","ff00ff0d","0","1000102","1","-1","1691","448","320","28","20","3","","0","wusier","萨满导师","萨满导师","","沃尔金","2466","2490","2491","","","告辞","0","180701_05.mp3","wojin_1.mp3","wojin_2.mp3","","0","","ff003303"
"169101","傻馒","","","","0","0","1","1","萨满领袖","ff00ff0d","0","1020105","1","-1","1691","528","608","33","38","3","","0","shouxidizi","萨满领袖","萨满领袖","","萨满领袖","2044","2045","2046","2456","","告辞","0","shaman_1.mp3","shaman_2.mp3","shaman_3.mp3","180703_06.mp3","0","3112","ff003303"
"169102","萨满代表队","","","","0","0","1","1","萨满代表队","ff00ff0d","0","1020105","1","-1","1691","928","480","58","30","4","","0","shouxidizi","萨满代表队","<冠军试炼>职业代表","","萨满代表队","2350","","","","","告辞","0","","","","","0","3100","ff003303"
"169103","飞行管理员","","","","0","0","1","1","飞行管理员","ff00ff0d","0","1010117","0","-1","1691","781","297","48","18","3","","0","feixing","飞行管理员","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.mp3","","","","0","","ff003303"
"13108","古尔迪安","","","","0","0","1","1","古尔迪安","ff00ff0d","0","1020140","1","-1","1692","992","368","62","23","5","","0","mafaliao","术士导师","术士导师","","古尔迪安","2468","","","","","告辞","0","180901_08.mp3","","","","0","","ff003303"
"169201","术虱","","","","0","0","1","1","术士领袖","ff00ff0d","0","1020110","1","-1","1692","784","400","49","25","3","","0","shouxidizi","术士领袖","术士领袖","","术士领袖","2074","2072","2073","2458","","告辞","0","shushi_1.mp3","shushi_2.mp3","shushi_3.mp3","180903_14.mp3","0","3113","ff003303"
"169202","术士代表队","","","","0","0","1","1","术士首代表队","ff00ff0d","0","1020110","1","-1","1692","528","432","33","27","4","","0","shouxidizi","术士首代表队","<冠军试炼>职业代表","","术士首代表队","2352","","","","","告辞","0","","","","","0","3101","ff003303"
"169203","飞行管理员","","","","0","0","1","1","飞行管理员","ff00ff0d","0","1010117","0","-1","1692","438","465","27","29","3","","0","feixing","飞行管理员","","","飞行管理员","2470","2360","","","","告辞","0","180138_16.mp3","","","","0","","ff003303"
"160501","精灵女子","","","","0","0","1","1","精灵女子","ff00ff0d","0","1030007","0","-1","1605","608","448","38","28","3","","0","jinglingnvzi","精灵女子","","","精灵女子","2171","2171","2171","2171","","告辞","0","tongyong_nv_dazhaohu.mp3","tongyong_nv_shiluo01.mp3","tongyong_nv_shiluo02.mp3","tongyong_nv_xiao03.mp3","0","","ff003303"
"160502","主宰之剑","","","","0","0","0.5","1","主宰之剑","ff00ff0d","0","1030004","0","-1","1605","240","240","15","15","3","","0","zhuzaizhijian","主宰之剑","","","主宰之剑","2170","2170","2170","2170","","告辞","0","","","","","0","","ff003303"
"160503","莫迪伦","","","","0","0","1","1","莫迪伦","ff00ff0d","0","1030002","0","-1","1605","","","42","58","3","","0","maidiwen","莫迪伦","","","莫迪伦","2166","2167","2168","2169","","告辞","1","maidiwen_001.mp3","maidiwen_002.mp3","maidiwen_003.mp3","maidiwen_004.mp3","0","","ff003303"
"160504","哨兵","","","","0","0","1","1","哨兵","ff00ff0d","0","1020117","0","-1","1605","774","1274","48","79","3","","0","","哨兵","","","哨兵","2625","","","","","告辞","1","","","","","0","","ff003303"
"160505","尤迪安","","","","0","0","1","1","尤迪安","ff00ff0d","0","1010140","0","-1","1605","874","1260","54","78","5","","0","","尤迪安","恶魔猎手","","尤迪安","2621","2622","2623","2624","","告辞","1","","","","","0","","ff003303"
"160506","玛蕾","","","","0","0","1","1","玛蕾","ff00ff0d","0","1020113","0","-1","1605","1578","1624","98","101","5","","0","","玛蕾","守望者","","玛蕾","2625","2626","2627","2628","","告辞","1","","","","","0","","ff003303"
"160507","尤迪安","","","","0","0","1","1","尤迪安","ff00ff0d","0","1010140","0","-1","1605","1498","1562","93","97","5","","0","","尤迪安","恶魔猎手","","尤迪安","2621","2622","2623","2624","","告辞","1","","","","","0","","ff003303"
"160508","法斯琪","","","","0","0","1","1","法斯琪","ff00ff0d","0","1010142","0","-1","1605","1416","1554","88","97","3","","0","","法斯琪","娜迦女妖","","法斯琪","2575","","","","","告辞","1","","","","","0","","ff003303"
"160601","小德","","","","0","0","1","1","小德","ff00ff0d","0","1020115","0","-1","1606","","","23","22","3","","0","xiaode","小德","","","小德","2056","2057","2058","2059","","告辞","1","xiaode_1.mp3","xiaode_2.mp3","xiaode_3.mp3","xiaode_4.mp3","0","","ff003303"
"160602","哀木涕","","","","0","0","1","1","哀木涕","ff00ff0d","0","1020101","0","-1","1606","704","592","44","37","5","","0","aimuti","哀木涕","","","哀木涕","2040","2041","2042","2043","","告辞","1","aimuti_1.mp3","aimuti_2.mp3","aimuti_3.mp3","aimuti_4.mp3","0","","ff003303"
"160603","美屡","","","","0","0","1","1","美屡","ff00ff0d","0","1020111","0","-1","1606","592","464","37","29","3","","0","meilv","美屡","","","美屡","2068","2069","2070","2071","","告辞","1","meilv_1.mp3","meilv_2.mp3","meilv_3.mp3","meilv_4.mp3","0","","ff003303"
"160604","沐恩","","","","0","0","1","1","沐恩","ff00ff0d","0","1020125","0","-1","1606","","","14","55","7","","0","miuen","沐恩","","","沐恩","2209","2210","2211","2212","","告辞","1","tongyong_nan_dazhaohu.mp3","tongyong_nan_daxiao.mp3","tongyong_nan_tanqi.mp3",,"0","","ff003303"
"160605","莱吉尔","","","","0","0","0.8","1","莱吉尔","ff00ff0d","0","1020125","0","-1","1606","","","4","76","3","","0","leijia","莱吉尔","","","莱吉尔","2209","2210","2211","2212","","告辞","1","tongyong_nan_dazhaohu.mp3","","tongyong_nan_daxiao.mp3","tongyong_nan_tanqi.mp3","0","","ff003303"
