"id","地图id","主怪","怪物1","怪物2","怪物3","怪物4","怪物5","策划备注"
"1","1601","22000","22000","22004","0","0","0","溶洞一层"
"2","1624","22008","22008","22012","0","0","0","溶洞二层"
"3","1625","22016","22016","22020","0","0","0","溶洞三层"
"4","1626","22024","22024","22028","0","0","0","废矿一层"
"5","1627","22032","22032","22036","0","0","0","废矿二层"
"6","1628","22040","22040","22044","0","0","0","废矿三层"
"7","1629","22048","22048","22052","0","0","0","银堡一层"
"8","1630","22056","22056","22060","0","0","0","银堡二层"
"9","1631","22064","22064","22068","0","0","0","银堡三层"
"10","1602","22072","22072","22076","0","0","0","荒泽一层"
"11","1632","22080","22080","22084","0","0","0","荒泽二层"
"12","1633","22088","22088","22092","0","0","0","荒泽三层"
"13","1634","22096","22096","22100","0","0","0","教堂一层"
"14","1635","22104","22104","22108","0","0","0","教堂二层"
"15","1636","22112","22112","22116","0","0","0","教堂三层"
"16","1603","22120","22120","22124","0","0","0","埋股圣地一层"
"17","1637","22128","22128","22132","0","0","0","埋股圣地二层"
"18","1638","22136","22136","22140","0","0","0","埋股圣地三层"
"19","1639","22144","22144","22148","0","0","0","遗迹一层"
"20","1640","22152","22152","22156","0","0","0","遗迹二层"
"21","1641","22160","22160","22164","0","0","0","遗迹三层"
"22","1604","22168","22168","22172","0","0","0","祭坛一层"
"23","1642","22176","22176","22180","0","0","0","祭坛二层"
"24","1643","22184","22184","22188","0","0","0","祭坛三层"
"25","1644","22192","22192","22196","0","0","0","深渊一层"
"26","1645","22200","22200","22204","0","0","0","深渊二层"
"27","1646","22208","22208","22212","0","0","0","深渊三层"
"28","1647","22216","22216","22220","0","0","0","雾都一层"
"29","1648","22224","22224","22228","0","0","0","雾都二层"
"30","1649","22232","22232","22236","0","0","0","雾都三层"
