"id","等级min","等级max","等级段id","当前状态","所在地图","跳转坐标","挑战npc","常规奖励id","挑战服务","战斗id","服务npc","掉宝箱概率","宝箱奖励id","跳转点map","跳转点x","跳转点y","总关卡数","关卡描述","攻略","名字","可跳转坐标","跳转目标地图","目标地图坐标","是否BOSS","C级奖励id","B级奖励id","A级奖励id","S级奖励id","第几关","开宝箱次数","介绍","x坐标","y坐标"
"100","40","69","1","0","1821","60,19","182101","5290","1483","3001",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","教派信徒","教派信徒",,,,"0",,,,,"第一关","0","圣光并没有赐予我面包！","57","200"
"101","40","69","1","1","1821","47,42","182102","5290","1484","3002",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","教派间谍","教派间谍","",,"","0",,,,,"第二关","0","不要再盲从那些坐在温暖城堡中的家伙，他们的豪言壮语可曾真正改变我们生活的窘境。","228","313"
"102","40","69","1","2","1821","38,68","182103","5290","1485","3003",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","狂热教徒","狂热教徒","",,"","0",,,,,"第三关","0","教派给了我新生！","414","250"
"103","40","69","1","3","1821","55,90","182104","5290","1486","3004",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","亡守教徒","亡守教徒","",,"","0",,,,,"第四关","0","没有人可以阻挡强大的天灾军团。","644","232"
"104","40","69","1","4","1821","80,81","182105","5290","1487","3005",,"0;0;0","11702;11702;11702;11702","0","0","0","25","洛丹伦废墟道","教派狼人","教派狼人","81,36","1822","78,14","1","28","27","26","25","第五关","1","当我和恶魔签下契约，我便将灵魂献给了教派。","821","166"
"105","40","69","1","5","1822","78,31","182201","5290","1488","3006",,"0;0;0","0","1822","37","13","25","洛丹伦废墟道","死灵巫师","死灵巫师",,,,"0",,,,,"第六关","0","我需要更多的尸体……","65","190"
"106","40","69","1","6","1822","113,47","182202","5290","1489","3007",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","碎骨战士","碎骨战士","",,"","0",,,,,"第七关","0","魔法将撕裂你的肉体。","221","292"
"107","40","69","1","7","1822","121,98","182203","5290","1490","3008",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","碎骨射手","碎骨射手","",,"","0",,,,,"第八关","0","我捡到了一本疾风步法术书，你可以帮我翻译一下么？","418","242"
"108","40","69","1","8","1822","77,95","182204","5290","1491","3009",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","蚀骨通灵师","蚀骨通灵师","",,"","0",,,,,"第九关","0","卡~~更，博森挪击组","617","209"
"109","40","69","1","9","1822","54,54","182205","5290","1492","3010",,"0;0;0","11702;11702;11702;11702","0","0","0","25","洛丹伦废墟道","教派百夫长 ","教派百夫长 ","17,15","1823","33,12","1","28","27","26","25","第十关","1","年轻人，你将为你的鲁莽闯入付出代价。","822","178"
"110","40","69","1","10","1823","60,19","182301","5290","1493","3011",,"0;0;0","0","1823","37","13","25","洛丹伦废墟道","暗影教徒","暗影教徒","",,"","0",,,,,"第十一关","0","不要把我和那帮玩火的家伙相提并论，冰霜的力量不是他们所能够驾驭的。","73","214"
"111","40","69","1","11","1823","47,42","182302","5290","1494","3012",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","污染者","污染者",,,,"0",,,,,"第十二关","0","想要在酷热的炎日下感受一发冰爽的刺激么？","234","313"
"112","40","69","1","12","1823","38,68","182303","5290","1495","3013",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","暴食者","暴食者","",,"","0",,,,,"第十三关","0","你闻起来好像很美味。","419","232"
"113","40","69","1","13","1823","55,90","182304","5290","1496","3014",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","女妖","女妖","",,"","0",,,,,"第十四关","0","在天灾军团我还兼职了狂欢夜总会的主唱~","630","226"
"114","40","69","1","14","1823","80,81","182305","5290","1497","3015",,"0;0;0","11702;11702;11702;11702","0","0","0","25","洛丹伦废墟道","穴居魔 ","穴居魔 ","81,36","1824","78,14","1","28","27","26","25","第十五关","1","穴居一族可不是蝼蚁之辈！","822","192"
"115","40","69","1","15","1824","78,31","182401","5290","1498","3016",,"0;0;0","0","1824","37","13","25","洛丹伦废墟道","石像魔","石像魔","",,"","0",,,,,"第十六关","0","我们来玩木头人的游戏吧。","71","211"
"116","40","69","1","16","1824","113,47","182402","5290","1499","3017",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","瘟疫散布者","瘟疫散布者","",,"","0",,,,,"第十七关","0","PM2.5真不是我干的，真的。","218","319"
"117","40","69","1","17","1824","121,98","182403","5290","1500","3018",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","瘟疫携带者","瘟疫携带者",,,,"0",,,,,"第十八关","0","他们说我是感染者，其实我也就多呼吸了几口雾霾而已。","407","259"
