"编号","售卖图标ID","名称","名称颜色","宠物品质","售卖商店类型","售卖NPCID","参战等级","携带等级","初始等级","推荐体质","推荐智力","推荐力量","推荐耐力","推荐敏捷","初始属性分配类型","初始属性点","初始寿命","area1colour","area2colour","体资最小值","体资最大值","法资最小值","法资最大值","攻资最小值","攻资最大值","防资最小值","防资最大值","速资最小值","速资最大值","体资固定值","法资固定值","攻资固定值","防资固定值","速资固定值","成长率1","成长率2","成长率3","成长率4","成长率5","成长率6","成长率7","固定成长率","治疗强度成长","控制命中成长","控制抗性成长","类型","对应野生ID","对应宝宝ID","对应变异ID","是否稀有","造型id","技能1","技能2","技能3","技能4","技能5","出现几率1","出现几率2","出现几率3","出现几率4","出现几率5","图鉴是否显示","可出现场景地图ID","出现场景描述","洗宠消耗材料ID","洗宠消耗材料数量","洗练后ID","是否绑定","技能认证花费银币","取消认证花费银币","辅助AI","珍品评分","珍品需要技能数","宠物回收价格","多少次变成满技能"
"500100","32000","小软","FF06cc11","2","1","161505","1","1","1","1","0","4","0","0","1","50","10000","0","0","2660","3040","990","1130","890","1010","740","840","590","680","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500100","500220","500261",,"1010112","206003","206023","","","","333","333","","","",,"1601","溶洞1~3层","310102","1","500220@998;500261@2",,"14160","1000000",,"99999","1","3000",
"500101","32000","小软","FF06cc11","2","1","161505","1","1","15","1","0","4","0","0","1","50","10000","0","0","2660","3040","990","1130","890","1010","740","840","590","680","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500101","500220","500261",,"1010112","206003","206023","","","","333","333","","","",,"1601","溶洞1~3层","310102","1","500220@998;500261@2",,"14160","1000000",,"99999","1","3000",
"500102","32000","小软","FF06cc11","2","1","161505","1","1","25","1","0","4","0","0","1","50","10000","0","0","2660","3040","990","1130","890","1010","740","840","590","680","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500102","500220","500261",,"1010112","206003","206023","","","","333","333","","","",,"1601","溶洞1~3层","310102","1","500220@998;500261@2",,"14160","1000000",,"99999","1","3000",
"500103","32000","迅猛龙","FF06cc11","2","1","161505","15","5","15","1","0","4","0","0","1","50","10000","0","0","2290","2620","1020","1160","920","1050","610","700","920","1050","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500103","500221","500262",,"1010113","206002","206003","206023","","","333","333","333","","",,"1624","溶洞2~3层","310102","1","500221@998;500262@2",,"106000","1000000",,"99999","2","3500",
"500104","32000","迅猛龙","FF06cc11","2","1","161505","15","5","25","1","0","4","0","0","1","50","10000","0","0","2290","2620","1020","1160","920","1050","610","700","920","1050","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500104","500221","500262",,"1010113","206002","206003","206023","","","333","333","333","","",,"1624","溶洞2~3层","310102","1","500221@998;500262@2",,"106000","1000000",,"99999","2","3500",
"500105","32000","羽蛇","FF06cc11","2","1","161505","25","15","25","1","0","4","0","0","1","50","10000","0","0","1900","2170","1050","1200","950","1080","790","900","950","1080","","","","","","982","990","998","1006","1014","1022","1030","","3","10","10","1","500105","500222","500263",,"1010114","206001","206035","206023","206033","","333","333","333","333","",,"1625","溶洞3层","310102","1","500222@998;500263@2",,"210000","1000000",,"99999","3","4000",
"500106","32000","食人工头","FF06cc11","2","1","161505","35","25","30","1","0","4","0","0","1","50","10000","0","0","2930","3350","1090","1240","980","1120","810","930","650","740","","","","","","1012","1020","1028","1036","1044","1052","1060","","3","10","10","1","500106","500224","500265",,"1010116","206003","206002","206015","206026","","1000","333","333","333","",,"1626","废矿1~3层","310102","1","500224@998;500265@2",,"346000","1000000",,"99999","3","4500",
"500107","32000","食人工头","FF06cc11","2","1","161505","35","25","33","1","0","4","0","0","1","50","10000","0","0","2930","3350","1090","1240","980","1120","810","930","650","740","","","","","","1012","1020","1028","1036","1044","1052","1060","","3","10","10","1","500107","500224","500265",,"1010116","206003","206002","206015","206026","","1000","333","333","333","",,"1626","废矿1~3层","310102","1","500224@998;500265@2",,"346000","1000000",,"99999","3","4500",
"500108","32000","食人工头","FF06cc11","2","1","161505","35","25","36","1","0","4","0","0","1","50","10000","0","0","2930","3350","1090","1240","980","1120","810","930","650","740","","","","","","1012","1020","1028","1036","1044","1052","1060","","3","10","10","1","500108","500224","500265",,"1010116","206003","206002","206015","206026","","1000","333","333","333","",,"1626","废矿1~3层","310102","1","500224@998;500265@2",,"346000","1000000",,"99999","3","4500",
"500109","32000","地精工匠","FF06cc11","2","1","161505","35","25","33","1","4","0","0","0","1","50","10000","0","0","2930","3350","1630","1860","650","740","650","740","810","930","","","","","","1012","1020","1028","1036","1044","1052","1060","","3","10","10","1","500109","500225","500266",,"1010117","207001","206033","206011","206023","","1000","333","333","333","",,"1627","废矿2~3层","310102","1","500225@998;500266@2",,"346000","1000000",,"99999","3","4500",
