"称谓id","聊天可见","有效时间","称谓名","category","species","description","fontcolor","获得方式"
"24","false","2880","银色的曙光","活动称谓",,"犹如晦暗的乌云间透出的一丝曙光，给银色北伐军带来了胜利的希望。","255,0,255,255","<冠军试炼>活动中获得。称号可保留两天！"
"259","false","-1","会长","公会称谓","（会显示公会名称）","公会中最高领导人","255,255,165,0","成功创建公会"
"260","false","-1","副会长","公会称谓",,"公会中仅次于会长的存在","255,171,72,234","公会会长任命"
"261","false","-1","第一军团长","公会称谓",,"公会主力，在公会中具有超然的地位","255,171,72,234","公会会长或副会长任命"
"262","false","-1","第二军团长","公会称谓",,"公会主力，在公会中具有超然的地位","255,171,72,234","公会会长或副会长任命"
"263","false","-1","第三军团长","公会称谓",,"公会主力，在公会中具有超然的地位","255,171,72,234","公会会长或副会长任命"
"264","false","-1","第四军团长","公会称谓",,"公会主力，在公会中具有超然的地位","255,171,72,234","公会会长或副会长任命"
"265","false","-1","第一军团勇士","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"266","false","-1","第一军团精英","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"267","false","-1","第一军团先锋","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"268","false","-1","第二军团勇士","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"269","false","-1","第二军团精英","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"270","false","-1","第二军团先锋","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"271","false","-1","第三军团勇士","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"272","false","-1","第三军团精英","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"273","false","-1","第三军团先锋","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"274","false","-1","第四军团勇士","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"275","false","-1","第四军团精英","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"276","false","-1","第四军团先锋","公会称谓",,"公会精英，在公会中不可缺少的成员","255,0,255,255","公会会长、副会长、军团长任命"
"277","false","-1","成员","公会称谓",,"公会正式成员，公会大家庭的一员","255,0,255,255","加入任意公会"
"278","false","-1","学徒","公会称谓",,"公会实习生，公会大家庭的新人","255,0,255,255","等级40级以下加入任意公会"
"279","false","-1","隐藏称谓","特殊称谓",,"隐藏称谓,更能彰显我的低调","255,0,255,255",
"25","false","-1","角斗士","一级职业称谓男战士",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"26","false","-1","微语轻风","一级职业称谓男萨满",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"27","false","-1","驯兽学徒","一级职业称谓男猎人",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"28","false","-1","丛林卫士","一级职业称谓男小德",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"29","false","-1","血匕刺客","一级职业称谓男盗贼",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"30","false","-1","控火学徒","一级职业称谓男法师",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"31","false","-1","圣光信徒","一级职业称谓男牧师",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"32","false","-1","恶魔门徒","一级职业称谓",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"33","false","-1","毁灭者","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"34","false","-1","元素之怒","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"35","false","-1","荒野独狼","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"36","false","-1","野性之力","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"37","false","-1","暗影游侠","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"38","false","-1","烈焰瀑流","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"39","false","-1","惩罪罚恶","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"40","false","-1","地狱丧歌","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"41","false","-1","咆哮战神","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"42","false","-1","灵魂行者","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"43","false","-1","万兽之王","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"44","false","-1","大地守护","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"45","false","-1","狂风疾刃","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"46","false","-1","法力风暴","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"47","false","-1","审判天神","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"48","false","-1","灰烬风暴","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"49","false","-1","卫道士","一级职业称谓女战士",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"50","false","-1","圣殿骑士","一级职业称谓女圣骑",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"51","false","-1","驭兽学徒","一级职业称谓女猎人",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"52","false","-1","丛林精灵","一级职业称谓女小德",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"53","false","-1","利刃刺客","一级职业称谓女盗贼",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"54","false","-1","驭法学徒","一级职业称谓女法师",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"55","false","-1","神圣使徒","一级职业称谓女牧师",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"56","false","-1","魅影使徒","一级职业称谓女术士",,"由于你的出色表现，被给予一级职业称谓","255,0,255,255","完成一级职业称谓任务"
"57","false","-1","征服者","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"58","false","-1","正义裁决","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"59","false","-1","丛林捷豹","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"60","false","-1","自然之力","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"61","false","-1","暮影游侠","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"62","false","-1","霜寒光辉","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"63","false","-1","济良救善","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"64","false","-1","邪恶统御","二级职业称谓",,"由于你的出色表现，被给予二级职业称谓","255,0,255,255","完成二级职业称谓任务"
"65","false","-1","玫瑰战神","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"66","false","-1","黎明曙光","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"67","false","-1","风行影歌","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"68","false","-1","月幕祭司","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"69","false","-1","夜幕影舞","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"70","false","-1","时空执守","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"71","false","-1","守护天使","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
"72","false","-1","浩劫天启","三级职业称谓",,"由于你的出色表现，被给予三级职业称谓","255,0,255,255","完成三级职业称谓任务"
