"道具id","备注","映射道具id1","映射道具id2","映射道具id3","映射道具id4","映射道具id5","映射道具id6","映射道具id7","映射道具id8"
"500100","小软","500101","500102","500160","500161","500162",,,
"500101",,"500102","500160","500161","500162","500100",,,
"500102",,"500160","500161","500162","500100","500101",,,
"500160",,"500161","500162","500100","500101","500102",,,
"500161",,"500162","500100","500101","500102","500160",,,
"500162",,"500100","500101","500102","500160","500161",,,
"500103","捕猎者","500104","500163","500164","","",,,
"500104",,"500163","500164","500103","","",,,
"500163",,"500164","500103","500104","","",,,
"500164",,"500103","500104","500163","","",,,
"500105","羽蛇","500165","","","","",,,
"500165",,"500105","","","","",,,
"500106","食人工头","500107","500108","500166","500167","500168",,,
"500107",,"500108","500166","500167","500168","500106",,,
"500108",,"500166","500167","500168","500106","500107",,,
"500166",,"500167","500168","500106","500107","500108",,,
"500167",,"500168","500106","500107","500108","500166",,,
"500168",,"500106","500107","500108","500166","500167",,,
"500109","地精工匠","500110","500169","500170","","",,,
"500110",,"500169","500170","500109","","",,,
"500169",,"500170","500109","500110","","",,,
"500170",,"500109","500110","500169","","",,,
"500111","剪刀手","500171","","","","",,,
"500171",,"500111","","","","",,,
"500112","野鬼","500113","500114","500172","500173","500174",,,
"500113",,"500114","500172","500173","500174","500112",,,
"500114",,"500172","500173","500174","500112","500113",,,
"500172",,"500173","500174","500112","500113","500114",,,
"500173",,"500174","500112","500113","500114","500172",,,
"500174",,"500112","500113","500114","500172","500173",,,
"500115","狼人","500116","500175","500176","","",,,
"500116",,"500175","500176","500115","","",,,
"500175",,"500176","500115","500116","","",,,
"500176",,"500115","500116","500175","","",,,
"500117","死灵哨兵","500177","","","","",,,
"500177",,"500117","","","","",,,
"500118","野猪","500119","500120","500178","500179","500180",,,
"500119",,"500120","500178","500179","500180","500118",,,
"500120",,"500178","500179","500180","500118","500119",,,
"500178",,"500179","500180","500118","500119","500120",,,
"500179",,"500180","500118","500119","500120","500178",,,
"500180",,"500118","500119","500120","500178","500179",,,
"500121","吸血蝙蝠","500122","500181","500182","","",,,
"500122",,"500181","500182","500121","","",,,
"500181",,"500182","500121","500122","","",,,
"500182",,"500121","500122","500181","","",,,
"500123","野猪人","500183","","","","",,,
"500183",,"500123","","","","",,,
"500124","血色猎犬","500125","500126","500184","500185","500186",,,
"500125",,"500126","500184","500185","500186","500124",,,
"500126",,"500184","500185","500186","500124","500125",,,
"500184",,"500185","500186","500124","500125","500126",,,
"500185",,"500186","500124","500125","500126","500184",,,
"500186",,"500124","500125","500126","500184","500185",,,
"500127","幽灵","500128","500187","500188","","",,,
"500128",,"500187","500188","500127","","",,,
"500187",,"500188","500127","500128","","",,,
"500188",,"500127","500128","500187","","",,,
"500129","血色士兵","500189","","","","",,,
"500189",,"500129","","","","",,,
"500130","土元素","500131","500132","500190","500191","500192",,,
"500131",,"500132","500190","500191","500192","500130",,,
"500132",,"500190","500191","500192","500130","500131",,,
"500190",,"500191","500192","500130","500131","500132",,,
"500191",,"500192","500130","500131","500132","500190",,,
"500192",,"500130","500131","500132","500190","500191",,,
"500133","半人马","500134","500193","500194","","",,,
"500134",,"500193","500194","500133","","",,,
"500193",,"500194","500133","500134","","",,,
"500194",,"500133","500134","500193","","",,,
"500135","鞭笞者","500195","","","","",,,
"500195",,"500135","","","","",,,
"500136","摧毁者","500137","500138","500196","500197","500198",,,
"500137",,"500138","500196","500197","500198","500136",,,
"500138",,"500196","500197","500198","500136","500137",,,
"500196",,"500197","500198","500136","500137","500138",,,
"500197",,"500198","500136","500137","500138","500196",,,
"500198",,"500136","500137","500138","500196","500197",,,
"500139","虚空恐魔","500140","500199","500200","","",,,
"500140",,"500199","500200","500139","","",,,
"500199",,"500200","500139","500140","","",,,
"500200",,"500139","500140","500199","","",,,
"500141","食人魔","500201","","","","",,,
"500201",,"500141","","","","",,,
"500142","绿飞龙","500143","500144","500202","500203","500204",,,
"500143",,"500144","500202","500203","500204","500142",,,
"500144",,"500202","500203","500204","500142","500143",,,
"500202",,"500203","500204","500142","500143","500144",,,
"500203",,"500204","500142","500143","500144","500202",,,
"500204",,"500142","500143","500144","500202","500203",,,
"500145","预言者","500146","500205","500206","","",,,
"500146",,"500205","500206","500145","","",,,
"500205",,"500206","500145","500146","","",,,
"500206",,"500145","500146","500205","","",,,
"500147","骨飞龙","500207","","","","",,,
"500207",,"500147","","","","",,,
"500148","炎魔使者","500149","500150","500208","500209","500210",,,
"500149",,"500150","500208","500209","500210","500148",,,
"500150",,"500208","500209","500210","500148","500149",,,
"500208",,"500209","500210","500148","500149","500150",,,
"500209",,"500210","500148","500149","500150","500208",,,
"500210",,"500148","500149","500150","500208","500209",,,
"500151","黑铁矮人","500152","500211","500212","","",,,
"500152",,"500211","500212","500151","","",,,
"500211",,"500212","500151","500152","","",,,
"500212",,"500151","500152","500211","","",,,
"500153","铁炉牧师","500213","","","","",,,
"500213",,"500153","","","","",,,
"500154","死亡骑士","500155","500156","500214","500215","500216",,,
"500155",,"500156","500214","500215","500216","500154",,,
"500156",,"500214","500215","500216","500154","500155",,,
"500214",,"500215","500216","500154","500155","500156",,,
"500215",,"500216","500154","500155","500156","500214",,,
"500216",,"500154","500155","500156","500214","500215",,,
"500157","食尸鬼","500158","500217","500218","","",,,
"500158",,"500217","500218","500157","","",,,
"500217",,"500218","500157","500158","","",,,
"500218",,"500157","500158","500217","","",,,
"500159","女妖","500219","","","","",,,
"500219",,"500159","","","","",,,
"4040101","恶魔弯刀","5040101","6040101","4040114","5040114","6040114",,,
"5040101",,"6040101","4040114","5040114","6040114","4040101",,,
"6040101",,"4040114","5040114","6040114","4040101","5040101",,,
"4040114",,"5040114","6040114","4040101","5040101","6040101",,,
"5040114",,"6040114","4040101","5040101","6040101","4040114",,,
"6040114",,"4040101","5040101","6040101","4040114","5040114",,,
"4040102","高能魔棒","5040102","6040102","4040115","5040115","6040115",,,
"5040102",,"6040102","4040115","5040115","6040115","4040102",,,
"6040102",,"4040115","5040115","6040115","4040102","5040102",,,
"4040115",,"5040115","6040115","4040102","5040102","6040102",,,
"5040115",,"6040115","5040102","6040102","4040115","5040115",,,
"6040115",,"4040102","4040115","5040115","6040115","4040102",,,
"4040103","萨特强弓","5040103","6040103","4040116","5040116","6040116",,,
"5040103",,"6040103","4040116","5040116","6040116","4040103",,,
"6040103",,"4040116","5040116","6040116","4040103","5040103",,,
"4040116",,"5040116","6040116","4040103","5040103","6040103",,,
"5040116",,"6040116","4040103","5040103","6040103","4040116",,,
"6040116",,"4040103","5040103","6040103","4040116","5040116",,,
"4040104","锋刃之爪","5040104","6040104","4040117","5040117","6040117",,,
"5040104",,"6040104","4040117","5040117","6040117","4040104",,,
"6040104",,"4040117","5040117","6040117","4040104","5040104",,,
"4040117",,"5040117","6040117","4040104","5040104","6040104",,,
"5040117",,"6040117","4040104","5040104","6040104","4040117",,,
"6040117",,"4040104","5040104","6040104","4040117","5040117",,,
"4040105","吉安娜火杖","5040105","6040105","4040118","5040118","6040118",,,
"5040105",,"6040105","4040118","5040118","6040118","4040105",,,
"6040105",,"4040118","5040118","6040118","4040105","5040105",,,
"4040118",,"5040118","6040118","4040105","5040105","6040105",,,
"5040118",,"6040118","4040105","5040105","6040105","4040118",,,
"6040118",,"4040105","5040105","6040105","4040118","5040118",,,
"4040106","导能法杖","5040106","6040106","4040119","5040119","6040119",,,
"5040106",,"6040106","4040119","5040119","6040119","4040106",,,
"6040106",,"4040119","5040119","6040119","4040106","5040106",,,
"4040119",,"5040119","6040119","4040106","5040106","6040106",,,
"5040119",,"6040119","4040106","5040106","6040106","4040119",,,
"6040119",,"4040106","5040106","6040106","4040119","5040119",,,
"4040207","真银胸甲","5040207","6040207","4040220","5040220","6040220",,,
"5040207",,"6040207","4040220","5040220","6040220","4040207",,,
"6040207",,"4040220","5040220","6040220","4040207","5040207",,,
"4040220",,"5040220","6040220","4040207","5040207","6040207",,,
"5040220",,"6040220","4040207","5040207","6040207","4040220",,,
"6040220",,"4040207","5040207","6040207","4040220","5040220",,,
"4040208","羽饰外套","5040208","6040208","4040221","5040221","6040221",,,
"5040208",,"6040208","4040221","5040221","6040221","4040208",,,
"6040208",,"4040221","5040221","6040221","4040208","5040208",,,
"4040221",,"5040221","6040221","4040208","5040208","6040208",,,
"5040221",,"6040221","4040208","5040208","6040208","4040221",,,
"6040221",,"4040208","5040208","6040208","4040221","5040221",,,
"4040309","腐蝎头盔","5040309","6040309","4040322","5040322","6040322",,,
"5040309",,"6040309","4040322","5040322","6040322","4040309",,,
"6040309",,"4040322","5040322","6040322","4040309","5040309",,,
"4040322",,"5040322","6040322","4040309","5040309","6040309",,,
"5040322",,"6040322","4040309","5040309","6040309","4040322",,,
"6040322",,"4040309","5040309","6040309","4040322","5040322",,,
"4040310","新月头饰","5040310","6040310","4040323","5040323","6040323",,,
"5040310",,"6040310","4040323","5040323","6040323","4040310",,,
"6040310",,"4040323","5040323","6040323","4040310","5040310",,,
"4040323",,"5040323","6040323","4040310","5040310","6040310",,,
"5040323",,"6040323","4040310","5040310","6040310","4040323",,,
"6040323",,"4040310","5040310","6040310","4040323","5040323",,,
"4040411","反击磁石","5040411","6040411","4040424","5040424","6040424",,,
"5040411",,"6040411","4040424","5040424","6040424","4040411",,,
"6040411",,"4040424","5040424","6040424","4040411","5040411",,,
"4040424",,"5040424","6040424","4040411","5040411","6040411",,,
"5040424",,"6040424","4040411","5040411","6040411","4040424",,,
"6040424",,"4040411","5040411","6040411","4040424","5040424",,,
"4040512","掩护束腰","5040512","6040512","4040525","5040525","6040525",,,
"5040512",,"6040512","4040525","5040525","6040525","4040512",,,
"6040512",,"4040525","5040525","6040525","4040512","5040512",,,
"4040525",,"5040525","6040525","4040512","5040512","6040512",,,
"5040525",,"6040525","4040512","5040512","6040512","4040525",,,
"6040525",,"4040512","5040512","6040512","4040525","5040525",,,
"4040613","圆月长靴","5040613","6040613","4040626","5040626","6040626",,,
"5040613",,"6040613","4040626","5040626","6040626","4040613",,,
"6040613",,"4040626","5040626","6040626","4040613","5040613",,,
"4040626",,"5040626","6040626","4040613","5040613","6040613",,,
"5040626",,"6040626","4040613","5040613","6040613","4040626",,,
"6040626",,"4040613","5040613","6040613","4040626","5040626",,,
"4050101","复仇","5050101","6050101","4050114","5050114","6050114",,,
"5050101",,"6050101","4050114","5050114","6050114","4050101",,,
"6050101",,"4050114","5050114","6050114","4050101","5050101",,,
"4050114",,"5050114","6050114","4050101","5050101","6050101",,,
"5050114",,"6050114","4050101","5050101","6050101","4050114",,,
"6050114",,"4050101","5050101","6050101","4050114","5050114",,,
"4050102","提米的手","5050102","6050102","4050115","5050115","6050115","",,
"5050102",,"6050102","4050115","5050115","6050115","4050102",,,
"6050102",,"4050115","5050115","6050115","4050102","5050102",,,
"4050115",,"5050115","6050115","4050102","5050102","6050102",,,
"5050115",,"6050115","4050102","5050102","6050102","4050115",,,
"6050115",,"4050102","5050102","6050102","4050115","5050115",,,
"4050103","射针弓","5050103","6050103","4050116","5050116","6050116","",,
"5050103",,"6050103","4050116","5050116","6050116","4050103",,,
"6050103",,"4050116","5050116","6050116","4050103","5050103",,,
"4050116",,"5050116","6050116","4050103","5050103","6050103",,,
"5050116",,"6050116","4050103","5050103","6050103","4050116",,,
"6050116",,"4050103","5050103","6050103","4050116","5050116",,,
"4050104","精灵之爪","5050104","6050104","4050117","5050117","6050117","",,
"5050104",,"6050104","4050117","5050117","6050117","4050104",,,
"6050104",,"4050117","5050117","6050117","4050104","5050104",,,
"4050117",,"5050117","6050117","4050104","5050104","6050104",,,
