"id","文件名","是否支持","对应模块1"
"1","fire.pb.battle.SAIAction.xml","true","battle"
"2","fire.pb.battle.SBattleAI.xml","true","battle"
"3","fire.pb.battle.SBattleInfo.xml","true","battle"
"4","fire.pb.battle.SCondition.xml","true","battle"
"5","fire.pb.battle.STargetFilter.xml","true","battle"
"6","fire.pb.game.SActivityAward.xml","true","award"
"7","fire.pb.item.SPresentConfig.xml","true","item"
"8","fire.pb.item.SYuanbaoItem.xml","true","item"
"9","fire.pb.login.SCompensationCondition.xml","true","compensation"
"10","fire.pb.login.SCompensationConfig.xml","true","compensation"
"11","fire.pb.main.HotfixConfig.xml","true",""
"12","fire.pb.map.MapConfig.xml","true",""
"13","fire.pb.map.SActivityAwardItems.xml","true","award"
"14","fire.pb.npc.SActivityNpcPos.xml","false","activity"
"15","fire.pb.npc.SAllConds.xml","true","npc"
"16","fire.pb.npc.SHireNpc.xml","true","battle"
"17","fire.pb.npc.SMonsterConfig.xml","true","battle"
"18","fire.pb.npc.SNpcSale.xml","true","npc"
"19","fire.pb.npc.SNpcServiceConfig.xml","true","npc"
"20","fire.pb.npc.SNpcShare.xml","true","npc"
"21","fire.pb.npc.SServiceConds.xml","true","npc"
"22","fire.pb.task.SMainMissionInfo.xml","true","task"
"23","fire.pb.task.SSpecialProductBattleConfig.xml","true","task"
"24","fire.pb.task.SSpecialProductNPCConfig.xml","true","task"
"25","fire.pb.task.SSpecialProductRewardConfig.xml","true","task"
"26","fire.pb.task.STransportFHL.xml","true","transport"
"27","fire.pb.task.STransportTargetNpc.xml","true","transport"
"28","fire.pb.yuanbao.SAutoBuySell.xml","true","yuanbao"
"29","sys.properties","true",""
"30","fire.pb.main.LoginLimit.xml","true","log"
"31","fire.pb.trade.SExchangeConfig.xml","true",""
"32","fire.pb.skill.SActionTime.xml","true",""
"33","fire.pb.main.JumpQueueUser.xml","true",""
"34","fire.pb.timer.SHHCZYtimer.xml","true",""
"35","fire.pb.game.SFortuneWheel.xml","true","npc"
"36","fire.pb.main.HotfixXml2ModuleConfig.xml","true",""
"37","fire.pb.boat.SLZAwardConfig.xml","true",""
"38","fire.pb.game.ExternalAward.xml","true","award"
"39","fire.pb.npc.SNpcserveradd.xml","true","npc"
"40","fire.pb.skill.SSkillConfig.xml","true","skill"
"41","fire.pb.npc.SAntiqueEvent.xml","true",""
"42","fire.pb.SystemSetting.SHotdeployClass.xml","true","hotdeploy"
"43","fire.pb.main.whiteip.xml","true","log"
