"ID","公会职务名称","职务等级","职务名额上限","是否需要标记名额数量","修改公会名称（会长）","设置公会是否可自动接收学徒（会长）","修改公会宗旨（会长、副会长）","公会药房选择产药方式（会长、副会长）","清空申请列表（会长、副会长）","任命（会长、副会长、军团长）","禁言（会长、副会长、军团长）","踢出（会长、副会长、军团长）","公会群发消息（会长、副会长、军团长）","领取公会分红（公会所有人员，学徒除外）","参与公会竞赛（公会所有人员，学徒除外）","邀请成员（公会所有人员）","使用公会频道（公会所有人员）","完成公会任务（公会所有人员）","参与公会活动（公会所有人员）","享受公会福利（公会所有人员）"
"1","会长","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","副会长","2","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"3","第一军团长","3","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"4","第二军团长","3","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"5","第三军团长","3","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"6","第四军团长","3","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"7","第一军团勇士","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"8","第一军团精英","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"9","第一军团先锋","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"10","第二军团勇士","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"11","第二军团精英","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"12","第二军团先锋","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"13","第三军团勇士","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"14","第三军团精英","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"15","第三军团先锋","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"16","第四军团勇士","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"17","第四军团精英","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"18","第四军团先锋","4","20","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"19","成员","4","","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"20","学徒","5","20","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
