"编号","刷新组","注释（策划备注）","等级下限","等级上限","刷新时系统提示信息编号","刷新列表","刷新列表数量","每种NPC数量","刷新总数量","刷新数量","数量分配方式","刷新场景","刷新场景个数","场景中数量分配方式","怪物存在时间","击杀奖励个数","奖励ID","奖励ID2","匹配奖励方式","分级奖励","奖励个数超过提示编号","是否组队","组队人数要求","需求等级下限","需求等级上限"
"1","1","古神爪牙","1","29",,"170071,170072,170073","1","3","20","20","1","1616@1","1","1","0","10","5740","","","","150210",,,"25","155"
"2","1","古神爪牙","30","39",,"170071,170072,170073","1","3","20","20","1","1616@1","1","1","0","10","5750","","","","150210",,,"25","155"
"3","1","古神爪牙","40","49",,"170074,170075,170076","1","3","20","20","1","1614@1","1","1","0","10","5760","","","","150210",,,"40","155"
"4","1","古神爪牙","50","59",,"170077,170078,170079","1","3","20","20","1","1606@1","1","1","0","10","5770","","","","150210",,,"50","155"
"5","1","古神爪牙","60","69",,"170080,170081,170082","1","3","20","20","1","1605@1","1","1","0","10","5780","","","","150210",,,"60","155"
"6","1","古神爪牙","70","79",,"170083,170084,170085","1","3","20","20","1","1607@1","1","1","0","10","5780","","","","150210",,,"70","155"
"7","1","古神爪牙","80","89",,"170086,170087,170088","1","3","20","20","1","1610@1","1","1","0","10","5780","","","","150210",,,"80","155"
"8","1","古神爪牙","90","155",,"170089,170090,170091","1","3","20","20","1","1609@1","1","1","0","10","5780","","","","150210",,,"90","155"
"9","2","古神","1","155",,"170092,170093,170094;170095,170096,170097","1","1","20","20","1","1605@1;1606@1;1607@1;1609@1;1610@1;1614@1;1616@1","1","1","0","3","5810","11407","2","1,155,5820","150214","1","3","25","155"
"10","3","宝宝幼儿园","1","24",,"170214,170215,170216,170214,170215,170216,170214,170215,170216,170217;170214,170215,170216,170214,170215,170216,170214,170215,170216,170255;170214,170215,170216,170214,170215,170216,170214,170215,170216,170256;170214,170215,170216,170214,170215,170216,170214,170215,170216,170257;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216","1","1","20","20","1","1616@1","1","1","0","10","",,"","","",,,"5","155"
"11","3","宝宝幼儿园","25","34",,"170214,170215,170216,170214,170215,170216,170214,170215,170216,170217;170214,170215,170216,170214,170215,170216,170214,170215,170216,170255;170214,170215,170216,170214,170215,170216,170214,170215,170216,170256;170214,170215,170216,170214,170215,170216,170214,170215,170216,170257;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216","1","1","20","20","1","1616@1","1","1","0","10","",,"","","",,,"25","155"
"12","3","宝宝幼儿园","35","44",,"170214,170215,170216,170214,170215,170216,170214,170215,170216,170217;170214,170215,170216,170214,170215,170216,170214,170215,170216,170255;170214,170215,170216,170214,170215,170216,170214,170215,170216,170256;170214,170215,170216,170214,170215,170216,170214,170215,170216,170257;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216;170214,170215,170216,170214,170215,170216,170214,170215,170216","1","1","20","20","1","1614@1","1","1","0","10",,,"","","",,,"35","155"
"13","3","宝宝幼儿园","45","54",,"170218,170219,170220,170218,170219,170220,170218,170219,170220,170221;170218,170219,170220,170218,170219,170220,170218,170219,170220,170259;170218,170219,170220,170218,170219,170220,170218,170219,170220,170260;170218,170219,170220,170218,170219,170220,170218,170219,170220,170261;170218,170219,170220,170218,170219,170220,170218,170219,170220;170218,170219,170220,170218,170219,170220,170218,170219,170220;170218,170219,170220,170218,170219,170220,170218,170219,170220;170218,170219,170220,170218,170219,170220,170218,170219,170220","1","1","20","20","1","1606@1","1","1","0","10",,,"","","",,,"45","155"
