"id","上榜人数","排行榜"
"1","100","等级排行榜"
"2","100","财富排行榜"
"3","20","今日鲜花榜"
"4","20","昨日鲜花榜"
"5","20","历史鲜花榜"
"8","100","名师排行榜"
"9","100","宠物综合评分榜"
"10","100","成就排行榜"
"11","1000","PVP积分排行榜"
"31","50","公会排行榜"
"32","100","玩家实力综合榜"
"33","20","周鲜花榜"
"34","20","七夕收花榜"
"35","20","七夕鲜花榜"
"38","100","人物排行榜"
"43","100","战士排行榜"
"44","100","法师排行榜"
"45","100","牧师排行榜"
"46","100","圣骑排行榜"
"47","100","猎人排行榜"
"48","100","德鲁伊排行榜"
"49","100","等级"
"50","100","综合实力"
"51","100","熔火之心"
"52","100","纳克萨玛斯"
"60","100","盗贼排行榜"
"61","100","萨满排行榜"
"62","100","术士排行榜"
