"ID","值1","值2","值3","值4","值5","值6","值7","值8","值9","值10","完成类型","值11","值12","值13","值14","值15","值16","值17","值18","值19","值20","检查类型","错误提示"
"100120",,,,,,,,,,,"9",,,,,,,,,,,"0","0"
"100188","49001","49002","49003","49004","49005","49006","49007","49008","49009","49010","1",,,,,,,,,,,"0","0"
"100189","500051",,,,,,,,,,"2",,,,,,,,,,,"0","0"
"100191",,,,,,,,,,,"0","500051","500052","500053","500054",,,,,,,"2","141490"
"100219",,,,,,,,,,,"9",,,,,,,,,,,"0","0"
"100288","49001","49002","49003","49004","49005","49006","49007","49008","49009","49010","1",,,,,,,,,,,"0","0"
"100289","500051",,,,,,,,,,"2",,,,,,,,,,,"0","0"
"100291",,,,,,,,,,,"0","500051","500052","500053","500054",,,,,,,"2","141490"
"100319",,,,,,,,,,,"9",,,,,,,,,,,"0","0"
"100388","49001","49002","49003","49004","49005","49006","49007","49008","49009","49010","1",,,,,,,,,,,"0","0"
"100389","500051",,,,,,,,,,"2",,,,,,,,,,,"0","0"
"100391",,,,,,,,,,,"0","500051","500052","500053","500054",,,,,,,"2","141490"
"100419",,,,,,,,,,,"9",,,,,,,,,,,"0","0"
"100488","49001","49002","49003","49004","49005","49006","49007","49008","49009","49010","1",,,,,,,,,,,"0","0"
"100489","500051",,,,,,,,,,"2",,,,,,,,,,,"0","0"
"100491",,,,,,,,,,,"0","500051","500052","500053","500054",,,,,,,"2","141490"
"100519",,,,,,,,,,,"9",,,,,,,,,,,"0","0"
"100588","49001","49002","49003","49004","49005","49006","49007","49008","49009","49010","1",,,,,,,,,,,"0","0"
"100589","500051",,,,,,,,,,"2",,,,,,,,,,,"0","0"
"100591",,,,,,,,,,,"0","500051","500052","500053","500054",,,,,,,"2","141490"
"100619",,,,,,,,,,,"9",,,,,,,,,,,"0","0"
"100688","49001","49002","49003","49004","49005","49006","49007","49008","49009","49010","1",,,,,,,,,,,"0","0"
"100689","500051",,,,,,,,,,"2",,,,,,,,,,,"0","0"
"100691",,,,,,,,,,,"0","500051","500052","500053","500054",,,,,,,"2","141490"
"100719",,,,,,,,,,,"9",,,,,,,,,,,"0","0"
"100788","49001","49002","49003","49004","49005","49006","49007","49008","49009","49010","1",,,,,,,,,,,"0","0"
"100789","500051",,,,,,,,,,"2",,,,,,,,,,,"0","0"
"100791",,,,,,,,,,,"0","500051","500052","500053","500054",,,,,,,"2","141490"
"100819",,,,,,,,,,,"9",,,,,,,,,,,"0","0"
"100888","49001","49002","49003","49004","49005","49006","49007","49008","49009","49010","1",,,,,,,,,,,"0","0"
"100889","500051",,,,,,,,,,"2",,,,,,,,,,,"0","0"
"100891",,,,,,,,,,,"0","500051","500052","500053","500054",,,,,,,"2","141490"
"100925",,,,,,,,,,,"9",,,,,,,,,,,"0","0"
"100988","49001","49002","49003","49004","49005","49006","49007","49008","49009","49010","1",,,,,,,,,,,"0","0"
"100989","500051",,,,,,,,,,"2",,,,,,,,,,,"0","0"
"100991",,,,,,,,,,,"0","500051","500052","500053","500054",,,,,,,"2","141490"
"101106","10","1111",,,,,,,,,"5",,,,,,,,,,,"0","0"
"101205","10","1211",,,,,,,,,"5",,,,,,,,,,,"0","0"
"101405","10","1411",,,,,,,,,"5",,,,,,,,,,,"0","0"
"101505","10","1511",,,,,,,,,"5",,,,,,,,,,,"0","0"
"101705","10","1711",,,,,,,,,"5",,,,,,,,,,,"0","0"
"101906","10","1911",,,,,,,,,"5",,,,,,,,,,,"0","0"
"102055","10",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102056","10",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102057","10",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102058","10",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102059","10",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102064","1","1111","1211","1311","1411","1511","1611","1711","1811","1911","5",,,,,,,,,,,"0","0"
"102065","10","1112","1212","1312","1412","1512","1612","1712","1812","1912","5",,,,,,,,,,,"0","0"
"102067","5",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102068","5",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102069","5",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102070","5",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102071","5",,,,,,,,,,"6",,,,,,,,,,,"0","0"
"102106","3",,,,,,,,,,"12",,,,,,,,,,,"0","0"
"102142",,,,,,,,,,,"14",,,,,,,,,,,"0","0"
"102194",,,,,,,,,,,"13",,,,,,,,,,,"0","0"
"102195",,,,,,,,,,,"14",,,,,,,,,,,"0","0"
"190191","0","10",,,,,,,,,"23",,,,,,,,,,,"0","0"
"190192","3","10",,,,,,,,,"23",,,,,,,,,,,"0","0"
"190193","1","10",,,,,,,,,"23",,,,,,,,,,,"0","0"
"190194","4","10",,,,,,,,,"23",,,,,,,,,,,"0","0"
"190195","2","10",,,,,,,,,"23",,,,,,,,,,,"0","0"
"190196","5","10",,,,,,,,,"23",,,,,,,,,,,"0","0"
"191101","20","1111",,,,,,,,,"5",,,,,,,,,,,"0","0"
"191201","20","1211",,,,,,,,,"5",,,,,,,,,,,"0","0"
"191301","20","1411",,,,,,,,,"5",,,,,,,,,,,"0","0"
"191401","20","1511",,,,,,,,,"5",,,,,,,,,,,"0","0"
"191501","20","1711",,,,,,,,,"5",,,,,,,,,,,"0","0"
"191901","20","1911",,,,,,,,,"5",,,,,,,,,,,"0","0"
"200206",,,,,,,,,,,"10",,,,,,,,,,,"0","0"
"201415","3","809015","809021",,,,,,,,"4",,,,,,,,,,,"0","0"
"203203","10","801001","801002","801003","801009","801010","801011",,,,"4",,,,,,,,,,,"0","0"
"203204","10","801001","801002","801003","801009","801010","801011",,,,"4",,,,,,,,,,,"0","0"
"203407","5","810001","810003","810005","810007","810009",,,,,"4",,,,,,,,,,,"0","0"
"203503",,,,,,,,,,,"7",,,,,,,,,,,"0","0"
"203603",,,,,,,,,,,"8",,,,,,,,,,,"0","0"
"205202",,,,,,,,,,,"24",,,,,,,,,,,"0","0"
"205302","1","319902",,,,,,,,,"4",,,,,,,,,,,"0","0"
"205303",,,,,,,,,,,"25",,,,,,,,,,,"0","0"
"205402",,,,,,,,,,,"26",,,,,,,,,,,"0","0"
"205502","5","903001",,,,,,,,,"4",,,,,,,,,,,"0","0"
"205805","49197",,,,,,,,,,"15",,,,,,,,,,,"0","0"
"205806","49197",,,,,,,,,,"16",,,,,,,,,,,"0","0"
"206202","15",,,,,,,,,,"20",,,,,,,,,,,"0","0"
"206302","31",,,,,,,,,,"20",,,,,,,,,,,"0","0"
"206406","0","16000",,,,,,,,,"28",,,,,,,,,,,"0","0"
"207603",,,,,,,,,,,"29",,,,,,,,,,,"0","0"
"207703","3",,,,,,,,,,"12",,,,,,,,,,,"0","0"
"209102","1","36962",,,,,,,,,"4",,,,,,,,,,,"0","0"
"209103","1","36034",,,,,,,,,"4",,,,,,,,,,,"0","0"
"209202","1","36962",,,,,,,,,"4",,,,,,,,,,,"0","0"
"209203","1","36034",,,,,,,,,"4",,,,,,,,,,,"0","0"
"209302","1",,,,,,,,,,"31",,,,,,,,,,,"0","0"
"209304","1","302502","302602","302702","302802","302902","303002",,,,"4",,,,,,,,,,,"0","0"
"209402","1",,,,,,,,,,"19",,,,,,,,,,,"0","0"
"209502","3",,,,,,,,,,"19",,,,,,,,,,,"0","0"
"210005","1","809014","809208","809023","809305",,,,,,"4",,,,,,,,,,,"0","0"
"210105","1","812001",,,,,,,,,"4",,,,,,,,,,,"0","0"
"210204","1","210204",,,,,,,,,"4",,,,,,,,,,,"0","0"
"210206","1",,,,,,,,,,"30",,,,,,,,,,,"0","0"
"210302",,,,,,,,,,,"15",,,,,,,,,,,"0","0"
"210303",,,,,,,,,,,"23",,,,,,,,,,,"0","0"
"211002",,,,,,,,,,,"17",,,,,,,,,,,"0","0"
"211501",,,,,,,,,,,"18",,,,,,,,,,,"0","0"
"212002",,,,,,,,,,,"17",,,,,,,,,,,"0","0"
"213002",,,,,,,,,,,"17",,,,,,,,,,,"0","0"
"214002",,,,,,,,,,,"17",,,,,,,,,,,"0","0"
"215002",,,,,,,,,,,"17",,,,,,,,,,,"0","0"
"216002",,,,,,,,,,,"17",,,,,,,,,,,"0","0"
"217002",,,,,,,,,,,"17",,,,,,,,,,,"0","0"
"218002",,,,,,,,,,,"17",,,,,,,,,,,"0","0"
"219002",,,,,,,,,,,"17",,,,,,,,,,,"0","0"
"221111","1","2","3","4","5","6","7","8","9","10","21",,,,,,,,,,,"0","0"
"221117","50261","50262","50263",,,,,,,,"22",,,,,,,,,,,"0","0"
"250106","1",,,,,,,,,,"33",,,,,,,,,,,"0","0"
"250108","1","39858",,,,,,,,,"34",,,,,,,,,,,"0","0"
"250109","1","39858",,,,,,,,,"34",,,,,,,,,,,"0","0"
"250402","1","0",,,,,,,,,"35",,,,,,,,,,,"0","0"
"250403","1","803001",,,,,,,,,"36",,,,,,,,,,,"0","0"
"305802","11211","11212","11213",,,,,,,,"27",,,,,,,,,,,"0","0"
"305902","11214","11215","11216","11218","11219",,,,,,"27",,,,,,,,,,,"0","0"
"306002","11250","11251","11622","11252","11253","11254",,,,,"27",,,,,,,,,,,"0","0"
"306102","11259","11260","11261","12194",,,,,,,"27",,,,,,,,,,,"0","0"
"306202","11262","11263","11264","12193",,,,,,,"27",,,,,,,,,,,"0","0"
"306302","11265","11266","11267",,,,,,,,"27",,,,,,,,,,,"0","0"
"306402","11268","11269",,,,,,,,,"27",,,,,,,,,,,"0","0"
"306902","11255","11256","11257","11258",,,,,,,"27",,,,,,,,,,,"0","0"
"307002","12195","12196",,,,,,,,,"27",,,,,,,,,,,"0","0"
"311102","3",,,,,,,,,,"12",,,,,,,,,,,"0","0"
"314502","3",,,,,,,,,,"12",,,,,,,,,,,"0","0"
"314505","3",,,,,,,,,,"12",,,,,,,,,,,"0","0"
"500101","1",,,,,,,,,,"31",,,,,,,,,,,"0","0"
"500203","1",,,,,,,,,,"39",,,,,,,,,,,"0","0"
"500305","1",,,,,,,,,,"38",,,,,,,,,,,"0","0"
"500502","1",,,,,,,,,,"37",,,,,,,,,,,"0","0"
"500504","1",,,,,,,,,,"16",,,,,,,,,,,"0","0"
"500603","1030000","5",,,,,,,,,"6",,,,,,,,,,,"0","0"
"501102","1",,,,,,,,,,"40",,,,,,,,,,,"0","0"
"501002","1",,,,,,,,,,"41",,,,,,,,,,,"0","0"
