"ID","名字","排序","浮动开关","二级菜单1","二级菜单2","二级菜单3","二级菜单4","二级菜单5","二级菜单6","二级菜单7","二级菜单8","二级菜单9","二级菜单10","二级菜单11","二级菜单12","二级菜单13","二级菜单14","二级菜单15","二级菜单16","二级菜单17","二级菜单18","二级菜单19","二级菜单20","二级菜单21","二级菜单22","二级菜单23","二级菜单24","二级菜单25","二级菜单26","二级菜单27","二级菜单28","二级菜单29","二级菜单30","二级菜单31","二级菜单32","二级菜单33","二级菜单34","二级菜单35","二级菜单36","二级菜单37","二级菜单38","二级菜单39","二级菜单40","二级菜单41","二级菜单42","二级菜单43","二级菜单44","二级菜单45","二级菜单46","二级菜单47","二级菜单48","二级菜单49","二级菜单50"
"2","珍品宠物","1","0","100","101","102","103","104","105","106","107","108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","珍品装备","2","0","200","201","202","203","204","205","206","207","208","209","210","211","212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","高级兽决","4","0","300","301","302","303","304","305","306","307","308","309","310","311","312","313","314","315","316","317","318","319","320","321","322","323","324","325","326","327","328","329","330","331","332","333","334","335","336","337","338","339","340","341",,,,,,,,
"5","低级兽决","5","1","400","401","402","403","404","405","406","407","408","409","410","411","412","413","414","415","416","417","418","419","420","421","422","423","424","425","426","427","428","429","430","431","432","433","434","435","436","437","438","439","440",,,,,,,,,
"6","药品","6","1","500","501","502","503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","烹饪","7","1","600","601","602","603","604","605","606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","模具","8","1","700","701","702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","附魔卷轴","9","1","800","801","802","803","804","805","806","807","808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","任务装备","3","1","900","901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","奇珍异宝","10","1","1000","1002","1001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12","装备打造","11","0","1100","1101","1102","1103","1104","1105","1106","1107","1108","1109","1110","1111","1112","1113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13","坐骑","12","0","1114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
