"序号","物品类型","id","备注名","逻辑类型","珍品","值1","显示1","区间1","区间2","区间3","区间4","区间5","区间6","区间7","区间8","区间9","区间10","区间11","区间12","2级菜单ID","1级菜单ID","默认货币类型","默认价格1","默认价格2","默认价格3","默认价格4","默认价格5","默认价格6","默认价格7","默认价格8","默认价格9","默认价格10","默认价格11","基准成交量","基准挂单量","可见等级","可购买等级下限","可购买等级上限","价格上限","价格下限","浮动价格系数"
"1000","2","500224","食人工头宝宝","0","1",,,,,,,,,,,,,,,"100","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1001","2","500225","地精工匠宝宝","0","1",,,,,,,,,,,,,,,"100","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1002","2","500226","剪刀手宝宝","0","1",,,,,,,,,,,,,,,"100","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1003","2","500227","鱼人宝宝","0","1",,,,,,,,,,,,,,,"100","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1004","2","500228","野鬼宝宝","0","1",,,,,,,,,,,,,,,"101","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1005","2","500229","狼人宝宝","0","1",,,,,,,,,,,,,,,"101","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1006","2","500230","死灵哨兵宝宝","0","1",,,,,,,,,,,,,,,"101","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1007","2","500231","血月教徒宝宝","0","1",,,,,,,,,,,,,,,"101","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1008","2","500232","野猪","0","1",,,,,,,,,,,,,,,"102","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1009","2","500233","吸血蝙蝠","0","1",,,,,,,,,,,,,,,"102","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1010","2","500234","野猪人","0","1",,,,,,,,,,,,,,,"102","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1011","2","500235","巫妖","0","1",,,,,,,,,,,,,,,"102","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1012","2","500236","血色猎犬","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1013","2","500237","幽灵","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1014","2","500238","血色士兵","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1015","2","500239","血色骑士","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1016","2","500240","血色牧师","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1017","2","500241","土元素","0","1",,,,,,,,,,,,,,,"104","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1018","2","500242","半人马","0","1",,,,,,,,,,,,,,,"104","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1019","2","500243","鞭笞者","0","1",,,,,,,,,,,,,,,"104","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1020","2","500244","腐女","0","1",,,,,,,,,,,,,,,"104","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1021","2","500245","摧毁者","0","1",,,,,,,,,,,,,,,"105","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1022","2","500246","虚空恐魔","0","1",,,,,,,,,,,,,,,"105","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1023","2","500247","食人魔","0","1",,,,,,,,,,,,,,,"105","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1024","2","500248","变形者","0","1",,,,,,,,,,,,,,,"105","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1025","2","500249","绿飞龙","0","1",,,,,,,,,,,,,,,"106","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1026","2","500250","预言者","0","1",,,,,,,,,,,,,,,"106","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1027","2","500251","骨飞龙","0","1",,,,,,,,,,,,,,,"106","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1028","2","500252","绿龙","0","1",,,,,,,,,,,,,,,"106","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1029","2","500253","炎魔使者","0","1",,,,,,,,,,,,,,,"107","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1030","2","500254","黑铁矮人","0","1",,,,,,,,,,,,,,,"107","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1031","2","500255","铁炉牧师","0","1",,,,,,,,,,,,,,,"107","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1032","2","500256","矮人军官","0","1",,,,,,,,,,,,,,,"107","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1033","2","500257","死亡骑士","0","1",,,,,,,,,,,,,,,"108","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1034","2","500258","食尸鬼","0","1",,,,,,,,,,,,,,,"108","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1035","2","500259","女妖","0","1",,,,,,,,,,,,,,,"108","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1036","2","500260","恐惧恶魔","0","1",,,,,,,,,,,,,,,"108","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1100","2","500265","变异食人工头","0","1",,,,,,,,,,,,,,,"100","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1101","2","500266","变异地精工匠","0","1",,,,,,,,,,,,,,,"100","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1102","2","500267","变异剪刀手","0","1",,,,,,,,,,,,,,,"100","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1103","2","500268","变异鱼人","0","1",,,,,,,,,,,,,,,"100","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1104","2","500269","变异野鬼","0","1",,,,,,,,,,,,,,,"101","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1105","2","500270","变异狼人","0","1",,,,,,,,,,,,,,,"101","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1106","2","500271","变异死灵哨兵","0","1",,,,,,,,,,,,,,,"101","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1107","2","500272","变异血月教徒","0","1",,,,,,,,,,,,,,,"101","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1108","2","500273","野猪","0","1",,,,,,,,,,,,,,,"102","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1109","2","500274","吸血蝙蝠","0","1",,,,,,,,,,,,,,,"102","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1110","2","500275","野猪人","0","1",,,,,,,,,,,,,,,"102","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1111","2","500276","巫妖","0","1",,,,,,,,,,,,,,,"102","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1112","2","500277","血色猎犬","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1113","2","500278","幽灵","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1114","2","500279","血色士兵","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1115","2","500280","血色骑士","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1116","2","500281","血色牧师","0","1",,,,,,,,,,,,,,,"103","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1117","2","500282","土元素","0","1",,,,,,,,,,,,,,,"104","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1118","2","500283","半人马","0","1",,,,,,,,,,,,,,,"104","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1119","2","500284","鞭笞者","0","1",,,,,,,,,,,,,,,"104","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1120","2","500285","腐女","0","1",,,,,,,,,,,,,,,"104","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1121","2","500286","摧毁者","0","1",,,,,,,,,,,,,,,"105","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1122","2","500287","虚空恐魔","0","1",,,,,,,,,,,,,,,"105","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1123","2","500288","食人魔","0","1",,,,,,,,,,,,,,,"105","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1124","2","500289","变形者","0","1",,,,,,,,,,,,,,,"105","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1125","2","500290","绿飞龙","0","1",,,,,,,,,,,,,,,"106","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1126","2","500291","预言者","0","1",,,,,,,,,,,,,,,"106","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1127","2","500292","骨飞龙","0","1",,,,,,,,,,,,,,,"106","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1128","2","500293","绿龙","0","1",,,,,,,,,,,,,,,"106","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1129","2","500294","炎魔使者","0","1",,,,,,,,,,,,,,,"107","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1130","2","500295","黑铁矮人","0","1",,,,,,,,,,,,,,,"107","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1131","2","500296","铁炉牧师","0","1",,,,,,,,,,,,,,,"107","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1132","2","500297","矮人军官","0","1",,,,,,,,,,,,,,,"107","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1133","2","500298","死亡骑士","0","1",,,,,,,,,,,,,,,"108","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1134","2","500299","食尸鬼","0","1",,,,,,,,,,,,,,,"108","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1135","2","500300","女妖","0","1",,,,,,,,,,,,,,,"108","2","","","","","","","","","","","","",,,"1","1","155","","",""
"1136","2","500301","恐惧恶魔","0","1",,,,,,,,,,,,,,,"108","2","","","","","","","","","","","","",,,"1","1","155","","",""
"2000","3","6030101","蓝剑","1","1","30","30级",,,,,"","","","","","","","","200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2001","3","6040101","蓝剑","1","1","40","40级",,,,,"","","","","","","","","200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2002","3","6050101","蓝剑","1","1","50","50级",,,,,"","","","","","","","","200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2003","3","6060101","蓝剑","1","1","60","60级",,,,,"","","","","","","","","200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2004","3","6070101","蓝剑","1","1","70","70级",,,,,"","","","","","","","","200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2005","3","6080101","蓝剑","1","1","80","80级",,,,,"","","","","","","","","200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2006","3","6090101","蓝剑","1","1","90","90级",,,,,"","","","","","","","","200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2007","3","6100101","蓝剑","1","1","100","100级",,,,,"","","","","","","","","200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2008","3","6030102","蓝锤子","1","1","30","30级",,,,,"","","","","","","","","201","3","","","","","","","","","","","","",,,"1","1","155","","",""
