"序列","NPCid","商店ID","商店名","可见页签等级","页签显示","商品ID1","商品ID2","商品ID3"
"1","160801","4","宠物商店","0","0","2000",,
"2","160801","4","宠物商店","15","15","2001",,
"3","160801","4","宠物商店","25","25","2002",,
"4","160801","4","宠物商店","35","35","2003","2004","2005"
"5","160801","4","宠物商店","45","45","2006","2007","2008"
"6","160801","4","宠物商店","55","55","2009","2010","2011"
"7","160801","4","宠物商店","55","65","2012","2013","2014"
"8","160801","4","宠物商店","55","75","2015","2016","2017"
"9","160801","4","宠物商店","55","80","2018","2019","2020"
"10","160801","4","宠物商店","55","85","2021","2022","2023"
"11","160801","4","宠物商店","55","90","2024","2025","2026"
"12","160801","4","宠物商店","55","95","2027","2028","2029"
