"商品ID","商品分类","排序","累计充值符石","道具类型","默认购买数量","商品描述","促销类型"
"4000","2","1","0","时空龙鳞","1","","0"
"4001","2","2","0","大地龙鳞","1","","0"
"4002","2","3","0","魔法龙鳞","1","","0"
"4003","2","4","0","生命龙鳞","1","","0"
"4004","2","5","0","梦境龙鳞","1","","0"
"4005","2","6","0","还童卷轴","1","","0"
"4020","2","7","0","高级还童卷轴","1",,"0"
"4006","3","3","0","修理工具包","1",,"0"
"4007","2","8","0","兽王纲要","1",,"0"
"4008","2","9","0","资质培养药剂","1",,"0"
"4009","2","10","0","天火原石","1",,"0"
"4010","2","11","0","风暴原石","1",,"0"
"4011","2","12","0","宁静原石","1",,"0"
"4012","2","13","0","洞察原石","1",,"0"
"4013","2","14","0","还原卷轴·体","1",,"0"
"4014","2","15","0","还原卷轴·智","1",,"0"
"4015","2","16","0","还原卷轴·力","1",,"0"
"4016","2","17","0","还原卷轴·耐","1",,"0"
"4017","2","18","0","还原卷轴·敏","1",,"0"
"4018","3","4","0","还童卷轴","1","","0"
"4019","1","4","0","修理工具包","1",,"0"
"4021","1","5","0","银箱子","1",,"0"
"4022","1","6","0","金箱子","1",,"0"
"4023","3","5","0","银箱子","1",,"0"
"4024","3","6","2000","天火原石礼包","1",,"0"
"4025","3","7","2000","风暴原石礼包","1",,"0"
"4026","3","8","2000","宁静原石礼包","1",,"0"
"4027","3","9","2000","洞察原石礼包","1",,"0"
"4028","3","10","2000","宠物培养礼包","1",,"0"
"4029","2","19","0","狮鹫","1",,"0"
"4030","2","21","0","双倍经验药水","1","","0"
"4031","1","4","0","浓缩染料","1",,"0"
"4032","2","22","0","活力水晶","1",,"0"
"4033","2","20","0","烈焰战马","1","","0"
"4034","2","22","0","圣光礼盒","1","可随机获得一本低级兽诀和一枚经验宝珠，愿圣光与你同在。","0"
"4035","3","9","0","圣光礼盒","1","可随机获得一本低级兽诀和一枚经验宝珠，愿圣光与你同在。","0"
"4036","1","1","0","幸运金币","1",,"0"
"4037","1","2","0","幸运银币","1",,"0"
"4038","3","1","0","幸运金币","1","一枚幸运金币，可以在暗月商人处抽取奖励。暗月商人每个整点都有可能出现。每周限购一枚                                                            ","2"
"4039","3","2","0","幸运银币","1","每周半价出售一枚！       一枚幸运银币，可以在血帆小贩处抽取奖励。血帆小贩每个整点都有可能出现。每周限购一枚                                                            ","2"
,,,"","","",,
