"商品ID","用处（策划看）","商品名备注","商品类型","类型对应","货币1","货币2","价格1","价格2","现价1","现价2","限购类型","限购数量","限售数量","可见等级","可购买等级下限","可购买等级上限","浮动价格1","价格上限","价格下限","出售类型","商品描述"
"1000","商会用","1级血精石","1","35001","1",,"80000",,"80000",,"1","20","20","1","1","155","1560","1.5","0.6","1"," <T t='效果：生命 +40' c='FF845C33'/><B/><T t='镶嵌：衣甲、腰带' c='FF845C33'/><B/><T t='稀有而名贵的宝石，因像血液凝聚而成闻名，镶嵌在衣甲或腰带上提高生命。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1001","商会用","1级红曜石","1","35002","1",,"80000",,"80000",,"1","20","20","1","1","155","1560","1.5","0.6","1"," <T t='效果：物理攻击 +8' c='FF845C33'/><B/><T t='镶嵌：武器、头盔' c='FF845C33'/><B/><T t='世间最为锋利的宝石，镶嵌在武器或头上提高物理攻击力。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1002","商会用","1级石榴石","1","35003","1",,"80000",,"80000",,"1","20","20","1","1","155","1560","1.5","0.6","1"," <T t='效果：物理防御 +12' c='FF845C33'/><B/><T t='镶嵌：衣甲、头盔' c='FF845C33'/><B/><T t='传说是远古神龙的化石，质地坚硬，镶嵌在头上或衣甲上提高物理防御力。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1003","商会用","1级月亮石","1","35004","1",,"80000",,"80000",,"1","20","20","1","1","155","1560","1.5","0.6","1"," <T t='效果：法术攻击 +6' c='FF845C33'/><B/><T t='镶嵌：武器、项链' c='FF845C33'/><B/><T t='蓝色的刚玉宝石，又称帝王石，能增加项链或衣服一定的内功防御。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1004","商会用","1级孔雀石","1","35005","1",,"80000",,"80000",,"1","20","20","1","1","155","1560","1.5","0.6","1"," <T t='效果：法术防御 +8' c='FF845C33'/><B/><T t='镶嵌：衣甲、项链' c='FF845C33'/><B/><T t='蓝色的月亮石，犹如月亮般明亮，镶嵌在武器或项链上提高法术攻击。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1005","商会用","1级猫眼石","1","35006","1",,"80000",,"80000",,"1","20","20","1","1","155","1560","1.5","0.6","1"," <T t='效果：速度 +8' c='FF845C33'/><B/><T t='镶嵌：腰带、鞋子' c='FF845C33'/><B/><T t='稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1006","商会用","1级茶晶石","1","35007","1",,"80000",,"80000",,"1","20","20","1","1","155","1560","1.5","0.6","1"," <T t='效果：治疗强度 +8' c='FF845C33'/><B/><T t='镶嵌：武器、衣甲' c='FF845C33'/><B/><T t='传自异域的神奇宝石，镶嵌在武器或衣甲上能提升治疗强度。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1007","商会用","1级红宝石","1","35008","1",,"80000",,"80000",,"1","20","20","1","1","155","1560","1.5","0.6","1"," <T t='效果：控制命中 +6' c='FF845C33'/><B/><T t='镶嵌：武器' c='FF845C33'/><B/><T t='神秘外域产出的红色宝石，镶嵌在武器上提升控制命中。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1008","商会用","1级蓝宝石","1","35009","1",,"80000",,"80000",,"1","20","20","1","1","155","1560","1.5","0.6","1"," <T t='效果：控制抗性 +4' c='FF845C33'/><B/><T t='镶嵌：腰带、鞋子' c='FF845C33'/><B/><T t='神秘外域产出的蓝色宝石，镶嵌在腰带或鞋上能提升控制抗性。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1009","商会用","2级血精石","1","35010","1",,"160000",,"160000",,"1","20","20","1","1","155","3120","1.5","0.6","1"," <T t='效果：生命 +80' c='FF845C33'/><B/><T t='镶嵌：衣甲、腰带' c='FF845C33'/><B/><T t='稀有而名贵的宝石，因像血液凝聚而成闻名，镶嵌在衣甲或腰带上提高生命。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1010","商会用","2级红曜石","1","35011","1",,"160000",,"160000",,"1","20","20","1","1","155","3120","1.5","0.6","1"," <T t='效果：物理攻击 +16' c='FF845C33'/><B/><T t='镶嵌：武器、头盔' c='FF845C33'/><B/><T t='世间最为锋利的宝石，镶嵌在武器或头上提高物理攻击力。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1011","商会用","2级石榴石","1","35012","1",,"160000",,"160000",,"1","20","20","1","1","155","3120","1.5","0.6","1"," <T t='效果：物理防御 +24' c='FF845C33'/><B/><T t='镶嵌：衣甲、头盔' c='FF845C33'/><B/><T t='传说是远古神龙的化石，质地坚硬，镶嵌在头上或衣甲上提高物理防御力。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1012","商会用","2级月亮石","1","35013","1",,"160000",,"160000",,"1","20","20","1","1","155","3120","1.5","0.6","1"," <T t='效果：法术攻击 +12' c='FF845C33'/><B/><T t='镶嵌：武器、项链' c='FF845C33'/><B/><T t='蓝色的月亮石，犹如月亮般明亮，镶嵌在武器或项链上提高法术攻击。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1013","商会用","2级孔雀石","1","35014","1",,"160000",,"160000",,"1","20","20","1","1","155","3120","1.5","0.6","1"," <T t='效果：法术防御 +16' c='FF845C33'/><B/><T t='镶嵌：衣甲、项链' c='FF845C33'/><B/><T t='可以静心凝神的神奇宝石，产自北方，镶嵌在衣甲或项链上提高法术防御。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
"1014","商会用","2级猫眼石","1","35015","1",,"160000",,"160000",,"1","20","20","1","1","155","3120","1.5","0.6","1"," <T t='效果：速度 +16' c='FF845C33'/><B/><T t='镶嵌：腰带、鞋子' c='FF845C33'/><B/><T t='稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。' c='FF845C33'/>"
