"寻找宠物类id","寻找宠物组","职业","等级段min","等级段max","回收宠物","物品数量","售卖NPC"
"1","1","11","15","29","500100@30;500103@30","1","160802"
"2","1","11","30","39","500103@30;500105@30","1","160802"
"3","1","11","40","49","500106@30;500109@30","1","160802"
"4","1","11","50","59","500111@30;500112@30","1","160802"
"5","1","11","60","69","500117@30;500121@30","1","160802"
"6","1","11","70","79","500124@30;500127@30","1","160802"
"7","1","11","80","89","500130@30;500133@30","1","160802"
"8","1","11","90","155","500136@30;500139@30","1","160802"
"9","1","12","15","29","500100@30;500103@30","1","160802"
"10","1","12","30","39","500103@30;500105@30","1","160802"
"11","1","12","40","49","500106@30;500109@30","1","160802"
"12","1","12","50","59","500111@30;500112@30","1","160802"
"13","1","12","60","69","500117@30;500121@30","1","160802"
"14","1","12","70","79","500124@30;500127@30","1","160802"
"15","1","12","80","89","500130@30;500133@30","1","160802"
"16","1","12","90","155","500136@30;500139@30","1","160802"
"17","1","13","15","29","500100@30;500103@30","1","160802"
"18","1","13","30","39","500103@30;500105@30","1","160802"
"19","1","13","40","49","500106@30;500109@30","1","160802"
"20","1","13","50","59","500111@30;500112@30","1","160802"
"21","1","13","60","69","500117@30;500121@30","1","160802"
"22","1","13","70","79","500124@30;500127@30","1","160802"
"23","1","13","80","89","500130@30;500133@30","1","160802"
"24","1","13","90","155","500136@30;500139@30","1","160802"
"25","1","14","15","29","500100@30;500103@30","1","160802"
"26","1","14","30","39","500103@30;500105@30","1","160802"
"27","1","14","40","49","500106@30;500109@30","1","160802"
"28","1","14","50","59","500111@30;500112@30","1","160802"
"29","1","14","60","69","500117@30;500121@30","1","160802"
"30","1","14","70","79","500124@30;500127@30","1","160802"
"31","1","14","80","89","500130@30;500133@30","1","160802"
"32","1","14","90","155","500136@30;500139@30","1","160802"
"33","1","15","15","29","500100@30;500103@30","1","160802"
"34","1","15","30","39","500103@30;500105@30","1","160802"
"35","1","15","40","49","500106@30;500109@30","1","160802"
"36","1","15","50","59","500111@30;500112@30","1","160802"
"37","1","15","60","69","500117@30;500121@30","1","160802"
"38","1","15","70","79","500124@30;500127@30","1","160802"
"39","1","15","80","89","500130@30;500133@30","1","160802"
"40","1","15","90","155","500136@30;500139@30","1","160802"
"41","1","16","15","29","500100@30;500103@30","1","160802"
"42","1","16","30","39","500103@30;500105@30","1","160802"
"43","1","16","40","49","500106@30;500109@30","1","160802"
"44","1","16","50","59","500111@30;500112@30","1","160802"
"45","1","16","60","69","500117@30;500121@30","1","160802"
"46","1","16","70","79","500124@30;500127@30","1","160802"
"47","1","16","80","89","500130@30;500133@30","1","160802"
"48","1","16","90","155","500136@30;500139@30","1","160802"
"49","1","17","15","29","500100@30;500103@30","1","160802"
"50","1","17","30","39","500103@30;500105@30","1","160802"
"51","1","17","40","49","500106@30;500109@30","1","160802"
"52","1","17","50","59","500111@30;500112@30","1","160802"
"53","1","17","60","69","500117@30;500121@30","1","160802"
"54","1","17","70","79","500124@30;500127@30","1","160802"
"55","1","17","80","89","500130@30;500133@30","1","160802"
"56","1","17","90","155","500136@30;500139@30","1","160802"
"57","1","18","15","29","500100@30;500103@30","1","160802"
"58","1","18","30","39","500103@30;500105@30","1","160802"
"59","1","18","40","49","500106@30;500109@30","1","160802"
"60","1","18","50","59","500111@30;500112@30","1","160802"
"61","1","18","60","69","500117@30;500121@30","1","160802"
"62","1","18","70","79","500124@30;500127@30","1","160802"
"63","1","18","80","89","500130@30;500133@30","1","160802"
"64","1","18","90","155","500136@30;500139@30","1","160802"
"65","1","19","15","29","500100@30;500103@30","1","160802"
"66","1","19","30","39","500103@30;500105@30","1","160802"
"67","1","19","40","49","500106@30;500109@30","1","160802"
"68","1","19","50","59","500111@30;500112@30","1","160802"
"69","1","19","60","69","500117@30;500121@30","1","160802"
"70","1","19","70","79","500124@30;500127@30","1","160802"
"71","1","19","80","89","500130@30;500133@30","1","160802"
"72","1","19","90","155","500136@30;500139@30","1","160802"
