"挑战类id","挑战组","职业","等级段min","等级段max","NPCid","战斗信息编号"
"1","1","0","15","30","161701@20","2465@20"
"2","1","0","31","40","161801@20","2466@20"
"3","1","0","41","50","161901@20","2467@20"
"4","1","0","51","60","162001@20","2468@20"
"5","1","0","61","70","162101@20","2469@20"
"6","1","0","71","80","162201@20","2470@20"
"7","1","0","81","90","162101@20","2469@20"
"8","1","0","91","155","162201@20","2470@20"
"9","2","0","0","155","199901@100","2310@100"
"10","3","0","0","155","199902@100","2311@100"
"11","4","0","0","155","199903@100","2312@100"
"12","5","0","0","155","199904@100","2310@100"
"13","6","0","0","155","199905@100","2311@100"
"15","10","0","40","155","161702@20","8000@20"
"16","10","0","40","155","161803@20","8001@20"
"17","10","0","40","155","161902@20","8002@20"
"18","10","0","40","155","162002@20","8003@20"
"19","10","0","40","155","162102@20","8004@20"
"20","10","0","40","155","162202@20","8005@20"
"21","11","0","0","155","180001@100","2567@100"
"22","12","0","0","155","180002@100","2568@100"
"23","13","0","0","155","180003@100","2569@100"
"24","14","0","0","155","180004@100","2570@100"
"25","15","0","0","155","180005@100","2571@100"
"26","16","0","0","155","180006@100","2572@100"
"27","17","0","0","155","180007@100","2573@100"
"28","18","0","0","155","180008@100","2574@100"
"29","19","0","0","155","180009@100","2575@100"
"30","20","0","0","155","180010@100","2576@100"
"31","21","0","0","155","180011@100","2577@100"
"32","22","0","40","155","160802@100","2809@100"
"33","22","0","40","155","160803@100","2810@100"
"34","22","0","40","155","160805@100","2811@100"
"35","22","0","40","155","160806@100","2812@100"
"36","22","0","40","155","160807@100","2813@100"
"37","22","0","40","155","160808@100","2814@100"
"38","22","0","40","155","160809@100","2815@100"
"39","23","0","30","50","210412@100","3102@100"
"40","24","0","50","70","210413@100","3103@100"
"41","25","0","70","99","210414@100","3104@100"
