"id","任务对话"
"1","<T t=""你来的正好，替为我送封信给""></T><T t=""$NPCName$""></T><T t=""，快去快回不要偷懒。""></T>"
"2","信我已收到，十分感谢。"
"3","兵器损耗太快了，去打造点兵器回来吧。"
"4","<T t=""我感应到""></T><T t=""$MapName$""></T><T t=""处元素汇集，你去那里制造一张符文吧。""></T>"
"5","<T t=""联盟最近""></T><T t=""$ItemName$""></T><T t=""消耗过大，你去""></T><T t=""$MapName$""></T><T t=""收集一些吧。""></T>"
"6","<T t=""最近总有些捣乱的家伙在""></T><T t=""$MapName$""></T><T t=""鬼鬼祟祟，你快去收拾了他们！""></T>"
"7","<T t=""去帮我找个""></T><T t=""$ItemName$""></T><T t=""来。""></T>"
"8","不错，就是这个，辛苦你了。"
"9","<T t=""去帮我找个""></T><T t=""$PetName$""></T><T t=""来。""></T>"
"10","<T t=""年轻的勇者去探索$NPCName$看看有什么收获，要记住机会只留给用准备的人！""></T>"
"11","那帮可恶的兄弟会贼匪，盗走了图书馆的考古宝图，找到他们抢回宝图，他们偷走的宝图就直接作为你的奖励了。"
"12","我让你去寻找的宝贝,你不会忘了吧"
"13","不错,看来你已经真正成长起来了"
"14","<T t=""我们的公会需要壮大，去寻找""></T><T t=""$NPCName$""></T><T t=""，寻求支持。""></T>"
"15","你的来意我已知道，你先去忙吧，我随后就到。"
"16","去宣读公告，宣扬公会章程，扩大公会影响。"
"17","去张贴告示，公示公会待遇，扩大公会影响。"
"18","文无第一，武无第二，所以你一定要充分展现自己！"
"19","<T t=""想要领取称谓？让我看看你的修炼成果。正好刚才有只""></T><T t=""$NPCName$""></T><T t=""不知道怎么发狂了，不知跑到哪里，快去把它带回来。""></T>"
"20","<T t=""你做的很好，现在授予你""></T><T t=""$NPCName$""></T><T t=""的称号。希望你勤加修炼，莫生懈怠之心。""></T>"
