"id","改变形象","触发隐藏剧情","改变战场地图","改变场景时的渐变特效","有无客户端动作","播放战场特效","播放音乐","动作类型","技能ID","调用伙伴几号槽里技能","技能等级系数","技能等级常数","逃跑几率","召唤","目标","场景AI是否指定主角","策划备注","说话信息","说话信息是否显示到聊天框","语音资源名","语音信息是否显示到聊天框","语音信息时长","提示框信息"
"52011","",,,,"","","0","2","110002","","1","0","","","94023","0","挫志怒吼",,,,,,
"52012","",,,,"","","0","2","110005","","1","0","","","94024","0","破甲",,,,,,
"52013","",,,,"","","0","2","110003","","1","0","","","94029","0","毁灭打击",,,,,,
"52021","",,,,"","","0","2","120003","","1","0","","","94023","0","复仇之盾",,,,,,
"52022","",,,,"","","0","2","120005","","1","0","","","94027","0","神谕责难",,,,,,
"52023","",,,,"","","0","2","120004","","1","0","","","94028","0","圣光洗礼",,,,,,
"52024","",,,,"","","0","2","120002","","1","0","","","94029","0","无边定罪",,,,,,
"52031","",,,,"","","0","2","130003","","1","0","","","94045","0","野性召唤",,,,,,
"52032","",,,,"","","0","2","130005","","1","0","","","94029","0","精准打击",,,,,,
"52033","",,,,"","","0","2","130004","","1","0","","","94031","0","生命献祭",,,,,,
"52041","",,,,"","","0","2","140005","","1","0","","","","0","自然之眼",,,,,,
"52042","",,,,"","","0","2","140002","","1","0","","","","0","绿之潮",,,,,,
"52043","",,,,"","","0","2","140003","","1","0","","","94033","0","黄昏花蕾",,,,,,
"52051","",,,,"","","0","2","150003","","1","0","","","94035","0","变形术",,,,,,
"52052","",,,,"","","0","2","150005","","1","0","","","94036","0","冰霜血脉",,,,,,
"52061","",,,,"","","0","2","160004","","1","0","","","","0","心灵之火",,,,,,
"52062","",,,,"","","0","2","160003","","1","0","","","94039","0","复生",,,,,,
"52063","",,,,"","","0","2","160002","","1","0","","","94038","0","治疗祷言",,,,,,
"52064","",,,,"","","0","2","160005","","1","0","","","94041","0","神圣救赎",,,,,,
"52071","",,,,"","","0","2","161004","","1","0","","","94039","0","先祖之魂",,,,,,
"52081","",,,,"","","0","2","162005","","1","0","","","94035","0","闷棍",,,,,,
"52082","",,,,"","","0","2","162003","","1","0","","","94029","0","剔骨",,,,,,
"52083","",,,,"","","0","2","162002","","1","0","","","94029","0","穿刺影袭",,,,,,
"52084","",,,,"","","0","2","162003","","1","0","","","","0","剔骨",,,,,,
"52091","",,,,"","","0","2","163002","","1","0","","","94035","0","沉默诅咒",,,,,,
"52092","",,,,"","","0","2","163005","","1","0","","","","0","虚弱诅咒",,,,,,
"52093","",,,,"","","0","2","163003","","1","0","","","","0","生命虹吸",,,,,,
"53001","0","","0","1","true","","0","2","","1@1","1","0","","","","0","伙伴所有职业的群攻",,,,,,
"53101","0","","0","1","true","","0","1","","","1","0","","","","0","普攻操作",,,,,,
"53102","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53103","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53104","0","","0","1","true","","0","2","","2@1","1","0","","","94023","0","挫志怒吼","","",,,,
"53105","0","","0","1","true","","0","2","","5@1","1","0","","","94024","0","破甲",,,,,,
"53106","0","","0","1","true","","0","2","","3@1","1","0","","","94029","0","毁灭打击",,,,,,
"53107","0","","0","1","true","","0","2","","3@1","1","0","","","","0","毁灭打击",,,,,,
"53108","0","","0","1","true","","0","2","","3@1","1","0","","","","0","毁灭打击",,,,,,
"53109","0","","0","1","true","","0","2","","3@1","1","0","","","","0","毁灭打击",,,,,,
"53110","0","","0","1","true","","0","2","","4@0.5;1@0.5","1","0","","","","0","蓄力猛击|0.5 幻影冲锋|0.5",,,,,,
"53111","0","","0","1","true","","0","1","","","1","0","","","","0","普攻操作",,,,,,
"53112","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53113","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53114","0","","0","1","true","","0","2","","2@1","1","0","","","94023","0","挫志怒吼",,,,,,
"53115","0","","0","1","true","","0","2","","5@1","1","0","","","94024","0","破甲",,,,,,
"53116","0","","0","1","true","","0","2","","3@1","1","0","","","94029","0","毁灭打击",,,,,,
"53117","0","","0","1","true","","0","2","","1@0.5;3@0.5","1","0","","","","0","幻影冲锋|0.5 毁灭打击|0.5",,,,,,
"53118","0","","0","1","true","","0","2","","1@0.5;3@0.5","1","0","","","","0","幻影冲锋|0.5 毁灭打击|0.5",,,,,,
"53119","0","","0","1","true","","0","2","","3@1","1","0","","","","0","毁灭打击",,,,,,
"53120","0","","0","1","true","","0","2","","4@0.5;1@0.5","1","0","","","","0","蓄力猛击3|0.5 幻影冲锋|0.5",,,,,,
"53201","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53202","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53203","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53204","0","","0","1","true","","0","2","","3@1","1","0","","","94023","0","复仇之盾",,,,,,
"53205","0","","0","1","true","","0","2","","5@1","1","0","","","94027","0","神谕责难",,,,,,
"53206","0","","0","1","true","","0","2","","4@1","1","0","","","94028","0","圣光洗礼",,,,,,
"53207","0","","0","1","true","","0","2","","2@1","1","0","","","94029","0","无边定罪",,,,,,
"53208","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53209","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53210","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53211","0","","0","1","true","","0","2","","3@1","1","0","","","94023","0","复仇之盾",,,,,,
"53212","0","","0","1","true","","0","2","","5@1","1","0","","","94027","0","神谕责难",,,,,,
"53213","0","","0","1","true","","0","2","","2@1","1","0","","","94029","0","无边定罪",,,,,,
"53214","0","","0","1","true","","0","2","","4@1","1","0","","","94028","0","圣光洗礼",,,,,,
"53301","0","","0","1","true","","0","1","","","1","0","","","","0","普攻操作",,,,,,
"53302","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53303","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53304","0","","0","1","true","","0","2","","1@1","1","0","","","","0","多重打击",,,,,,
"53305","0","","0","1","true","","0","2","","5@1","1","0","","","94029","0","精准打击",,,,,,
"53306","0","","0","1","true","","0","2","","1@1","1","0","","","","0","多重打击",,,,,,
"53307","0","","0","1","true","","0","2","","5@1","1","0","","","","0","精准打击",,,,,,
"53308","0","","0","1","true","","0","2","","4@1","1","0","","","94045","0","生命献祭",,,,,,
"53309","0","","0","1","true","","0","1","","","1","0","","","","0","普攻操作",,,,,,
"53310","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53311","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53312","0","","0","1","true","","0","2","","1@1","1","0","","","","0","多重打击",,,,,,
"53313","0","","0","1","true","","0","2","","5@1","1","0","","","94029","0","精准打击",,,,,,
"53314","0","","0","1","true","","0","2","","5@1","1","0","","","","0","精准打击",,,,,,
"53315","0","","0","1","true","","0","2","","5@1","1","0","","","","0","精准打击",,,,,,
"53316","0","","0","1","true","","0","2","","4@1","1","0","","","94045","0","生命献祭",,,,,,
"53401","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53402","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53403","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53404","0","","0","1","true","","0","2","","5@1","1","0","","","","0","自然之眼",,,,,,
"53405","0","","0","1","true","","0","2","","3@1","1","0","","","94033","0","黄昏花蕾",,,,,,
"53406","0","","0","1","true","","0","2","","2@1","1","0","","","","0","绿之潮",,,,,,
"53407","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53408","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53409","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53410","0","","0","1","true","","0","2","","5@1","1","0","","","","0","自然之眼",,,,,,
