"ID","策划用列","战斗AI类型","底图","背景音乐","战斗等级","战场环境","战场AI","奖励ID","战斗胜利判定","助战","怪物数量","站位配置ID","点1","点2","点3","点4","点5","点6","点7","点8","点9","点10","点11","点12","点13","点14","点15","点16","点17","点18","点19","点20","点21","点22","点23","点24","点25","点26","点27","点28","死亡提醒显示"
"8401","战士","3","100","3","","0","20064","0","2","0","6","15","0","29400@100","29403@100","29401@100","29402@100","0","0","0","0","0","0","0","0","0","0","0","0","29415@100","29416@100","29414@100","0","0","29417@100","29418@100","29404@100","0","0","0","1"
"8402","圣骑","3","100","3","","0","20064","0","2","0","6","15","0","29400@100","29403@100","29401@100","29402@100","0","0","0","0","0","0","0","0","0","0","0","0","29415@100","29416@100","29414@100","0","0","29417@100","29418@100","29406@100","0","0","0","1"
"8403","猎人","3","100","3","","0","20064","0","2","0","6","15","0","29400@100","29403@100","29401@100","29402@100","0","0","0","0","0","0","0","0","0","0","0","0","29415@100","29416@100","29414@100","0","0","29417@100","29418@100","29407@100","0","0","0","1"
"8404","德鲁伊","3","100","3","","0","20064","0","2","0","6","15","0","29400@100","29403@100","29401@100","29402@100","0","0","0","0","0","0","0","0","0","0","0","0","29415@100","29416@100","29414@100","0","0","29417@100","29418@100","29408@100","0","0","0","1"
"8405","法师","3","100","3","","0","20064","0","2","0","6","15","0","29400@100","29403@100","29401@100","29402@100","0","0","0","0","0","0","0","0","0","0","0","0","29415@100","29416@100","29414@100","0","0","29417@100","29418@100","29409@100","0","0","0","1"
"8406","牧师","3","100","3","","0","20064","0","2","0","6","15","0","29400@100","29403@100","29401@100","29402@100","0","0","0","0","0","0","0","0","0","0","0","0","29415@100","29416@100","29414@100","0","0","29417@100","29418@100","29410@100","0","0","0","1"
"8407","盗贼","3","100","3","","0","20064","0","2","0","6","15","0","29400@100","29403@100","29401@100","29402@100","0","0","0","0","0","0","0","0","0","0","0","0","29415@100","29416@100","29414@100","0","0","29417@100","29418@100","29411@100","0","0","0","1"
"8408","萨满","3","100","3","","0","20064","0","2","0","6","15","0","29400@100","29403@100","29401@100","29402@100","0","0","0","0","0","0","0","0","0","0","0","0","29415@100","29416@100","29414@100","0","0","29417@100","29418@100","29412@100","0","0","0","1"
"8409","术士","3","100","3","","0","20064","0","2","0","6","15","0","29400@100","29403@100","29401@100","29402@100","0","0","0","0","0","0","0","0","0","0","0","0","29415@100","29416@100","29414@100","0","0","29417@100","29418@100","29413@100","0","0","0","1"
"8500","","3","100","3","","0","","0","3","0","0*TeamNum+4","7","0","29501@100","0","0","0","0","0","0","0","0","0","0","0","0","29500@100","29500@100","29502@100","0","0","0","0","0","0","0","0","0","0","0","1"
"8501","","3","100","3","","0","","0","3","0","0*TeamNum+4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29505@100","29503@100","29503@100","0","0","0","0","0","0","0","0","0","0","0","1"
"8502","","3","100","3","","0","16001","0","3","0","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29506@100","29504@100","29507@100","0","0","0","0","0","0","0","0","0","0","0","1"
"8503","","3","100","3","","0","16060","0","3","0","3","7","0","29510@100","29511@100","0","0","0","0","0","0","0","0","0","0","0","29512@100","29513@100","29513@100","29513@100","29513@100","29513@100","29513@100","0","0","0","0","0","0","0","1"
"8504","","3","100","3","","0","16024","0","3","0","5","7","0","29520@100","29521@100","29525@100","0","0","0","0","0","0","0","0","0","0","29522@100","29523@100","29524@100","0","0","0","0","0","0","0","0","0","0","0","1"
"8505","","3","100","3","","0","20014","0","2","0","5","7","0","29530@100","29531@100","0","0","0","0","0","0","0","29533@100","0","0","0","29532@100","29534@100","29534@100","29534@100","29534@100","0","0","0","0","0","0","0","0","0","0"
"8506","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29540@100","29541@100","29541@100","29541@100","29541@100","0","0","0","0","0","0","0","0","0","1"
"8507","","3","100","3","","0","16039","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29554@100","29555@100","29555@100","29555@100","29555@100","0","0","0","0","0","0","0","0","0","1"
"8508","","3","100","3","","0","16048","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29565@100","29564@100","29567@100","29567@100","29567@100","0","0","0","0","0","0","0","0","0","1"
"8509","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29570@100","29571@100","29571@100","29571@100","29571@100","0","0","0","0","0","0","0","0","0","1"
"8510","","3","100","3","","0","","0","3","0","5","7","0","29581@100","29582@100","0","0","0","0","0","0","0","0","0","0","0","29580@100","29583@100","29583@100","0","0","0","0","0","0","0","0","0","0","0","1"
"8511","","3","100","3","","0","16073","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29604@100","29605@100","29606@100","29602@100","29603@100","0","0","0","0","0","0","0","0","0","1"
"8512","","3","100","3","","0","","0","3","4","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29611@100","29612@100","0","0","29610@100","0","0","0","0","29613@100","29614@100","29615@100","0","1"
"8513","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29620@100","29621@100","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8514","","3","100","3","","0","16083","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","29630@100","0","0","0","29631@100","29632@100","29632@100","29632@100","29632@100","0","0","0","0","0","0","0","0","0","1"
"8515","","3","100","3","","0","16087","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","29640@100","0","29641@100","29642@100","29642@100","29642@100","29642@100","0","0","0","0","0","0","0","0","0","1"
"8516","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29650@100","29650@100","29650@100","29651@100","29651@100","0","0","0","0","0","0","0","0","0","1"
"8517","","3","100","3","","0","16089","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29660@100","29661@100","29661@100","29661@100","29661@100","0","0","0","0","0","0","0","0","0","1"
"8518","","3","100","3","","0","16092","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29670@100","29671@100","29671@100","29671@100","29671@100","0","0","0","0","0","0","0","0","0","1"
"8519","","3","100","3","","0","","0","3","4","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29810@100","29811@100","0","0","0","0","0","0","0","0","0","0","0","1"
"8520","","3","100","3","","0","20028","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29680@100","29681@100","29681@100","29681@100","29681@100","0","0","0","0","0","0","0","0","0","1"
"8521","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29691@100","29691@100","29691@100","29691@100","0","0","0","0","0","29690@100","0","0","0","1"
"8522","","3","100","3","","0","20029","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29700@100","29701@100","29701@100","29701@100","29701@100","0","0","0","0","0","0","0","0","0","1"
"8523","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29706@100","29706@100","29706@100","29705@100","29705@100","0","0","0","0","0","0","0","0","0","1"
"8524","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29710@100","29710@100","29710@100","29711@100","29711@100","0","0","0","0","0","0","0","0","0","1"
"8525","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","29720@100","29721@100","0","29722@100","29723@100","29723@100","29723@100","29723@100","0","0","0","0","0","0","0","0","0","1"
"8526","","3","100","3","","0","20031","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29730@100","29731@100","29731@100","29731@100","29731@100","0","0","0","0","0","0","0","0","0","1"
"8527","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29740@100","29741@100","29742@100","0","0","0","0","0","0","0","0","0","0","0","1"
"8528","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29750@100","29750@100","29750@100","29750@100","29750@100","0","0","0","0","0","0","0","0","0","1"
"8529","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29760@100","29760@100","29760@100","29760@100","29760@100","0","0","0","0","0","0","0","0","0","1"
"8530","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","29771@100","29772@100","0","29770@100","29774@100","29774@100","29774@100","29774@100","0","0","0","0","0","0","0","0","0","1"
"8531","","3","100","3","","0","","0","3","4","7","7","0","0","0","0","0","0","0","0","0","0","0","29780@100","0","0","29782@100","29782@100","29782@100","29781@100","29781@100","0","0","0","0","0","0","29783@100","29783@100","0","1"
"8532","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29790@100","29791@100","29791@100","29791@100","29791@100","0","0","0","0","0","0","0","0","0","1"
"8533","","3","100","3","","0","","0","3","4","5","7","0","0","0","0","0","0","0","0","0","0","0","29800@100","0","0","29801@100","29801@100","29801@100","29801@100","29801@100","0","0","0","0","0","0","0","0","0","1"
"8540","","3","100","3","","0","16130","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29932@100","29930@100","29931@100","0","0","0","0","0","0","0","0","0","0","0","1"
"8541","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","29825@100","0","0","29820@100","29821@100","29822@100","29823@100","29824@100","0","0","0","0","0","0","0","0","0","1"
"8542","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29831@100","29830@100","29830@100","29830@100","29830@100","29832@100","29832@100","29832@100","29832@100","29832@100","0","0","0","0","1"
