"id","溅射1","溅射2","溅射3","溅射4","溅射5","溅射6","溅射7","溅射8","图腾有效站位1","图腾有效站位2","图腾有效站位3","图腾有效站位4","图腾有效站位5","图腾有效站位6","图腾有效站位7","图腾有效站位8"
"1","2","3","6","11",,,,,"2","3","6","7","8","11","12","13"
"2","1","4","7","12",,,,,"1","4","6","7","9","11","12",
"3","1","5","8","13",,,,,"1","5","6","8","10","11","13",
"4","2","9",,,,,,,"2","7","9","12",,,,
"5","3","10",,,,,,,"3","8","10","13",,,,
"6","1","7","8",,,,,,,,,,,,,
"7","2","6","9",,,,,,,,,,,,,
"8","3","6","10",,,,,,,,,,,,,
"9","4","7",,,,,,,,,,,,,,
"10","8","5",,,,,,,,,,,,,,
"11","1","11","12","13",,,,,"1","2","3","12","13","14",,
"12","2","11",,,,,,,"1","2","4","11","14",,,
"13","3","11",,,,,,,"1","3","5","11","14",,,
"14","11",,,,,,,,"11","12","13",,,,,
"15","16","17","20","25",,,,,"16","17","20","21","22","25","26","27"
"16","15","18","21","26",,,,,"15","18","20","21","23","25","26",
"17","15","19","22","27",,,,,"15","19","20","22","24","25","27",
"18","16","23",,,,,,,"16","21","23","26",,,,
"19","17","24",,,,,,,"17","22","24","27",,,,
"20","15","21","22",,,,,,,,,,,,,
"21","16","20","23",,,,,,,,,,,,,
"22","17","20","24",,,,,,,,,,,,,
"23","18","21",,,,,,,,,,,,,,
"24","22","19",,,,,,,,,,,,,,
"25","15","25","26","27",,,,,"15","16","17","26","27","28",,
"26","16","25",,,,,,,"15","16","18","25","28",,,
"27","17","25",,,,,,,"15","17","19","25","28",,,
"28","25",,,,,,,,"25","26","27",,,,,
