"装备ID","装备分类","等级","制造图纸ID","制造图纸数量","千年寒铁ID","千年寒铁数量","材料铁1","材料铁数量1","材料铁2","材料铁数量2","材料铁3","材料铁数量3","材料铁4","材料铁数量4","材料铁5","材料铁数量5","材料铁6","材料铁数量6","材料铁7","材料铁数量7","材料铁8","材料铁数量8","材料铁9","材料铁数量9","材料铁10","材料铁数量10","材料铁11","材料铁数量11","材料铁12","材料铁数量12","材料铁13","材料铁数量13","材料铁14","材料铁数量14","材料铁15","材料铁数量15","制造符ID","制造符数量","制造符1","制造符数量1","制造符2","制造符数量2","制造符3","制造符数量3","制造符4","制造符数量4","制造符5","制造符数量5","制造符6","制造符数量6","制造符7","制造符数量7","制造符8","制造符数量8","制造符9","制造符数量9","制造符10","制造符数量10","制造符11","制造符数量11","制造符12","制造符数量12","制造符13","制造符数量13","制造符14","制造符数量14","制造符15","制造符数量15","强化材料ID","强化材料数量","打造金钱消耗","打造消耗金钱类型","强化打造产出装备ID","普通打造装备ID1","普通打造装备概率1","普通打造装备ID2","普通打造装备概率2","普通打造装备ID3","普通打造装备概率3","普通打造装备ID4","普通打造装备概率4","普通打造装备ID5","普通打造装备概率5","强化打造装备ID1","强化打造装备概率1","强化打造装备ID2","强化打造装备概率2","强化打造装备ID3","强化打造装备概率3","强化打造装备ID4","强化打造装备概率4","强化打造装备ID5","强化打造装备概率5"
"40100","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40100",,,,,,,,,,,,,,,,,,,,
"40101","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40101",,,,,,,,,,,,,,,,,,,,
"40102","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40102",,,,,,,,,,,,,,,,,,,,
"40103","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40103",,,,,,,,,,,,,,,,,,,,
"40104","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40104",,,,,,,,,,,,,,,,,,,,
"40105","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40105",,,,,,,,,,,,,,,,,,,,
"40106","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40106",,,,,,,,,,,,,,,,,,,,
"40107","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40107",,,,,,,,,,,,,,,,,,,,
"40108","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40108",,,,,,,,,,,,,,,,,,,,
"40116","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40116",,,,,,,,,,,,,,,,,,,,
