"装备属性编号","属性1ID","属性1名称","属性2ID","属性2名称","属性3ID","属性3名称","属性1波动段1min","属性1波动段1max","属性1波动段2min","属性1波动段2max","属性1波动段3min","属性1波动段3max","属性1波动段4min","属性1波动段4max","属性1波动段5min","属性1波动段5max","属性1波动段1权重","属性1波动段2权重","属性1波动段3权重","属性1波动段4权重","属性1波动段5权重","属性2波动段1min","属性2波动段1max","属性2波动段2min","属性2波动段2max","属性2波动段3min","属性2波动段3max","属性2波动段4min","属性2波动段4max","属性2波动段5min","属性2波动段5max","属性2波动段1权重","属性2波动段2权重","属性2波动段3权重","属性2波动段4权重","属性2波动段5权重","属性3波动段1min","属性3波动段1max","属性3波动段2min","属性3波动段2max","属性3波动段3min","属性3波动段3max","属性3波动段4min","属性3波动段4max","属性3波动段5min","属性3波动段5max","属性3波动段1权重","属性3波动段2权重","属性3波动段3权重","属性3波动段4权重","属性3波动段5权重"
"100000","131","phyattack_value","151","magicattack_value","141","defend_value","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","3000","2500","2000","1500","1000","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","3000","2500","2000","1500","1000","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","3000","2500","2000","1500","1000"
"100001","161","magicdef_value","141","defend_value","60","maxhp_value","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","3000","2500","2000","1500","1000","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","3000","2500","2000","1500","1000","90000","90000","90000","90000","90000","90000","90000","90000","90000","90000","3000","2500","2000","1500","1000"
"100002","201","speed_value","","","","","9000","9000","9000","9000","9000","9000","9000","9000","9000","9000","3000","2500","2000","1500","1000",,,,,,,,,,,"3000","2500","2000","1500","1000",,,,,,,,,,,"3000","2500","2000","1500","1000"
"4001101","130","phyattack_value","150","magicattack_value","170","medical_value","6","6","6","6","6","6","6","6","6","6","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","2","2","2","2","2","2","2","2","2","2","4546","2909","1636","727","182"
"4001102","130","phyattack_value","150","magicattack_value","170","medical_value","6","6","6","6","6","6","6","6","6","6","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","2","2","2","2","2","2","2","2","2","2","4546","2909","1636","727","182"
"4001103","130","phyattack_value","150","magicattack_value","170","medical_value","6","6","6","6","6","6","6","6","6","6","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","2","2","2","2","2","2","2","2","2","2","4546","2909","1636","727","182"
"4001104","130","phyattack_value","150","magicattack_value","170","medical_value","6","6","6","6","6","6","6","6","6","6","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","2","2","2","2","2","2","2","2","2","2","4546","2909","1636","727","182"
"4001105","130","phyattack_value","150","magicattack_value","170","medical_value","6","6","6","6","6","6","6","6","6","6","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","2","2","2","2","2","2","2","2","2","2","4546","2909","1636","727","182"
"4001106","130","phyattack_value","150","magicattack_value","170","medical_value","6","6","6","6","6","6","6","6","6","6","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","2","2","2","2","2","2","2","2","2","2","4546","2909","1636","727","182"
"4001207","60","maxhp_value","140","defend_value","","","5","5","5","5","5","5","5","5","5","5","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4001208","60","maxhp_value","140","defend_value","","","5","5","5","5","5","5","5","5","5","5","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4001309","90","maxmp_value","140","defend_value","","","6","6","6","6","6","6","6","6","6","6","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4001310","90","maxmp_value","140","defend_value","","","6","6","6","6","6","6","6","6","6","6","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4001411","150","magicattack_value","160","magicdef_value","","","2","2","2","2","2","2","2","2","2","2","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4001512","60","maxhp_value","140","defend_value","","","7","7","7","7","7","7","7","7","7","7","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4001613","160","magicdef_value","200","speed_value","","","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","1","1","1","1","1","1","1","1","1","1","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4010101","130","phyattack_value","150","magicattack_value","170","medical_value","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","13","13","13","13","13","13","13","13","13","13","4546","2909","1636","727","182","15","15","15","15","15","15","15","15","15","15","4546","2909","1636","727","182"
"4010102","130","phyattack_value","150","magicattack_value","170","medical_value","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","13","13","13","13","13","13","13","13","13","13","4546","2909","1636","727","182","15","15","15","15","15","15","15","15","15","15","4546","2909","1636","727","182"
"4010103","130","phyattack_value","150","magicattack_value","170","medical_value","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","13","13","13","13","13","13","13","13","13","13","4546","2909","1636","727","182","15","15","15","15","15","15","15","15","15","15","4546","2909","1636","727","182"
"4010104","130","phyattack_value","150","magicattack_value","170","medical_value","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","13","13","13","13","13","13","13","13","13","13","4546","2909","1636","727","182","15","15","15","15","15","15","15","15","15","15","4546","2909","1636","727","182"
"4010105","130","phyattack_value","150","magicattack_value","170","medical_value","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","13","13","13","13","13","13","13","13","13","13","4546","2909","1636","727","182","15","15","15","15","15","15","15","15","15","15","4546","2909","1636","727","182"
"4010106","130","phyattack_value","150","magicattack_value","170","medical_value","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","13","13","13","13","13","13","13","13","13","13","4546","2909","1636","727","182","15","15","15","15","15","15","15","15","15","15","4546","2909","1636","727","182"
"4010207","60","maxhp_value","140","defend_value","","","46","46","46","46","46","46","46","46","46","46","4546","2909","1636","727","182","14","14","14","14","14","14","14","14","14","14","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4010208","60","maxhp_value","140","defend_value","","","46","46","46","46","46","46","46","46","46","46","4546","2909","1636","727","182","14","14","14","14","14","14","14","14","14","14","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4010309","90","maxmp_value","140","defend_value","","","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","9","9","9","9","9","9","9","9","9","9","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4010310","90","maxmp_value","140","defend_value","","","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","9","9","9","9","9","9","9","9","9","9","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4010411","150","magicattack_value","160","magicdef_value","","","16","16","16","16","16","16","16","16","16","16","4546","2909","1636","727","182","8","8","8","8","8","8","8","8","8","8","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4010512","60","maxhp_value","140","defend_value","","","69","69","69","69","69","69","69","69","69","69","4546","2909","1636","727","182","6","6","6","6","6","6","6","6","6","6","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4010613","160","magicdef_value","200","speed_value","","","8","8","8","8","8","8","8","8","8","8","4546","2909","1636","727","182","7","7","7","7","7","7","7","7","7","7","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4020101","130","phyattack_value","150","magicattack_value","170","medical_value","115","115","115","115","115","115","115","115","115","115","4546","2909","1636","727","182","26","26","26","26","26","26","26","26","26","26","4546","2909","1636","727","182","30","30","30","30","30","30","30","30","30","30","4546","2909","1636","727","182"
"4020102","130","phyattack_value","150","magicattack_value","170","medical_value","115","115","115","115","115","115","115","115","115","115","4546","2909","1636","727","182","26","26","26","26","26","26","26","26","26","26","4546","2909","1636","727","182","30","30","30","30","30","30","30","30","30","30","4546","2909","1636","727","182"
"4020103","130","phyattack_value","150","magicattack_value","170","medical_value","115","115","115","115","115","115","115","115","115","115","4546","2909","1636","727","182","26","26","26","26","26","26","26","26","26","26","4546","2909","1636","727","182","30","30","30","30","30","30","30","30","30","30","4546","2909","1636","727","182"
