"附加属性id","名称","颜色","属性id","属性名称","区间","buffid","技能id"
"1","体质+&","FF00b1ff","10","cons_value","1;1","0","0"
"2","智力+&","FF00b1ff","20","iq_value","1;2","0","0"
"3","力量+&","FF00b1ff","30","str_value","1;3","0","0"
"4","耐力+&","FF00b1ff","40","endu_value","1;4","0","0"
"5","敏捷+&","FF00b1ff","50","agi_value","1;5","0","0"
"6","体质+&","FF00b1ff","10","cons_value","2;3","0","0"
"7","智力+&","FF00b1ff","20","iq_value","2;4","0","0"
"8","力量+&","FF00b1ff","30","str_value","2;5","0","0"
"9","耐力+&","FF00b1ff","40","endu_value","2;6","0","0"
"10","敏捷+&","FF00b1ff","50","agi_value","2;7","0","0"
"11","体质+&","FF00b1ff","10","cons_value","3;4","0","0"
"12","智力+&","FF00b1ff","20","iq_value","3;5","0","0"
"13","力量+&","FF00b1ff","30","str_value","3;6","0","0"
"14","耐力+&","FF00b1ff","40","endu_value","3;7","0","0"
"15","敏捷+&","FF00b1ff","50","agi_value","3;8","0","0"
"16","体质+&","FF00b1ff","10","cons_value","4;5","0","0"
"17","智力+&","FF00b1ff","20","iq_value","4;6","0","0"
"18","力量+&","FF00b1ff","30","str_value","4;7","0","0"
"19","耐力+&","FF00b1ff","40","endu_value","4;8","0","0"
"20","敏捷+&","FF00b1ff","50","agi_value","4;9","0","0"
"21","体质+&","FF00b1ff","10","cons_value","5;6","0","0"
"22","智力+&","FF00b1ff","20","iq_value","5;7","0","0"
"23","力量+&","FF00b1ff","30","str_value","5;8","0","0"
"24","耐力+&","FF00b1ff","40","endu_value","5;9","0","0"
"25","敏捷+&","FF00b1ff","50","agi_value","5;10","0","0"
"26","体质+&","FF00b1ff","10","cons_value","6;8","0","0"
"27","智力+&","FF00b1ff","20","iq_value","6;9","0","0"
"28","力量+&","FF00b1ff","30","str_value","6;10","0","0"
"29","耐力+&","FF00b1ff","40","endu_value","6;11","0","0"
"30","敏捷+&","FF00b1ff","50","agi_value","6;12","0","0"
"31","体质+&","FF00b1ff","10","cons_value","7;9","0","0"
"32","智力+&","FF00b1ff","20","iq_value","7;10","0","0"
"33","力量+&","FF00b1ff","30","str_value","7;11","0","0"
"34","耐力+&","FF00b1ff","40","endu_value","7;12","0","0"
"35","敏捷+&","FF00b1ff","50","agi_value","7;13","0","0"
"36","体质+&","FF00b1ff","10","cons_value","8;10","0","0"
"37","智力+&","FF00b1ff","20","iq_value","8;10","0","0"
"38","力量+&","FF00b1ff","30","str_value","8;10","0","0"
"39","耐力+&","FF00b1ff","40","endu_value","8;10","0","0"
"40","敏捷+&","FF00b1ff","50","agi_value","8;10","0","0"
"41","体质+&","FF00b1ff","10","cons_value","8;11","0","0"
"42","智力+&","FF00b1ff","20","iq_value","8;11","0","0"
"43","力量+&","FF00b1ff","30","str_value","8;11","0","0"
"44","耐力+&","FF00b1ff","40","endu_value","8;11","0","0"
"45","敏捷+&","FF00b1ff","50","agi_value","8;11","0","0"
"46","体质+&","FF00b1ff","10","cons_value","9;13","0","0"
"47","智力+&","FF00b1ff","20","iq_value","9;14","0","0"
"48","力量+&","FF00b1ff","30","str_value","9;15","0","0"
"49","耐力+&","FF00b1ff","40","endu_value","9;16","0","0"
"50","敏捷+&","FF00b1ff","50","agi_value","9;17","0","0"
"51","体质+&","FF00b1ff","10","cons_value","10;14","0","0"
"52","智力+&","FF00b1ff","20","iq_value","10;15","0","0"
"53","力量+&","FF00b1ff","30","str_value","10;16","0","0"
"54","耐力+&","FF00b1ff","40","endu_value","10;17","0","0"
"55","敏捷+&","FF00b1ff","50","agi_value","10;18","0","0"
"56","体质+&","FF00b1ff","10","cons_value","11;15","0","0"
"57","智力+&","FF00b1ff","20","iq_value","11;16","0","0"
"58","力量+&","FF00b1ff","30","str_value","11;17","0","0"
"59","耐力+&","FF00b1ff","40","endu_value","11;18","0","0"
"60","敏捷+&","FF00b1ff","50","agi_value","11;19","0","0"
"61","体质+&","FF00b1ff","10","cons_value","12;16","0","0"
"62","智力+&","FF00b1ff","20","iq_value","12;17","0","0"
"63","力量+&","FF00b1ff","30","str_value","12;18","0","0"
"64","耐力+&","FF00b1ff","40","endu_value","12;19","0","0"
"65","敏捷+&","FF00b1ff","50","agi_value","12;20","0","0"
"66","体质+&","FF00b1ff","10","cons_value","13;18","0","0"
"67","智力+&","FF00b1ff","20","iq_value","13;19","0","0"
"68","力量+&","FF00b1ff","30","str_value","13;20","0","0"
"69","耐力+&","FF00b1ff","40","endu_value","13;21","0","0"
"70","敏捷+&","FF00b1ff","50","agi_value","13;22","0","0"
"71","体质+&","FF00b1ff","10","cons_value","14;19","0","0"
"72","智力+&","FF00b1ff","20","iq_value","14;20","0","0"
"73","力量+&","FF00b1ff","30","str_value","14;21","0","0"
"74","耐力+&","FF00b1ff","40","endu_value","14;22","0","0"
"75","敏捷+&","FF00b1ff","50","agi_value","14;23","0","0"
"76","体质+&","FF00b1ff","10","cons_value","1;2","0","0"
"77","智力+&","FF00b1ff","20","iq_value","1;3","0","0"
"78","力量+&","FF00b1ff","30","str_value","1;4","0","0"
"79","耐力+&","FF00b1ff","40","endu_value","1;5","0","0"
"80","敏捷+&","FF00b1ff","50","agi_value","1;6","0","0"
"81","体质+&","FF00b1ff","10","cons_value","3;4","0","0"
"82","智力+&","FF00b1ff","20","iq_value","3;5","0","0"
"83","力量+&","FF00b1ff","30","str_value","3;6","0","0"
"84","耐力+&","FF00b1ff","40","endu_value","3;7","0","0"
"85","敏捷+&","FF00b1ff","50","agi_value","3;8","0","0"
"86","体质+&","FF00b1ff","10","cons_value","4;6","0","0"
"87","智力+&","FF00b1ff","20","iq_value","4;7","0","0"
"88","力量+&","FF00b1ff","30","str_value","4;8","0","0"
"89","耐力+&","FF00b1ff","40","endu_value","4;9","0","0"
"90","敏捷+&","FF00b1ff","50","agi_value","4;10","0","0"
"91","体质+&","FF00b1ff","10","cons_value","6;8","0","0"
"92","智力+&","FF00b1ff","20","iq_value","6;9","0","0"
"93","力量+&","FF00b1ff","30","str_value","6;10","0","0"
"94","耐力+&","FF00b1ff","40","endu_value","6;11","0","0"
"95","敏捷+&","FF00b1ff","50","agi_value","6;12","0","0"
"96","体质+&","FF00b1ff","10","cons_value","7;9","0","0"
"97","智力+&","FF00b1ff","20","iq_value","7;10","0","0"
"98","力量+&","FF00b1ff","30","str_value","7;11","0","0"
"99","耐力+&","FF00b1ff","40","endu_value","7;12","0","0"
"100","敏捷+&","FF00b1ff","50","agi_value","7;13","0","0"
"101","体质+&","FF00b1ff","10","cons_value","8;11","0","0"
"102","智力+&","FF00b1ff","20","iq_value","8;12","0","0"
"103","力量+&","FF00b1ff","30","str_value","8;13","0","0"
"104","耐力+&","FF00b1ff","40","endu_value","8;14","0","0"
"105","敏捷+&","FF00b1ff","50","agi_value","8;15","0","0"
"106","体质+&","FF00b1ff","10","cons_value","10;13","0","0"
"107","智力+&","FF00b1ff","20","iq_value","10;14","0","0"
"108","力量+&","FF00b1ff","30","str_value","10;15","0","0"
"109","耐力+&","FF00b1ff","40","endu_value","10;16","0","0"
"110","敏捷+&","FF00b1ff","50","agi_value","10;17","0","0"
"111","体质+&","FF00b1ff","10","cons_value","11;15","0","0"
"112","智力+&","FF00b1ff","20","iq_value","11;16","0","0"
"113","力量+&","FF00b1ff","30","str_value","11;17","0","0"
"114","耐力+&","FF00b1ff","40","endu_value","11;18","0","0"
"115","敏捷+&","FF00b1ff","50","agi_value","11;19","0","0"
"116","体质+&","FF00b1ff","10","cons_value","13;17","0","0"
"117","智力+&","FF00b1ff","20","iq_value","13;18","0","0"
"118","力量+&","FF00b1ff","30","str_value","13;19","0","0"
