"ID","提示对话框类型","提示内容","备注"
"100001","1","你身上的空位不足，无法购买物品。",
"100003","1","你没有足够的银币，无法购买该物品。",
"100006","1","加锁装备不能出售。",
"100007","1","不能出售该类商品。",
"100041","1","你的宠物栏满了。",
"100065","1","等级不足，不能装备！",
"100066","1","性别不符，不能装备！",
"100068","1","角色不符，不能装备！",
"100091","2","徒儿，你攒的经验太多了，我都不好意思再给你任务了。",
"120025","1","你身上的银币不足。",
"120057","1","道具栏已满，物品进入临时包裹栏，请及时清理。",
"120058","5","你确定清空临时包裹栏中的物品吗？",
"120061","1","你不是队长，不能主动发起战斗！",
"120063","1","距离太远无法切磋",
"120067","3","<T t="" 对手玩家（队长）信息"" c=""ffffff00""></T><B></B><T t=""        等级："" c=""ffffff00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><B></B><T t=""        职业："" c=""ffffff00""></T><T t=""$parameter2$"" c=""ff00ff00""></T>",
"120068","1","<T t=""恭喜你战胜了""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""（""></T><T t=""$parameter2$"" c=""ff00ff00""></T><T t=""级""></T><T t=""$parameter3$"" c=""ffffff33""></T><T t=""）。""></T>",
"120069","1","<T t=""很遗憾，你没能战胜""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""（""></T><T t=""$parameter2$"" c=""ff00ff00""></T><T t=""级""></T><T t=""$parameter3$"" c=""ffffff33""></T><T t=""）。""></T>",
"120070","1","<T t=""恭喜你战胜了""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""（""></T><T t=""$parameter2$"" c=""ff00ff00""></T><T t=""级""></T><T t=""$parameter3$"" c=""ffffff33""></T><T t=""）的队伍！""></T>",
"120071","1","<T t=""你没能战胜""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""（""></T><T t=""$parameter2$"" c=""ff00ff00""></T><T t=""级""></T><T t=""$parameter3$"" c=""ffffff33""></T><T t=""）的队伍！""></T>",
"130011","1","你不是队长，不能进行考古或挖宝图。",
"131451","1","战斗中不能进行此操作。",
"140201","1","<T t=""你已被玩家""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""加为好友。""></T>",
"140202","1","<T t=""成功添加""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""为好友。""></T>",
"140203","1","对方拒绝陌生人消息，信息发送失败。",
"140213","1","你的好友列表已满！",
"140273","2","灵兽灵力强大，单枪匹马恐难胜任，还是组队前来吧！",
"140277","2","队伍要至少3人才行哦。",
"140296","7","<T t=""$parameter1$"" c=""ff00ff00""></T><T t=""已成功任命"" c=""FF693F00""></T><T t=""$parameter2$"" c=""ff00ff00""></T><T t=""为"" c=""FF693F00""></T><T t=""$parameter3$"" c=""ff00ff00""></T><T t=""。"" c=""FF693F00""></T>",
"140382","3","<T t=""你的好友""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""上线了。""></T>",
"140383","3","<T t=""你的好友""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""下线了。""></T>",
"140402","5","你确定将[colour='ffffff33']$parameter1$[colour='ffffffff']丢弃吗？",
"140403","1","名字只能输入2-7个中文字符或4-14个英文字符，含有非法字符或者为纯数字命名则不能创建。",
"140404","1","角色名字重复。",
"140406","1","<T t=""恭喜您升级了！"" c=""fffff2df""></T>",
"140417","1","<T t=""30"" c=""ff00ff00""></T><T t=""级以上才可学习生活技能。""></T>",
"140434","1","活动尚未开启，请耐心等待。",
"140439","1","<T t=""很遗憾你的答案不正确，获得了""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""点经验""></T>",
"140440","1","出错了",
"140471","1","密码输入错误，请重试。",
"140481","2","你身上没有野生宠物！",
"140497","1","请不要说话太快。",
"140498","1","你还没有队伍。",
"140500","1","<T t=""你还有""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""秒才能在世界频道发言。""></T>",
"140501","1","等级不足20级不能在世界频道发言。",
"140534","1","对方已经下线了。",
"140638","2","<T t=""你身上的""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""数量不足。""></T>",
"140640","1","<T t=""$parameter1$"" c=""ff33ff33""></T><T t=""拒绝了你的申请。""></T>",
"140641","1","<T t=""你被""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""请离出了队伍。""></T>",
"140655","1","背包已满，无法领取。",
"140657","1","不是同一公会成员，无法传送。",
"140664","4,15","<T t=""冠军试炼已经开启，请参赛队伍到紫罗兰银色北伐战略官处领取任务，注意在试炼过程中保持队伍的完整性。"" c=""ff33ff33""></T>",
"140665","5","冠军试炼即将开启，您是否要参加么？",
"140666","2","<T t=""欢迎参加冠军试炼，你们的第""></T><T t=""$parameter1$"" c=""ffffff33""></T><T t=""关是""></T><T t=""$parameter2$"" c=""ffffff33""></T><T t=""，点击任务可直接跳转试炼场。""></T>",
"140669","2","你们的人数不够哦，请多找几个人来一起参加，最少需要3个人。",
"140670","2","<T t=""您队伍中的""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""等级还没有达到参赛要求（≥40），请调整队伍后再来。""></T>",
"140676","1,15","<T t=""冠军试炼活动已经结束。"" c=""FF693F00""></T>",
"140681","2","你们的队伍发生了变化，无法挑战。请调整队伍或者到活动使者处重新领取任务。",
"140682","1","<T t=""恭喜你们挑战成功，下一关是挑战""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""，请速去挑战。""></T>",
"140684","2","认错人了，请查看一下您的任务栏提示。",
"140690","16","您在银色北伐军<冠军试炼>活动中的表现出类拔萃，获得称号《银色的曙光》。",
