"技能id","技能名称","图标编号","主动被动","短描述","技能描述","目标类型","魔法入口","评分","品质","技能消耗","消耗数量","消耗属性编号"
"206001","暴击","59","1","让宝宝变强大的宠物技能书","<T t=""普通物理攻击时暴击概率增加10%。""/>","1","0","80","1","无消耗",,"-1"
"206002","连击","58","1","让宝宝变强大的宠物技能书","<T t=""普通物理攻击时，有45%概率追加一次攻击，拥有此技能物理伤害结果会降低25%。""/>","1","0","80","1","无消耗",,"-1"
"206003","强力","57","1","让宝宝变强大的宠物技能书","<T t=""提升少量的物理攻击力，如果对方有防御或高级防御技能，物理伤害结果会减少20%。""/>","1","0","80","1","无消耗",,"-1"
"206004","穿刺","56","1","让宝宝变强大的宠物技能书","<T t=""物理攻击时忽视对方少量的物理防御。""/>","1","0","80","1","无消耗",,"-1"
"206005","偷袭","55","1","让宝宝变强大的宠物技能书","<T t=""物理攻击不会受到反击和反震，并提高5%的物理伤害结果。""/>","1","0","80","1","无消耗",,"-1"
"206006","法术暴击","54","1","让宝宝变强大的宠物技能书","<T t=""法术攻击时暴击概率增加10%。""/>","1","0","80","1","无消耗",,"-1"
"206007","法术连击","53","1","让宝宝变强大的宠物技能书","<T t=""法术攻击时，有20%概率追加一次攻击，伤害是正常伤害的50%。""/>","1","0","80","1","无消耗",,"-1"
"206008","法术波动","51","1","让宝宝变强大的宠物技能书","<T t=""每次法术攻击伤害结果在80%至120%之间浮动。""/>","1","0","80","1","无消耗",,"-1"
"206009","魔之心","50","1","让宝宝变强大的宠物技能书","<T t=""对敌人的法术伤害结果提高10%。""/>","1","0","80","1","无消耗",,"-1"
"206010","法术穿刺","49","1","让宝宝变强大的宠物技能书","<T t=""法术攻击时忽视对方少量的法术防御。""/>","1","0","80","1","无消耗",,"-1"
"206011","冥思","48","1","让宝宝变强大的宠物技能书","<T t=""战斗中，每回合结束时回复等级*0.3的魔法。""/>","1","0","80","1","无消耗",,"-1"
"206012","吸血","47","1","让宝宝变强大的宠物技能书","<T t=""物理攻击时，吸收对方所掉生命的20%。""/>","1","0","80","1","无消耗",,"-1"
"206013","回春","46","1","让宝宝变强大的宠物技能书","<T t=""战斗中，每回合自动回复等级*0.8的生命。""/>","1","0","80","1","无消耗",,"-1"
"206014","凤凰之心","45","1","让宝宝变强大的宠物技能书","<T t=""死亡时，有20%概率复活，剩余生命为最大生命的60%。""/>","1","0","80","1","无消耗",,"-1"
"206015","格挡","44","1","让宝宝变强大的宠物技能书","<T t=""受到物理伤害时的格挡几率提高17%。""/>","1","0","80","1","无消耗",,"-1"
"206016","反弹","43","1","让宝宝变强大的宠物技能书","<T t=""受到物理攻击时有30%概率进行反震，反震伤害结果等于自己受到伤害的25%。""/>","1","0","80","1","无消耗",,"-1"
"206017","神迹","42","1","让宝宝变强大的宠物技能书","<T t=""每回合结束时自动解除一切异常状态，包括毒、封印、属性降低等。""/>","1","0","80","1","无消耗",,"-1"
"206018","反击","40","1","让宝宝变强大的宠物技能书","<T t=""受到普通物理攻击时有20%概率自动反击，反击的伤害是正常伤害的100%。""/>","1","0","80","1","无消耗",,"-1"
"206019","灵敏","39","1","让宝宝变强大的宠物技能书","<T t=""自身速度增加10%。""/>","1","0","80","1","无消耗",,"-1"
"206020","强壮","38","1","让宝宝变强大的宠物技能书","<T t=""自身生命上限提升10%。""/>","1","0","80","1","无消耗",,"-1"
"206021","防御","37","1","让宝宝变强大的宠物技能书","<T t=""提升等级*0.8的物理防御，但法术伤害结果会降低10%。""/>","1","0","80","1","无消耗",,"-1"
"206022","固法","36","1","让宝宝变强大的宠物技能书","<T t=""提升等级*0.8的法术防御，但物理伤害结果会降低10%。""/>","1","0","80","1","无消耗",,"-1"
"206023","幸运","35","1","让宝宝变强大的宠物技能书","<T t=""被物理攻击时，被暴击概率降低10%。""/>","1","0","80","1","无消耗",,"-1"
"206024","迟钝","34","1","让宝宝变强大的宠物技能书","<T t=""减少自身速度的10%。""/>","1","0","80","1","无消耗",,"-1"
"206025","火元素吸收","33","1","让宝宝变强大的宠物技能书","<T t=""有30%概率吸收火元素法术伤害，回复对应的生命。""/>","1","0","80","1","无消耗",,"-1"
"206026","水元素吸收","32","1","让宝宝变强大的宠物技能书","<T t=""有30%概率吸收水元素法术伤害，回复对应的生命。""/>","1","0","80","1","无消耗",,"-1"
"206027","土元素吸收","31","1","让宝宝变强大的宠物技能书","<T t=""有30%概率吸收土元素法术伤害，回复对应的生命。""/>","1","0","80","1","无消耗",,"-1"
"206028","雷元素吸收","28","1","让宝宝变强大的宠物技能书","<T t=""有30%概率吸收雷元素法术伤害，回复对应的生命。""/>","1","0","80","1","无消耗",,"-1"
"206029","不死亡魂","27","1","让宝宝变强大的宠物技能书","<T t=""死亡5回合后自动复活，不受任何状态影响，但也不能使用主动技能和药品回复生命。""/>","1","0","80","1","无消耗",,"-1"
"206030","驱魔","26","1","让宝宝变强大的宠物技能书","<T t=""对敌方拥有不死亡魂术单位的物理、法术伤害效果增加50%，并能将其打飞出场外。""/>","1","0","80","1","无消耗",,"-1"
"206031","潜行","25","1","让宝宝变强大的宠物技能书","<T t=""自动附加隐身状态2至3回合，隐身状态下物理攻击能力会降低20%，使用技能取消隐身状态。""/>","1","0","80","1","无消耗",,"-1"
"206032","夜枭感知","24","1","让宝宝变强大的宠物技能书","<T t=""能探知并攻击敌方隐身状态的单位。""/>","1","0","80","1","无消耗",,"-1"
"206033","永恒","23","1","让宝宝变强大的宠物技能书","<T t=""受到的增益状态持续回合数加倍。""/>","1","0","80","1","无消耗",,"-1"
"206034","精神集中","22","1","让宝宝变强大的宠物技能书","<T t=""可以抵御控制类异常状态，但自己的物理伤害结果也会降低20%。""/>","1","0","80","1","无消耗",,"-1"
"206035","瘟疫","21","1","让宝宝变强大的宠物技能书","<T t=""普通物理攻击有15%概率使目标中毒，中毒状态下每回合损失10%生命和5%魔法（物理攻击中毒单位时有15%几率被感染）。""/>","1","0","80","1","无消耗",,"-1"
"206036","追击","20","1","让宝宝变强大的宠物技能书","<T t=""普通物理攻击杀死对方时，有45%概率对敌方其他目标追加一次攻击，伤害是正常伤害的50%。""/>","1","0","80","1","无消耗",,"-1"
"206037","溅射","19","1","让宝宝变强大的宠物技能书","<T t=""普通物理攻击时有15%概率对目标周围的两个敌方单位造成溅射伤害，溅射伤害为主体伤害的20%。""/>","1","0","80","1","无消耗",,"-1"
"206038","高级暴击","17","1","让宝宝变强大的高级宠物技能书","<T t=""普通物理攻击时暴击概率增加20%。""/>","1","0","200","2","无消耗",,"-1"
"206039","高级连击","16","1","让宝宝变强大的高级宠物技能书","<T t=""普通物理攻击时，有55%概率追加一次攻击，拥有此技能物理伤害结果会降低20%。""/>","1","0","200","2","无消耗",,"-1"
"206040","高级强力","15","1","让宝宝变强大的高级宠物技能书","<T t=""提升一定的物理攻击力，如果对方有防御或高级防御场技能，物理伤害结果会减少20%。""/>","1","0","200","2","无消耗",,"-1"
"206041","高级穿刺","14","1","让宝宝变强大的高级宠物技能书","<T t=""物理攻击时忽视对方一定的物理防御。""/>","1","0","200","2","无消耗",,"-1"
"206042","高级偷袭","13","1","让宝宝变强大的高级宠物技能书","<T t=""物理攻击不会受到反击和反震，并提高10%的物理伤害结果。""/>","1","0","200","2","无消耗",,"-1"
"206043","高级法术暴击","12","1","让宝宝变强大的高级宠物技能书","<T t=""法术攻击时暴击概率增加15%。""/>","1","0","200","2","无消耗",,"-1"
"206044","高级法术连击","11","1","让宝宝变强大的高级宠物技能书","<T t=""法术攻击时，有30%概率追加一次攻击，伤害是第一次的50%。""/>","1","0","200","2","无消耗",,"-1"
"206045","高级法术波动","10","1","让宝宝变强大的高级宠物技能书","<T t=""每次法术攻击伤害结果在50%至150%之间浮动。""/>","1","0","200","2","无消耗",,"-1"
"206046","高级魔之心","9","1","让宝宝变强大的高级宠物技能书","<T t=""对敌人的法术伤害结果提高20%。""/>","1","0","200","2","无消耗",,"-1"
"206047","高级法术穿刺","8","1","让宝宝变强大的高级宠物技能书","<T t=""法术攻击时忽视对方一定的法术防御。""/>","1","0","200","2","无消耗",,"-1"
"206048","高级冥思","6","1","让宝宝变强大的高级宠物技能书","<T t=""战斗中，每回合结束时回复等级*0.5的魔法。""/>","1","0","200","2","无消耗",,"-1"
"206049","高级吸血","5","1","让宝宝变强大的高级宠物技能书","<T t=""物理攻击时，吸收对方所掉生命的30%。""/>","1","0","200","2","无消耗",,"-1"
"206050","高级回春","4","1","让宝宝变强大的高级宠物技能书","<T t=""战斗中，每回合自动回复等级*1.5的生命。""/>","1","0","200","2","无消耗",,"-1"
"206051","高级凤凰之心","3","1","让宝宝变强大的高级宠物技能书","<T t=""当死亡时，有30%概率满血复活。""/>","1","0","200","2","无消耗",,"-1"
