"技能id","技能名","图标编号","技能升级描述"
"711001","幻影冲锋","224","<T t=""攻击敌方多个目标，伤害逐个递减""></T>"
"711002","嘲讽","316","<T t=""概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。""></T>"
"711003","毁灭打击","206","<T t=""攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。""></T>"
"711004","蓄力猛击","195","<T t=""临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标""></T>"
"711005","破甲","184","<T t=""攻击目标同时降低对方物理防御和法术防御，持续4回合""></T>"
"711007","桶桶英勇","144","<T t=""每次施展技能自动恢复自身10%生命""></T>"
"711008","桶桶庇护","144","<T t=""战斗中，提升友方玩家和伙伴的物理防御。提升的数值与物理伤害有关""></T>"
"712001","幻影冲锋","224","<T t=""攻击敌方多个目标，伤害逐个递减""></T>"
"712002","嘲讽","316","<T t=""概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。""></T>"
"712003","毁灭打击","206","<T t=""攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。""></T>"
"712004","蓄力猛击","195","<T t=""临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标""></T>"
"712005","破甲","184","<T t=""攻击目标同时降低对方物理防御和法术防御，持续4回合""></T>"
"712007","代王律令","144","<T t=""使得毁灭打击增加一次攻击""></T>"
"712008","阿男意志","144","<T t=""受濒死攻击时保留一点生命。每场战斗只能触发一次""></T>"
"713001","幻影冲锋","224","<T t=""攻击敌方多个目标，伤害逐个递减""></T>"
"713002","嘲讽","316","<T t=""概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。""></T>"
"713003","毁灭打击","206","<T t=""攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。""></T>"
"713004","蓄力猛击","195","<T t=""临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标""></T>"
"713005","破甲","184","<T t=""攻击目标同时降低对方物理防御和法术防御，持续4回合""></T>"
"713007","会长之怒","144","<T t=""物理技能一定几率附带溅射效果""></T>"
"713008","不死不休","144","<T t=""使用毁灭打击，如果对方死亡并有剩余攻击次数，则继续选择一个单位攻击""></T>"
"714001","幻影冲锋","224","<T t=""攻击敌方多个目标，伤害逐个递减""></T>"
"714002","嘲讽","316","<T t=""概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低大量物理伤害和一定法术伤害，持续3回合。仅PVE战斗可使用。""></T>"
"714003","毁灭打击","206","<T t=""攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。""></T>"
"714004","蓄力猛击","195","<T t=""临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标""></T>"
"714005","破甲","184","<T t=""攻击目标同时降低对方物理防御和法术防御，持续4回合""></T>"
"714007","先祖秩序","144","<T t=""攻击目标时，以目标物理或法术防御中较低的一个结算伤害""></T>"
"714008","图腾之力","144","<T t=""战斗中速度提升，并使得幻影冲锋的伤害效果不衰减""></T>"
"721001","审判之锤","327","<T t=""召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。""></T>"
"721002","无边定罪","129","<T t=""召唤圣光攻击单个目标，附带一定百分比伤害""></T>"
"721003","复仇之盾","338","<T t=""概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。""></T>"
