"阶段ID","技能描述（策划）","阶段类型","执行方式","播放延时","动作类型","动作最长时间","移动类型","同步保护","目的x","目的y","残影对象编号","残影对象透明度","移动时间","特效类型","特效位置类型","有痕迹","有方向","特效名","特效图层","音效","结果类型","执行结果最长时间","结果受击复位时间","瞬移类型","瞬移时间","保留","瞬移最长时间","多结果标示"
"10001400","药品使用","0","1","0","9","1300","0","0","0","8","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"10001401","药品使用","2","1","300","0","0","0","0","0","0","0","188","0","0","2","0","0",,"0","liumaishenjian","0","0","200","0","0","0","0","1"
"10001402","药品使用","2","0","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/aobao_hit/aobao_hit","0",,"0","0","200","0","0","0","0","1"
"10001403","药品使用","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"13000000","狩猎姿态-施法动作","0","1","0","9","1100","0","0","0","8","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"13000001","狩猎姿态-施法特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt_shouliezitai/mt_shouliezitai","0","feilongzaitian","0","0","200","0","0","0","0","1"
"13000002","狩猎姿态-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","","0","","0","200","200","0","0","0","0","1"
"13000100","多重打击1-攻击动作","0","1","0","42","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000101","多重打击1-残影移动","1","1","400","0","0","0","1","0","5","1","0","180","0","5","0","0",,"0",,"0","130","50","0","0","0","0","1"
"13000102","多重打击1-弓箭特效移动","2","1","400","0","0","0","0","0","0","1","0","1","0","0","0","1","geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_","1",,"0","130","50","0","0","0","0","1"
"13000103","多重打击1-残影消失","1","1","580","0","0","3","0","0","0","1","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000104","多重打击1-受击特效","2","1","500","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt_duochongdaji/mt_duochongdaji","0","feilongzaitian","0","0","200","0","0","0","0","1"
"13000105","多重打击1-受击结算","4","1","580","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","780","200","0","0","0","0","1"
"13000106","多重打击1-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000110","多重打击2-攻击动作","0","1","0","42","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000111","多重打击2-残影移动","1","1","400","0","0","0","1","0","5","2","0","180","0","5","0","0",,"0",,"0","130","50","0","0","0","0","1"
"13000112","多重打击2-弓箭特效移动","2","1","400","0","0","0","0","0","0","2","0","1","0","0","0","1","geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_","1",,"0","130","50","0","0","0","0","1"
"13000113","多重打击2-残影消失","1","1","580","0","0","3","0","0","0","2","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000114","多重打击2-受击特效","2","1","500","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt_duochongdaji/mt_duochongdaji","0","feilongzaitian","0","0","200","0","0","0","0","1"
"13000115","多重打击2-受击结算","4","1","580","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","780","200","0","0","0","0","1"
"13000116","多重打击2-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000120","多重打击3-攻击动作","0","1","0","42","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000121","多重打击3-残影移动","1","1","400","0","0","0","1","0","5","3","0","180","0","5","0","0",,"0",,"0","130","50","0","0","0","0","1"
"13000122","多重打击3-弓箭特效移动","2","1","400","0","0","0","0","0","0","3","0","1","0","0","0","1","geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_","1",,"0","130","50","0","0","0","0","1"
"13000123","多重打击3-残影消失","1","1","580","0","0","3","0","0","0","3","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000124","多重打击3-受击特效","2","1","500","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt_duochongdaji/mt_duochongdaji","0","feilongzaitian","0","0","200","0","0","0","0","1"
"13000125","多重打击3-受击结算","4","1","580","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","780","200","0","0","0","0","1"
"13000126","多重打击3-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000130","多重打击4-攻击动作","0","1","0","42","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000131","多重打击4-残影移动","1","1","400","0","0","0","1","0","5","4","0","180","0","5","0","0",,"0",,"0","130","50","0","0","0","0","1"
"13000132","多重打击4-弓箭特效移动","2","1","400","0","0","0","0","0","0","4","0","1","0","0","0","1","geffect/skill/mt_yuanchengpugong/mt_yuanchengpugong_","1",,"0","130","50","0","0","0","0","1"
"13000133","多重打击4-残影消失","1","1","580","0","0","3","0","0","0","4","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000134","多重打击4-受击特效","2","1","500","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt_duochongdaji/mt_duochongdaji","0","feilongzaitian","0","0","200","0","0","0","0","1"
"13000135","多重打击4-受击结算","4","1","580","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","780","200","0","0","0","0","1"
"13000136","多重打击4-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"13000140","多重打击5-攻击动作","0","1","0","42","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
