"id","职业","策划备注","等级","装备","技能\等级","修炼等级","公会技能","宝石等级"
"2000","战士男女","20级战士男女标准","20","5020101;5020102;5020207;5020208;5020309;5020310;5020411;5020512;5020613","1111@20;1112@20;1113@20;1114@20;1115@20;1116@20;1117@20;1118@20","0","0","0"
"2001","战士男女","20级战士男女标准+1","20","6020101;6020102;6020207;6020208;6020309;6020310;6020411;6020512;6020613","1111@20;1112@20;1113@20;1114@20;1115@20;1116@20;1117@20;1118@20","0","0","0"
"2002","战士男女","20级战士男女标准+2","20","7020101;7020102;7020207;7020208;7020309;7020310;7020411;7020512;7020613","1111@20;1112@20;1113@20;1114@20;1115@20;1116@20;1117@20;1118@20","0","0","0"
"2003","战士男女","20级战士男女标准+3","20","8020101;8020102;8020207;8020208;8020309;8020310;8020411;8020512;8020613","1111@20;1112@20;1113@20;1114@20;1115@20;1116@20;1117@20;1118@20","0","0","0"
"2010","猎人男女","20级猎人男女标准","20","5020103;5020104;5020207;5020208;5020309;5020310;5020411;5020512;5020613","1311@20;1312@20;1313@20;1314@20;1315@20;1316@20;1317@20;1318@20","0","0","0"
"2011","猎人男女","20级猎人男女标准+1","20","6020103;6020104;6020207;6020208;6020309;6020310;6020411;6020512;6020613","1311@20;1312@20;1313@20;1314@20;1315@20;1316@20;1317@20;1318@20","0","0","0"
"2012","猎人男女","20级猎人男女标准+2","20","7020103;7020104;7020207;7020208;7020309;7020310;7020411;7020512;7020613","1311@20;1312@20;1313@20;1314@20;1315@20;1316@20;1317@20;1318@20","0","0","0"
"2013","猎人男女","20级猎人男女标准+3","20","8020103;8020104;8020207;8020208;8020309;8020310;8020411;8020512;8020613","1311@20;1312@20;1313@20;1314@20;1315@20;1316@20;1317@20;1318@20","0","0","0"
"2020","圣骑女","20级圣骑女标准","20","5020102;5020207;5020208;5020309;5020310;5020411;5020512;5020613","1211@20;1212@20;1213@20;1214@20;1215@20;1216@20;1217@20;1218@20","0","0","0"
"2021","圣骑女","20级圣骑女标准+1","20","6020102;6020207;6020208;6020309;6020310;6020411;6020512;6020613","1211@20;1212@20;1213@20;1214@20;1215@20;1216@20;1217@20;1218@20","0","0","0"
"2022","圣骑女","20级圣骑女标准+2","20","7020102;7020207;7020208;7020309;7020310;7020411;7020512;7020613","1211@20;1212@20;1213@20;1214@20;1215@20;1216@20;1217@20;1218@20","0","0","0"
"2023","圣骑男女","20级圣骑女标准+3","20","8020102;8020207;8020208;8020309;8020310;8020411;8020512;8020613","1211@20;1212@20;1213@20;1214@20;1215@20;1216@20;1217@20;1218@20","0","0","0"
"2030","小德男女","20级小德男女标准","20","5020103;5020104;5020207;5020208;5020309;5020310;5020411;5020512;5020613","1411@20;1412@20;1413@20;1414@20;1415@20;1416@20;1417@20;1418@20","0","0","0"
"2031","小德男女","20级小德男女标准+1","20","6020103;6020104;6020207;6020208;6020309;6020310;6020411;6020512;6020613","1411@20;1412@20;1413@20;1414@20;1415@20;1416@20;1417@20;1418@20","0","0","0"
"2032","小德男女","20级小德男女标准+2","20","7020103;7020104;7020207;7020208;7020309;7020310;7020411;7020512;7020613","1411@20;1412@20;1413@20;1414@20;1415@20;1416@20;1417@20;1418@20","0","0","0"
"2033","小德男女","20级小德男女标准+3","20","8020103;8020104;8020207;8020208;8020309;8020310;8020411;8020512;8020613","1411@20;1412@20;1413@20;1414@20;1415@20;1416@20;1417@20;1418@20","0","0","0"
"2040","法师男女","20级法师男女标准","20","5020105;5020106;5020207;5020208;5020309;5020310;5020411;5020512;5020613","1511@20;1512@20;1513@20;1514@20;1515@20;1516@20;1517@20;1518@20","0","0","0"
"2041","法师男女","20级法师男女标准+1","20","6020105;6020106;6020207;6020208;6020309;6020310;6020411;6020512;6020613","1511@20;1512@20;1513@20;1514@20;1515@20;1516@20;1517@20;1518@20","0","0","0"
"2042","法师男女","20级法师男女标准+2","20","7020105;7020106;7020207;7020208;7020309;7020310;7020411;7020512;7020613","1511@20;1512@20;1513@20;1514@20;1515@20;1516@20;1517@20;1518@20","0","0","0"
"2043","法师男女","20级法师男女标准+3","20","8020105;8020106;8020207;8020208;8020309;8020310;8020411;8020512;8020613","1511@20;1512@20;1513@20;1514@20;1515@20;1516@20;1517@20;1518@20","0","0","0"
