"id","µÈ¼¶²î","","","","","","","",""
"1","0","","","","","","","",""
"2","0","","","","","","","",""
"3","0","","","","","","","",""
"4","0","","","","","","","",""
"5","0","","","","","","","",""
"6","0","","","","","","","",""
"7","0","","","","","","","",""
"8","0",,,,,,,,
"9","0",,,,,,,,
"10","1",,,,,,,,
"11","1",,,,,,,,
"12","1",,,,,,,,
"13","1",,,,,,,,
"14","1",,,,,,,,
"15","1",,,,,,,,
"16","1",,,,,,,,
"17","1",,,,,,,,
"18","1",,,,,,,,
"19","1",,,,,,,,
"20","2",,,,,,,,
"21","2",,,,,,,,
"22","2",,,,,,,,
"23","2",,,,,,,,
"24","2",,,,,,,,
"25","2",,,,,,,,
"26","2",,,,,,,,
"27","2",,,,,,,,
"28","2",,,,,,,,
"29","2",,,,,,,,
"30","3",,,,,,,,
"31","3",,,,,,,,
"32","3",,,,,,,,
"33","3",,,,,,,,
"34","3",,,,,,,,
"35","3",,,,,,,,
"36","3",,,,,,,,
"37","3",,,,,,,,
"38","3",,,,,,,,
"39","3",,,,,,,,
"40","5",,,,,,,,
"41","5",,,,,,,,
"42","5",,,,,,,,
"43","5",,,,,,,,
"44","5",,,,,,,,
"45","5",,,,,,,,
"46","5",,,,,,,,
"47","5",,,,,,,,
"48","5",,,,,,,,
"49","5",,,,,,,,
"50","7",,,,,,,,
"51","7",,,,,,,,
"52","7",,,,,,,,
"53","7",,,,,,,,
"54","7",,,,,,,,
"55","7",,,,,,,,
"56","7",,,,,,,,
"57","7",,,,,,,,
"58","7",,,,,,,,
"59","7",,,,,,,,
"60","20",,,,,,,,
