"id","区域等级","区域最高等级","战场环境","宝宝战斗概率","BOSS战斗概率","特殊事件战斗概率","BOSS战ID","普通战斗概率","趣味事件","宝宝1","宝宝2","宝宝3","宝宝4","宝宝5","宝宝6","宝宝7","宝宝8","宝宝9","宝宝10","宝宝1概率","宝宝2概率","宝宝3概率","宝宝4概率","宝宝5概率","宝宝6概率","宝宝7概率","宝宝8概率","宝宝9概率","宝宝10概率","精英1","精英2","精英3","精英4","精英5","精英1概率","精英2概率","精英3概率","精英4概率","精英5概率","怪物1","怪物2","怪物3","怪物4","怪物5","怪物1概率","怪物2概率","怪物3概率","怪物4概率","怪物5概率","变异怪物1","变异怪物2","变异怪物3","变异怪物4","变异怪物5","变异怪物1概率","变异怪物2概率","变异怪物3概率","变异怪物4概率","变异怪物5概率","掉落id","共享掉落id","颜色信息","描述"
"0","0","89","0","2","20","0","0","0","0","0","0","0",,,,,,,,"0","0","0",,,,"0",,,,"0","0","0",,,"0","0","0",,,"0","0","0",,,"0","0","0",,,"","","","","","","","","","","0","0","0","清除刷"
"100","1","14","0","1","0","0","0","10000","0","22120","","","22123","","22161","","","22164","","810","","","90","","90","","","10","","22060","","",,,"1000",,,,,"22000","","",,,"1000",,,,,"22161","","","22164","","50","","","10","","0","0","800000ff","溶洞一层"
"101","15","24","0","1","0","0","0","10000","0","22121","22120","","22123","","22162","22161","","22164","","405","405","","90","","45","45","","10","","22063","22001","",,,"500","500",,,,"22003","22001","",,,"500","500",,,,"22162","22161","","22164","","50","25","","10","","0","0","800000ff","溶洞二层"
"102","25","29","0","1","0","0","0","10000","0","22122","22121","22120","22123","","22163","22162","22161","22164","","270","270","270","90","","30","30","30","10","","22065","22064","22062",,,"500","250","250",,,"22005","22004","22002",,,"500","250","250",,,"22163","22162","22161","22164","","50","25","25","10","","0","0","80800000","溶洞三层"
"103","30","32","0","1","0","0","0","10000","0","22124","","","22127","","22165","","","22168","","810","","","90","","90","","","10","","22066","","",,,"1000",,,,,"22006","","",,,"1000",,,,,"22165","","","22168","","50","50","","10","","0","0","80ffff00","废矿一层"
"104","33","35","0","1","0","0","0","10000","0","22125","22124","","22127","","22166","22165","","22168","","405","405","","90","","45","45","","10","","22069","22067","",,,"500","500",,,,"22009","22007","",,,"500","500",,,,"22166","22165","","22168","","50","50","","10","","0","0","80ffff00","废矿二层"
"105","36","39","0","1","0","0","0","10000","0","22126","22125","22124","22127","","22167","22166","22165","22168","","270","270","270","90","","30","30","30","10","","22071","22070","22068",,,"500","250","250",,,"22011","22010","22008",,,"500","250","250",,,"22167","22166","22165","22168","","50","25","25","10","","0","0","80ffc0cb","废矿三层"
"106","40","42","0","1","0","0","0","10000","0","22128","","","22131","","22169","","","22172","","810","","","90","","90","","","10","","22072","","",,,"1000",,,,,"22012","","",,,"1000",,,,,"22169","","","22172","","50","50","","10","","0","0","80ffa500","银堡一层"
"107","43","45","0","1","0","0","0","10000","0","22129","22128","","22131","","22170","22169","","22172","","405","405","","90","","45","45","","10","","22075","22073","",,,"500","500",,,,"22015","22013","",,,"500","500",,,,"22170","22169","","22172","","50","50","","10","","0","0","80ffa500","银堡二层"
"108","46","49","0","1","0","0","0","10000","0","22130","22129","22128","22131","","22171","22170","22169","22172","","270","270","270","90","","30","30","30","10","","22077","22076","22074",,,"500","250","250",,,"22017","22016","22014",,,"500","250","250",,,"22171","22170","22169","22172","","50","25","25","10","","0","0","80f5f5dc","银堡三层"
"109","50","52","0","1","0","0","0","10000","0","22132","","","22135","","22173","","","22176","","810","","","90","","90","","","10","","22078","","",,,"1000",,,,,"22018","","",,,"1000",,,,,"22173","","","22176","","50","50","","10","","0","0","80ffff00","荒泽一层"
"110","53","55","0","1","0","0","0","10000","0","22133","22132","","22135","","22174","22173","","22176","","405","405","","90","","45","45","","10","","22081","22079","",,,"500","500",,,,"22021","22019","",,,"500","500",,,,"22174","22173","","22176","","50","50","","10","","0","0","80ffff00","荒泽二层"
"111","56","59","0","1","0","0","0","10000","0","22134","22133","22132","22135","","22175","22174","22173","22176","","270","270","270","90","","30","30","30","10","","22083","22082","22080",,,"500","250","250",,,"22023","22022","22020",,,"500","250","250",,,"22175","22174","22173","22176","","50","25","25","10","","0","0","800000ff","荒泽三层"
"112","60","62","0","1","0","0","0","10000","0","22136","","","22139","22140","22177","","","22180","22181","810","","","45","45","90","","","5","5","22084","","",,,"1000",,,,,"22024","","",,,"1000",,,,,"22177","","","22180","22181","50","50","","10","10","0","0","80ffff00","教堂一层"
"113","63","65","0","1","0","0","0","10000","0","22137","22136","","22139","22140","22178","22177","","22180","22181","405","405","","45","45","45","45","","5","5","22087","22085","",,,"500","500",,,,"22027","22025","",,,"500","500",,,,"22178","22177","","22180","22181","50","50","","10","10","0","0","80ffff00","教堂二层"
"114","66","69","0","1","0","0","0","10000","0","22138","22137","22136","22139","22140","22179","22178","22177","22180","22181","270","270","270","45","45","30","30","30","5","5","22089","22088","22086",,,"500","250","250",,,"22029","22028","22026",,,"500","250","250",,,"22179","22178","22177","22180","22181","50","25","25","10","10","0","0","80ffff00","教堂三层"
"115","70","71","0","1","0","0","0","10000","0","22141","","","22144","","22182","","","22185","","810","","","90","","90","","","10","","22090","","",,,"1000",,,,,"22030","","",,,"1000",,,,,"22182","","","22185","","50","50","","10","","0","0","80800000","埋股圣地一层"
"116","72","73","0","1","0","0","0","10000","0","22142","22141","","22144","","22183","22182","","22185","","405","405","","90","","45","45","","10","","22093","22091","",,,"500","500",,,,"22033","22031","",,,"500","500",,,,"22183","22182","","22185","","50","50","","10","","0","0","80800000","埋股圣地二层"
"117","74","75","0","1","0","0","0","10000","0","22143","22142","22141","22144","","22184","22183","22182","22185","","270","270","270","90","","30","30","30","10","","22095","22094","22092",,,"500","250","250",,,"22035","22034","22032",,,"500","250","250",,,"22184","22183","22182","22185","","50","25","25","10","","0","0","80ffa500","埋股圣地三层"
"118","76","77","0","1","0","0","0","10000","0","22145","","","22148","","22186","","","22189","","810","","","90","","90","","","10","","22096","","",,,"1000",,,,,"22036","","",,,"1000",,,,,"22186","","","22189","","50","50","","10","","0","0","80f5f5dc","遗迹一层"
