"魔法ID","魔法名","魔法位置类型","魔法基本类型","痕迹","特效名","是否触发攻击效果","触发攻击效果时间","魔法方向","魔法生成ID","魔法生成时间","生成新魔法方式","地面特效"
"1",,"0","1",,,"false","0","0","2","880","2",
"2",,"3","2",,,"false","0","0","3","1200","1",
"3",,"0","3",,,"true","640","0","0","0","0",
"4",,"0","1",,,"false","0","0","5","880","2",
"5",,"0","3",,"geffect/药品结果","true","960","0","0","0","0",
"6",,"0","1",,,"false","0","0","7","960","1",
"7",,"0","3",,"geffect/Function/Pet/summon","true","960","0","0","0","0",
"8",,"0","1",,,"false","0","0","9","960","1",
"9",,"0","3",,"geffect/Function/Pet/summon","true","960","0","0","0","0",
"10",,"0","1",,"geffect/sprite/Battle/RunawayStart","false","0","0","11","800","1",
"11",,"0","3",,"geffect/sprite/Battle/RunawayEnd","true","1200","0","0","0","0",
"12",,"0","1",,"geffect/捕捉起手","false","0","0","14","920","1",
"13",,"3","2",,"geffect/捕捉飞行","false","0","0","14","1200","1",
"14",,"0","3",,"geffect/捕捉结果","true","960","0","0","0","0",
"15",,"0","1",,,"false","0","0","17","960","1",
"17",,"2","2",,"geffect/sprite/newfemale/yunvjianfa","false","0","0","18","1200","2",
"18",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"10011",,"0","1",,"geffect/sprite/skillbanner/taizuchangquan_","false","0","0","10012","880","2",
"10012",,"0","3",,"geffect/skill/taizuchangquan/taizuchangquan_","true","960","0","0","0","0",
"10021",,"0","1",,"geffect/sprite/skillbanner/jiuyinbaiguzhua_","false","0","0","10022","960","1",
"10022",,"2","2",,"3d/effect/Skill/wushuangzhishu/fxs0102","false","0","0","10023","1200","2",
"10023",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"11011",,"0","1",,"geffect/sprite/skillbanner/anranxiaohunzhang_","false","0","0","11012","960","1",
"11012",,"2","2","effect/character/anranxiaohunzhang/anranxiaohunzhang2_","effect/character/anranxiaohunzhang/anranxiaohunzhang1_","false","0","0","11013","408","2","effect/character/anranxiaohunzhang/anranxiaohunzhang2_"
"11013",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"11021",,"0","1",,"geffect/sprite/skillbanner/fengfeiyanwu_","false","0","0","11022","880","2",
"11022",,"0","3",,"3d/effect/character/fengfeiyanwu/fxs0004","true","960","0","0","0","0",
"11041",,"0","1",,"geffect/sprite/skillbanner/yunvxinjing_","false","0","0","11042","880","2",
"11042",,"0","3",,"3d/effect/character/yunvxinjing/fxs0006","true","960","0","0","0","0",
"11051",,"0","1",,"geffect/sprite/skillbanner/liaodu_","false","0","0","11052","880","2",
"11052",,"0","3",,"3d/effect/character/liaodu/fxs0005","true","960","0","0","0","0",
"11061",,"0","1",,"geffect/sprite/skillbanner/yufengshu_","false","0","0","11062","960","1",
"11062",,"2","2",,"3d/effect/character/yufengshu/fxs0003","false","0","0","11063","1200","2",
"11063",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"11071",,"0","1",,"geffect/sprite/skillbanner/yunvjianfa_","false","0","0","11072","960","1",
"11072",,"0","3",,"effect/character/yunvjianfa/yunvjianfa","true","560","0","0","0","0",
"12031",,"0","1",,"geffect/sprite/skillbanner/feilongzaitian_","false","0","0","12032","880","2",
"12032",,"0","3",,"effect/character/feilongzaitian/feilongzaitian_","true","960","0","0","0","0",
