"ID","总帧数","播放时间","Tips","快捷键"
"900","20","0.8","牛出汗",
"901","17","0.6","牛得意",
"902","20","0.8","牛沮丧",
"903","16","0.55000000000000004","牛开心",
"904","6","0.3","牛怒 ",
"905","12","0.5","牛色",
"906","5","0.25","牛傻笑",
"907","17","0.6","牛帅",
"908","12","0.5","女鄙视",
"909","5","0.25","女不满",
"910","8","0.4","女愤怒",
"911","18","0.65","女害羞",
"912","28","1.1000000000000001","女流泪",
"913","26","1.05","女睡觉",
"914","18","0.65","女调戏",
"915","17","0.6","女疑问",
"916","18","0.65","女晕晕",
"917","8","0.4","贼闭嘴",
"918","28","1.1000000000000001","贼不屑",
"919","10","0.5","贼大哭",
"920","10","0.5","贼发呆",
"921","9","0.45","贼惊吓",
"922","9","0.45","贼哭",
"923","28","1.1000000000000001","贼困",
"924","28","1.1000000000000001","贼吐",
